Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Spencer Strider (28883138),Spencer Strider,28883138,P,12800,ATL@PIT 08/07/2023 07:05PM ET,ATL,25.59
RP,Corbin Burnes (28883771),Corbin Burnes,28883771,P,11700,COL@MIL 08/07/2023 08:10PM ET,MIL,18.86
SP,Jacob deGrom (28883772),Jacob deGrom,28883772,P,11500,TEX@OAK 08/07/2023 09:40PM ET,TEX,22.41
SP,Gerrit Cole (28883139),Gerrit Cole,28883139,P,11300,NYY@CWS 08/07/2023 08:10PM ET,NYY,21.94
SP,Kevin Gausman (28883773),Kevin Gausman,28883773,P,11200,TOR@CLE 08/07/2023 07:10PM ET,TOR,22.52
SP,Max Scherzer (28883774),Max Scherzer,28883774,P,10400,TEX@OAK 08/07/2023 09:40PM ET,TEX,18.49
SP,Nathan Eovaldi (28883775),Nathan Eovaldi,28883775,P,10300,TEX@OAK 08/07/2023 09:40PM ET,TEX,21.07
SP,Lucas Giolito (28883776),Lucas Giolito,28883776,P,10100,SF@LAA 08/07/2023 09:38PM ET,LAA,15.77
SP,Brandon Woodruff (28883778),Brandon Woodruff,28883778,P,10000,COL@MIL 08/07/2023 08:10PM ET,MIL,22.78
RP,Michael King (28883777),Michael King,28883777,P,10000,NYY@CWS 08/07/2023 08:10PM ET,NYY,5.16
SP,Kodai Senga (28883140),Kodai Senga,28883140,P,10000,CHC@NYM 08/07/2023 07:10PM ET,NYM,19.04
SP,Logan Webb (28883779),Logan Webb,28883779,P,9800,SF@LAA 08/07/2023 09:38PM ET,SF,19.7
SP,Freddy Peralta (28883141),Freddy Peralta,28883141,P,9600,COL@MIL 08/07/2023 08:10PM ET,MIL,17.08
RP,Aaron Ashby (28883781),Aaron Ashby,28883781,P,9300,COL@MIL 08/07/2023 08:10PM ET,MIL,0
SP,Charlie Morton (28883780),Charlie Morton,28883780,P,9300,ATL@PIT 08/07/2023 07:05PM ET,ATL,16.58
SP,Janson Junk (28883783),Janson Junk,28883783,P,9100,COL@MIL 08/07/2023 08:10PM ET,MIL,1.1
SP,Justin Steele (28883782),Justin Steele,28883782,P,9100,CHC@NYM 08/07/2023 07:10PM ET,CHC,17.92
SP,Mitch Keller (28883784),Mitch Keller,28883784,P,9100,ATL@PIT 08/07/2023 07:05PM ET,PIT,17.82
SP,Brayan Bello (28883142),Brayan Bello,28883142,P,9000,KC@BOS 08/07/2023 07:10PM ET,BOS,15.27
RP,James Paxton (28883787),James Paxton,28883787,P,9000,KC@BOS 08/07/2023 07:10PM ET,BOS,17.71
