first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,hand,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Spencer,Strider,P,,2023-05-23,,ATL,LAD,,YES,R,-1.5,8,4.7,12300,11.9,26.9,46.8,22.9,1.86
Gerrit,Cole,P,,2023-05-23,,NYY,BAL,,YES,R,-1.5,7.5,4.2,11200,7.3,17.0,25.8,20.9,1.87
Sonny,Gray,P,,2023-05-23,,MIN,SF,,YES,R,-1.5,8,4.3,10600,8.2,20.9,32.8,18.2,1.72
Yu,Darvish,P,,2023-05-23,,SD,WAS,,YES,R,-1.5,8,4.3,10500,10.7,18.8,25.0,17.7,1.69
Kodai,Senga,P,,2023-05-23,,NYM,CHC,,YES,R,+1.5,8.5,4.3,9400,9.9,17.9,31.9,17.5,1.86
Eduardo,Rodriguez,P,,2023-05-23,,DET,KC,,YES,L,,,,8800,8.5,25.2,38.2,15.4,1.75
Alex,Cobb,P,,2023-05-23,,SF,MIN,,YES,R,+1.5,8,3.8,8300,3.0,19.4,33.1,14.8,1.78
MacKenzie,Gore,P,,2023-05-23,,WAS,SD,,YES,L,+1.5,8,3.7,9300,3.6,16.3,31.9,14.0,1.51
Brayan,Bello,P,,2023-05-23,,BOS,LAA,,YES,R,-1.5,9.5,4.8,6300,5.3,16.2,22.5,13.8,2.19
Drew,Smyly,P,,2023-05-23,,CHC,NYM,,YES,L,-1.5,8.5,4.3,7300,9.4,16.7,25.1,13.7,1.88
Kyle,Bradish,P,,2023-05-23,,BAL,NYY,,YES,R,+1.5,7.5,3.3,7200,-14.5,10.1,23.6,12.9,1.79
Bobby,Miller,P,,2023-05-23,,LAD,ATL,,YES,,+1.5,8,3.3,5200,,,,12.6,2.42
Luis,Medina,P,,2023-05-23,,OAK,SEA,,YES,,+1.5,8.5,3.4,5500,,,,12.5,2.27
Eury,Perez,P,,2023-05-23,,MIA,COL,,YES,R,-1.5,11.5,6,7100,15.9,19.4,22.9,12.2,1.72
Marco,Gonzales,P,,2023-05-23,,SEA,OAK,,YES,L,-1.5,8.5,5.1,6700,-17.3,3.3,14.3,12.2,1.82
J.P.,France,P,,2023-05-23,,HOU,MIL,,YES,R,-1.5,9.5,5,7700,-7.4,8.3,18.9,12.0,1.56
Jorge,Soler,OF,,2023-05-23,,MIA,COL,2,,R,-1.5,11.5,6,5400,0.0,7.2,27.0,11.3,2.09
Griffin,Canning,P,,2023-05-23,,LAA,BOS,,YES,R,+1.5,9.5,4.8,6800,-0.4,8.7,19.7,11.1,1.63
Yordan,Alvarez,OF,,2023-05-23,,HOU,MIL,3,,L,-1.5,9.5,5,6200,0.0,15.2,41.0,10.9,1.76
Daniel,Lynch,P,,2023-05-23,,KC,DET,,,L,,,,6400,-2.8,6.9,15.9,10.9,1.70
Colin,Rea,P,,2023-05-23,,MIL,HOU,,YES,R,+1.5,9.5,4.5,7000,-4.0,6.3,22.9,10.3,1.47
Fernando,Tatis Jr.,OF,,2023-05-23,,SD,WAS,1,,R,-1.5,8,4.3,6100,0.0,8.0,17.0,10.3,1.69
Rafael,Devers,3B,,2023-05-23,,BOS,LAA,4,,L,-1.5,9.5,4.8,5700,0.0,10.2,32.0,10.1,1.77
