first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,hand,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Jeremy,Pena,SS,,2023-05-19,,HOU,OAK,6,,R,-1.5,9,5.5,4900,0.0,7.2,17.0,9.5,1.94
Shohei,Ohtani,1B,,2023-05-19,,LAA,MIN,3,,L,+1.5,8,3.9,6300,0.0,13.4,38.0,9.5,1.51
Lane,Thomas,OF,,2023-05-19,,WAS,DET,1,,R,+1.5,9,4.5,3900,3.0,10.0,21.0,9.4,2.41
Will,Smith,C,,2023-05-19,,LAD,STL,3,,R,-1.5,9,4.7,5300,4.0,9.0,23.0,9.4,1.77
Adolis,Garcia,OF,,2023-05-19,,TEX,COL,4,,R,-1.5,9,5.3,5100,0.0,16.0,32.0,9.2,1.80
Bobby,Witt Jr.,SS,,2023-05-19,,KC,CWS,1,,R,+1.5,9.5,4.6,5100,2.0,11.8,23.0,9.2,1.80
Mauricio,Dubon,2B,,2023-05-19,,HOU,OAK,1,,R,-1.5,9,5.5,3200,2.0,7.8,14.0,9.1,2.84
J.T.,Realmuto,C,,2023-05-19,,PHI,CHC,6,,R,-1.5,9,4.7,5100,5.0,10.0,20.0,9.1,1.78
Anthony,Santander,OF,,2023-05-19,,BAL,TOR,4,,S,+1.5,9.5,4.4,4500,0.0,10.6,19.0,9.1,2.02
Ryan,Mountcastle,1B,,2023-05-19,,BAL,TOR,3,,R,+1.5,9.5,4.4,4800,0.0,5.6,21.0,9.1,1.90
James,Outman,OF,,2023-05-19,,LAD,STL,7,,L,-1.5,9,4.7,4400,0.0,6.6,30.0,9.0,2.05
Jose,Abreu,1B,,2023-05-19,,HOU,OAK,4,,R,-1.5,9,5.5,2700,0.0,5.2,16.0,9.0,3.33
Steven,Kwan,OF,,2023-05-19,,CLE,NYM,1,,L,+1.5,9,4.1,4500,0.0,9.4,22.0,8.9,1.98
Kyle,Schwarber,OF,,2023-05-19,,PHI,CHC,5,,L,-1.5,9,4.7,5000,0.0,6.4,16.0,8.8,1.76
Justin,Turner,1B,,2023-05-19,,BOS,SD,3,,R,+1.5,8,3.7,3700,0.0,11.0,26.0,8.8,2.38
Adley,Rutschman,C,,2023-05-19,,BAL,TOR,2,,S,+1.5,9.5,4.4,5200,0.0,6.6,20.0,8.8,1.69
Brent,Rooker,OF,,2023-05-19,,OAK,HOU,3,,R,+1.5,9,3.5,3900,0.0,3.6,16.0,8.8,2.26
Cedric,Mullins,OF,,2023-05-19,,BAL,TOR,7,,L,+1.5,9.5,4.4,5700,2.0,7.2,14.0,8.7,1.53
Matt,Olson,1B,,2023-05-19,,ATL,SEA,2,,L,-1.5,9,4.9,5300,0.0,5.8,13.0,8.7,1.64
George,Springer,OF,,2023-05-19,,TOR,BAL,1,,R,-1.5,9.5,5.2,4200,0.0,7.2,17.0,8.7,2.07
Christopher,Morel,2B,,2023-05-19,,CHC,PHI,1,,R,+1.5,9,4.3,4400,5.0,13.6,24.0,8.7,1.98
Seiya,Suzuki,OF,,2023-05-19,,CHC,PHI,4,,R,+1.5,9,4.3,4100,0.0,15.8,37.0,8.6,2.10
Kyle,Farmer,3B,,2023-05-19,,MIN,LAA,4,,R,-1.5,8,4.2,3100,0.0,11.2,23.0,8.6,2.77
Daulton,Varsho,OF,,2023-05-19,,TOR,BAL,4,,L,-1.5,9.5,5.2,4100,0.0,3.0,7.0,8.6,2.10
Luis,Robert Jr.,OF,,2023-05-19,,CWS,KC,3,,R,-1.5,9.5,4.9,4000,0.0,13.2,21.0,8.6,2.15
Shea,Langeliers,C,,2023-05-19,,OAK,HOU,8,,R,+1.5,9,3.5,3200,0.0,8.0,23.0,8.6,2.69
Pete,Alonso,1B,,2023-05-19,,NYM,CLE,4,,R,-1.5,9,4.9,5400,3.0,12.6,18.0,8.6,1.59
Paul,Goldschmidt,1B,,2023-05-19,,STL,LAD,2,,R,+1.5,9,4.3,5700,2.0,10.2,18.0,8.6,1.51
Max,Muncy,3B,,2023-05-19,,LAD,STL,5,,L,-1.5,9,4.7,5100,4.0,13.8,35.0,8.6,1.69
Nathaniel,Lowe,1B,,2023-05-19,,TEX,COL,3,,L,-1.5,9,5.3,4200,0.0,8.0,19.0,8.6,2.05
Miguel,Vargas,2B,,2023-05-19,,LAD,STL,6,,R,-1.5,9,4.7,2600,3.0,8.2,11.0,8.5,3.27
Carlos,Correa,SS,,2023-05-19,,MIN,LAA,3,,R,-1.5,8,4.2,4600,0.0,8.2,21.0,8.5,1.85
Xander,Bogaerts,SS,,2023-05-19,,SD,BOS,4,,R,-1.5,8,4.3,5000,3.0,6.8,10.0,8.5,1.70
Rafael,Devers,3B,,2023-05-19,,BOS,SD,2,,L,+1.5,8,3.7,5600,0.0,7.8,16.0,8.5,1.52
Vinnie,Pasquantino,1B,,2023-05-19,,KC,CWS,2,,L,+1.5,9.5,4.6,3600,2.0,5.2,16.0,8.5,2.36
Austin,Hays,OF,,2023-05-19,,BAL,TOR,1,,R,+1.5,9.5,4.4,4000,0.0,8.0,16.0,8.4,2.10
Randal,Grichuk,OF,,2023-05-19,,COL,TEX,2,,R,+1.5,9,3.7,4300,0.0,7.0,14.0,8.4,1.95
Nelson,Cruz,1B,,2023-05-19,,SD,BOS,5,,R,-1.5,8,4.3,3100,0.0,1.6,3.0,8.4,2.71
Patrick,Wisdom,3B,,2023-05-19,,CHC,PHI,6,,R,+1.5,9,4.3,4000,0.0,4.4,10.0,8.4,2.10
Chas,McCormick,OF,,2023-05-19,,HOU,OAK,8,,R,-1.5,9,5.5,3400,0.0,4.0,10.0,8.4,2.47
Dansby,Swanson,SS,,2023-05-19,,CHC,PHI,2,,R,+1.5,9,4.3,4500,0.0,5.6,12.0,8.4,1.87
Nolan,Arenado,3B,,2023-05-19,,STL,LAD,4,,R,+1.5,9,4.3,4600,5.0,18.0,28.0,8.4,1.83
Nolan,Gorman,2B,,2023-05-19,,STL,LAD,3,,L,+1.5,9,4.3,4200,3.0,17.6,34.0,8.4,2.00
Josh,Jung,3B,,2023-05-19,,TEX,COL,5,,R,-1.5,9,5.3,4800,0.0,4.2,8.0,8.3,1.73
Lars,Nootbaar,OF,,2023-05-19,,STL,LAD,1,,L,+1.5,9,4.3,4000,0.0,9.2,19.0,8.3,2.08
Tim,Anderson,SS,,2023-05-19,,CWS,KC,1,,R,-1.5,9.5,4.9,4700,3.0,6.2,13.0,8.3,1.77
Corey,Julks,OF,,2023-05-19,,HOU,OAK,7,,R,-1.5,9,5.5,2600,2.0,8.6,22.0,8.3,3.19
Ramon,Laureano,OF,,2023-05-19,,OAK,HOU,4,,R,+1.5,9,3.5,2700,0.0,10.2,18.0,8.3,3.07
Whit,Merrifield,2B,,2023-05-19,,TOR,BAL,6,,R,-1.5,9.5,5.2,3700,0.0,5.2,10.0,8.3,2.24
Brenton,Doyle,OF,,2023-05-19,,COL,TEX,9,,R,+1.5,9,3.7,3000,0.0,15.0,37.0,8.2,2.73
Zach,McKinstry,2B,,2023-05-19,,DET,WAS,1,,L,-1.5,9,4.6,3900,0.0,4.6,8.0,8.2,2.10
Riley,Greene,OF,,2023-05-19,,DET,WAS,2,,L,-1.5,9,4.6,4900,2.0,7.8,13.0,8.2,1.67
LaMonte,Wade Jr.,1B,,2023-05-19,,SF,MIA,1,,L,-1.5,7.5,3.9,3500,0.0,5.0,12.0,8.1,2.31
Jeimer,Candelario,3B,,2023-05-19,,WAS,DET,4,,S,+1.5,9,4.5,3100,4.0,13.6,21.0,8.1,2.61
Nick,Pratto,1B,,2023-05-19,,KC,CWS,6,,L,+1.5,9.5,4.6,3100,0.0,6.0,12.0,8.1,2.61
MJ,Melendez,OF,,2023-05-19,,KC,CWS,4,,L,+1.5,9.5,4.6,3300,2.0,7.4,14.0,8.1,2.45
Ezequiel,Duran,SS,,2023-05-19,,TEX,COL,8,,R,-1.5,9,5.3,2800,0.0,9.4,16.0,8.1,2.89
Ryan,Noda,1B,,2023-05-19,,OAK,HOU,2,,L,+1.5,9,3.5,2800,0.0,5.2,22.0,8.1,2.89
Austin,Riley,3B,,2023-05-19,,ATL,SEA,3,,R,-1.5,9,4.9,5100,0.0,8.2,16.0,8.1,1.59
Kris,Bryant,OF,,2023-05-19,,COL,TEX,3,,R,+1.5,9,3.7,5000,0.0,5.6,14.0,8.1,1.62
Charlie,Blackmon,OF,,2023-05-19,,COL,TEX,,,L,+1.5,9,3.7,4800,3.0,8.8,12.0,8.0,1.67
Trea,Turner,SS,,2023-05-19,,PHI,CHC,2,,R,-1.5,9,4.7,5300,3.0,6.6,13.0,8.0,1.51
Jorge,Mateo,SS,,2023-05-19,,BAL,TOR,5,,R,+1.5,9.5,4.4,5200,0.0,3.2,9.0,7.9,1.52
Jurickson,Profar,OF,,2023-05-19,,COL,TEX,1,,S,+1.5,9,3.7,3900,2.0,8.0,14.0,7.9,2.03
Brandon,Nimmo,OF,,2023-05-19,,NYM,CLE,1,,L,-1.5,9,4.9,4700,0.0,3.4,7.0,7.9,1.68
Jonah,Heim,C,,2023-05-19,,TEX,COL,6,,S,-1.5,9,5.3,3900,3.0,6.2,10.0,7.9,2.03
Danny,Jansen,C,,2023-05-19,,TOR,BAL,,,R,-1.5,9.5,5.2,3100,3.0,9.4,20.0,7.9,2.55
Brandon,Drury,1B,,2023-05-19,,LAA,MIN,5,,R,+1.5,8,3.9,4300,2.0,3.8,8.0,7.8,1.81
JJ,Bleday,OF,,2023-05-19,,OAK,HOU,5,,L,+1.5,9,3.5,3000,0.0,1.4,5.0,7.8,2.60
Juan,Soto,OF,,2023-05-19,,SD,BOS,3,,L,-1.5,8,4.3,5900,0.0,6.2,17.0,7.8,1.32
Michael,Harris II,OF,,2023-05-19,,ATL,SEA,8,,L,-1.5,9,4.9,3400,0.0,3.4,7.0,7.8,2.29
J.D.,Martinez,OF,,2023-05-19,,LAD,STL,4,,R,-1.5,9,4.7,4700,0.0,6.4,20.0,7.8,1.66
Taylor,Ward,OF,,2023-05-19,,LAA,MIN,1,,R,+1.5,8,3.9,3900,0.0,4.2,10.0,7.8,2.00
Jarred,Kelenic,OF,,2023-05-19,,SEA,ATL,4,,L,+1.5,9,4.1,5000,0.0,8.4,19.0,7.8,1.56
Gavin,Sheets,OF,,2023-05-19,,CWS,KC,6,,L,-1.5,9.5,4.9,2500,0.0,7.6,18.0,7.8,3.12
Alex,Kirilloff,1B,,2023-05-19,,MIN,LAA,,,L,-1.5,8,4.2,3200,3.0,12.0,35.0,7.8,2.44
Amed,Rosario,SS,,2023-05-19,,CLE,NYM,2,,R,+1.5,9,4.1,3800,0.0,5.0,22.0,7.7,2.03
Ozzie,Albies,2B,,2023-05-19,,ATL,SEA,6,,S,-1.5,9,4.9,4800,0.0,8.4,16.0,7.7,1.60
Ian,Happ,OF,,2023-05-19,,CHC,PHI,3,,S,+1.5,9,4.3,4300,0.0,5.6,16.0,7.7,1.79
Stone,Garrett,OF,,2023-05-19,,WAS,DET,7,,R,+1.5,9,4.5,3000,2.0,5.6,18.0,7.7,2.57
Bryan,De La Cruz,OF,,2023-05-19,,MIA,SF,5,,R,+1.5,7.5,3.6,3300,6.0,14.6,23.0,7.7,2.33
Luis,Arraez,2B,,2023-05-19,,MIA,SF,3,,L,+1.5,7.5,3.6,5400,0.0,7.0,12.0,7.7,1.43
Akil,Baddoo,OF,,2023-05-19,,DET,WAS,7,,L,-1.5,9,4.6,2600,0.0,2.8,7.0,7.7,2.96
Ty,France,1B,,2023-05-19,,SEA,ATL,2,,R,+1.5,9,4.1,4000,3.0,6.0,14.0,7.6,1.90
Jake,Meyers,OF,,2023-05-19,,HOU,OAK,,,R,-1.5,9,5.5,2500,2.0,7.0,19.0,7.6,3.04
Brandon,Belt,1B,,2023-05-19,,TOR,BAL,7,,L,-1.5,9.5,5.2,2300,0.0,5.2,11.0,7.6,3.30
Jace,Peterson,3B,,2023-05-19,,OAK,HOU,9,,L,+1.5,9,3.5,2600,2.0,6.8,14.0,7.5,2.88
Karl,Kauffmann,P,,2023-05-19,,COL,TEX,,YES,,+1.5,9,3.7,5000,,,,7.5,1.50
Jean,Segura,3B,,2023-05-19,,MIA,SF,6,,R,+1.5,7.5,3.6,2700,7.0,8.6,11.0,7.5,2.78
Andrew,Vaughn,1B,,2023-05-19,,CWS,KC,5,,R,-1.5,9.5,4.9,2600,0.0,5.6,14.0,7.5,2.88
Ryan,McMahon,3B,,2023-05-19,,COL,TEX,5,,L,+1.5,9,3.7,4700,0.0,8.4,21.0,7.5,1.60
Garrett,Cooper,1B,,2023-05-19,,MIA,SF,2,,R,+1.5,7.5,3.6,4600,0.0,6.2,12.0,7.5,1.63
Chris,Taylor,OF,,2023-05-19,,LAD,STL,8,,R,-1.5,9,4.7,3200,0.0,2.4,7.0,7.4,2.31
Francisco,Lindor,SS,,2023-05-19,,NYM,CLE,2,,S,-1.5,9,4.9,4900,3.0,6.4,12.0,7.4,1.51
Andres,Gimenez,2B,,2023-05-19,,CLE,NYM,5,,L,+1.5,9,4.1,4300,3.0,6.8,14.0,7.4,1.72
James,McCann,C,,2023-05-19,,BAL,TOR,6,,R,+1.5,9.5,4.4,2500,0.0,0.6,3.0,7.3,2.92
Hunter,Renfroe,OF,,2023-05-19,,LAA,MIN,4,,R,+1.5,8,3.9,4700,0.0,4.2,16.0,7.3,1.55
Aledmys,Diaz,3B,,2023-05-19,,OAK,HOU,7,,R,+1.5,9,3.5,2400,0.0,4.2,10.0,7.3,3.04
Ha-Seong,Kim,2B,,2023-05-19,,SD,BOS,7,,R,-1.5,8,4.3,3500,0.0,6.6,14.0,7.3,2.09
Thairo,Estrada,2B,,2023-05-19,,SF,MIA,2,,R,-1.5,7.5,3.9,5500,2.0,7.4,12.0,7.3,1.33
Josh,Bell,1B,,2023-05-19,,CLE,NYM,4,,S,+1.5,9,4.1,3000,3.0,5.8,11.0,7.3,2.43
Nick,Maton,3B,,2023-05-19,,DET,WAS,5,,L,-1.5,9,4.6,3000,0.0,1.6,4.0,7.3,2.43
Jake,Burger,3B,,2023-05-19,,CWS,KC,8,,R,-1.5,9.5,4.9,2800,0.0,13.6,27.0,7.3,2.61
Jake,Cronenworth,1B,,2023-05-19,,SD,BOS,6,,L,-1.5,8,4.3,4100,0.0,6.6,21.0,7.2,1.76
Jeff,McNeil,2B,,2023-05-19,,NYM,CLE,3,,L,-1.5,9,4.9,3600,3.0,6.8,10.0,7.2,2.00
Rob,Refsnyder,OF,,2023-05-19,,BOS,SD,6,,R,+1.5,8,3.7,3000,0.0,7.2,20.0,7.2,2.40
Marcell,Ozuna,OF,,2023-05-19,,ATL,SEA,7,,R,-1.5,9,4.9,2800,5.0,11.2,21.0,7.2,2.57
Sean,Murphy,C,,2023-05-19,,ATL,SEA,4,,R,-1.5,9,4.9,5100,0.0,5.0,16.0,7.2,1.41
Edward,Olivares,OF,,2023-05-19,,KC,CWS,5,,R,+1.5,9.5,4.6,2900,0.0,3.8,10.0,7.2,2.48
Andrew,Benintendi,OF,,2023-05-19,,CWS,KC,2,,L,-1.5,9.5,4.9,3200,6.0,10.2,15.0,7.2,2.25
Ryan,Jeffers,C,,2023-05-19,,MIN,LAA,8,,R,-1.5,8,4.2,2500,0.0,4.0,14.0,7.1,2.84
Masataka,Yoshida,OF,,2023-05-19,,BOS,SD,4,,L,+1.5,8,3.7,5400,0.0,9.8,23.0,7.1,1.31
Donovan,Solano,1B,,2023-05-19,,MIN,LAA,2,,R,-1.5,8,4.2,2100,0.0,3.6,10.0,7.1,3.38
Nick,Castellanos,OF,,2023-05-19,,PHI,CHC,4,,R,-1.5,9,4.7,4700,0.0,5.6,15.0,7.1,1.51
Yan,Gomes,C,,2023-05-19,,CHC,PHI,8,,R,+1.5,9,4.3,2800,0.0,7.0,24.0,7.0,2.50
Martin,Maldonado,C,,2023-05-19,,HOU,OAK,9,,R,-1.5,9,5.5,2100,0.0,5.0,13.0,7.0,3.33
Willi,Castro,3B,,2023-05-19,,MIN,LAA,7,,S,-1.5,8,4.2,2200,0.0,7.6,18.0,7.0,3.18
Bryson,Stott,2B,,2023-05-19,,PHI,CHC,1,,L,-1.5,9,4.7,4500,3.0,9.0,16.0,7.0,1.56
Paul,DeJong,SS,,2023-05-19,,STL,LAD,8,,R,+1.5,9,4.3,2600,2.0,11.0,16.0,7.0,2.69
