first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Chris,Sale,P,,8/26/21,,BOS,MIN,,YES,-1.5,10,6.2,10200,21.7,22.7,23.7,21.3,2.09,,
Max,Scherzer,P,,8/26/21,,LAD,SD,,,-1.5,7.5,4,10400,17.2,24.6,32.2,20.9,2.01,,
Yu,Darvish,P,,8/26/21,,SD,LAD,,,1.5,7.5,3.5,9900,-1.3,13.8,33.4,19.7,1.99,,
Elieser,Hernandez,P,,8/26/21,,MIA,WAS,,YES,-1.5,7.5,3.8,7600,0,1,5,17.2,2.26,,
Alex,Wood,P,,8/26/21,,SF,NYM,,YES,-1.5,8.5,4.4,8700,5,13,23.8,17.2,1.98,,
Patrick,Corbin,P,,8/26/21,,WAS,MIA,,YES,1.5,7.5,3.7,8200,1.9,12.7,27.9,15.9,1.94,,
James,Kaprielian,P,,8/26/21,,OAK,NYY,,,1.5,8.5,4.2,7400,0.7,14.6,27.3,14.8,2,,
Zac,Gallen,P,,8/26/21,,ARI,PHI,,YES,1.5,8.5,3.8,7200,6.7,19.2,31.4,14.7,2.04,,
Yusei,Kikuchi,P,,8/26/21,,SEA,KC,,YES,-1.5,8,4.4,7300,-11.1,10.1,20.7,14.6,2,,
Carlos,Carrasco,P,,8/26/21,,NYM,SF,,YES,1.5,8.5,4.1,7500,-5.7,8.1,13.7,14.3,1.91,,
Miles,Mikolas,P,,8/26/21,,STL,PIT,,YES,-1.5,8.5,4.8,7100,10.6,14.7,18.9,14.3,2.01,,
Matt,Moore,P,,8/26/21,,PHI,ARI,,YES,-1.5,8.5,4.7,7500,-7.6,8.9,32.3,14.2,1.89,,
Jameson,Taillon,P,,8/26/21,,NYY,OAK,,,-1.5,8.5,4.3,7800,8.5,18.6,26.7,13.5,1.73,,
Mitch,Keller,P,,8/26/21,,PIT,STL,,YES,1.5,8.5,3.7,6200,-1.9,7.5,23.1,12,1.94,,
Jose,Ramirez,3B,,8/26/21,,CLE,TEX,3,,-1.5,9.5,5.2,5900,0,10.4,28,11.8,2,,
Brad,Keller,P,,8/26/21,,KC,SEA,,YES,1.5,8,3.6,5200,2.6,14.9,28.5,11.7,2.25,,
Jordan,Lyles,P,,8/26/21,,TEX,CLE,,YES,1.5,9.5,4.3,6000,0,0,0,10.4,1.73,,
Bryce,Harper,OF,,8/26/21,,PHI,ARI,3,,-1.5,8.5,4.7,6400,3,8.4,14,10.3,1.61,,
John,Gant,P,,8/26/21,,MIN,BOS,,YES,1.5,10,3.8,5500,0,0,0,10.2,1.85,,
Kyle,Schwarber,OF,,8/26/21,,BOS,MIN,2,,-1.5,10,6.2,4800,2,8.4,17,10,2.08,,
J.D.,Martinez,OF,,8/26/21,,BOS,MIN,3,,-1.5,10,6.2,5000,0,4.4,10,10,2,,
Franmil,Reyes,OF,,8/26/21,,CLE,TEX,4,,-1.5,9.5,5.2,5500,2,8.2,18,9.9,1.8,,
Sam,Hentges,P,,8/26/21,,CLE,TEX,,YES,-1.5,9.5,5.2,6500,0,0,0,9.9,1.52,,
Rafael,Devers,3B,,8/26/21,,BOS,MIN,4,,-1.5,10,6.2,6000,0,4,16,9.9,1.65,,
Juan,Soto,OF,,8/26/21,,WAS,MIA,3,,1.5,7.5,3.7,5600,0,6.4,14,9.7,1.73,,
Fernando,Tatis Jr.,OF,,8/26/21,,SD,LAD,,,1.5,7.5,3.5,6500,4,6.8,9,9.4,1.45,,
Paul,Goldschmidt,1B,,8/26/21,,STL,PIT,2,,-1.5,8.5,4.8,4800,0,11.6,23,9.4,1.96,,
J.T.,Realmuto,C,,8/26/21,,PHI,ARI,4,,-1.5,8.5,4.7,5400,0,7.8,19,9.2,1.7,,
Starling,Marte,OF,,8/26/21,,OAK,NYY,,,1.5,8.5,4.2,5400,5,15.2,25,9.1,1.69,,
Tommy,Edman,2B,,8/26/21,,STL,PIT,1,,-1.5,8.5,4.8,4200,0,8.6,12,9,2.14,,
Trea,Turner,2B,,8/26/21,,LAD,SD,,,-1.5,7.5,4,5400,0,10,15,8.9,1.65,,
Myles,Straw,OF,,8/26/21,,CLE,TEX,1,,-1.5,9.5,5.2,3000,0,10.4,29,8.7,2.9,,
Adolis,Garcia,OF,,8/26/21,,TEX,CLE,3,,1.5,9.5,4.3,3100,2,12,21,8.6,2.77,,
Mitch,Haniger,OF,,8/26/21,,SEA,KC,2,,-1.5,8,4.4,4400,0,4.8,9,8.6,1.95,,
Matt,Olson,1B,,8/26/21,,OAK,NYY,,,1.5,8.5,4.2,5100,0,5.6,15,8.6,1.69,,
Dylan,Carlson,OF,,8/26/21,,STL,PIT,3,,-1.5,8.5,4.8,3300,0,7.6,12,8.6,2.61,,
Jean,Segura,2B,,8/26/21,,PHI,ARI,2,,-1.5,8.5,4.7,5000,0,7.2,20,8.5,1.7,,
Pete,Alonso,1B,,8/26/21,,NYM,SF,4,,1.5,8.5,4.1,4900,3,7.8,12,8.5,1.73,,
Nolan,Arenado,3B,,8/26/21,,STL,PIT,4,,-1.5,8.5,4.8,5500,0,3.4,12,8.4,1.53,,
Salvador,Perez,C,,8/26/21,,KC,SEA,3,,1.5,8,3.6,5500,0,4.6,14,8.3,1.51,,
Manny,Machado,3B,,8/26/21,,SD,LAD,,,1.5,7.5,3.5,5200,2,5.4,10,8.2,1.58,,
LaMonte,Wade Jr.,OF,,8/26/21,,SF,NYM,1,,-1.5,8.5,4.4,3600,0,4.2,12,8.2,2.28,,
Ketel,Marte,OF,,8/26/21,,ARI,PHI,2,,1.5,8.5,3.8,4900,3,10.4,16,8.2,1.67,,
Alex,Verdugo,OF,,8/26/21,,BOS,MIN,5,,-1.5,10,6.2,3500,0,9.8,29,8.1,2.31,,
Anthony,Rizzo,1B,,8/26/21,,NYY,OAK,,,-1.5,8.5,4.3,3400,0,4,11,8.1,2.38,,
Bryan,Reynolds,OF,,8/26/21,,PIT,STL,3,,1.5,8.5,3.7,4000,2,6.8,17,8.1,2.03,,
Aaron,Judge,OF,,8/26/21,,NYY,OAK,,,-1.5,8.5,4.3,5100,2,8.6,13,8,1.57,,
Max,Muncy,1B,,8/26/21,,LAD,SD,,,-1.5,7.5,4,5600,0,3.2,12,8,1.43,,
Jesus,Aguilar,1B,,8/26/21,,MIA,WAS,2,,-1.5,7.5,3.8,3400,0,6,12,8,2.35,,
Bradley,Zimmer,OF,,8/26/21,,CLE,TEX,5,,-1.5,9.5,5.2,2300,0,3.8,7,7.9,3.43,,
Kyle,Seager,3B,,8/26/21,,SEA,KC,3,,-1.5,8,4.4,4100,0,5.2,11,7.9,1.93,,
