first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Alex,Wood,P,,2021-05-10,,SF,TEX,,,-1.5,7,3.8,9800,5.7,19.1,32.3,19.3,1.97
Tyler,Mahle,P,,2021-05-10,,CIN,PIT,,YES,-1.5,7.5,4.1,9400,3.9,16.2,29.6,16.9,1.80
Mitch,Keller,P,,2021-05-10,,PIT,CIN,,YES,+1.5,7.5,3.4,6800,-12.2,9.4,25.7,14.6,2.15
Luke,Weaver,P,,2021-05-10,,ARI,MIA,,YES,-1.5,4.5,2.4,9000,0.0,10.9,37.6,13.9,1.54
Kyle,Gibson,P,,2021-05-10,,TEX,SF,,YES,+1.5,7,3.2,8600,16.7,21.9,27.6,13.1,1.52
Luis,Garcia,P,,2021-05-10,,HOU,LAA,,YES,-1.5,5,2.8,8400,0.0,0.0,0.0,12.6,1.50
Martin,Perez,P,,2021-05-10,,BOS,BAL,,YES,-1.5,9,4.8,7300,3.0,10.0,20.7,12.3,1.68
Xander,Bogaerts,SS,,2021-05-10,,BOS,BAL,4,,-1.5,9,4.8,5400,0.0,8.4,17.0,11.8,2.19
Mike,Trout,OF,,2021-05-10,,LAA,HOU,3,,+1.5,5,2.2,5800,0.0,3.4,8.0,10.9,1.88
Rafael,Devers,3B,,2021-05-10,,BOS,BAL,5,,-1.5,9,4.8,5200,6.0,13.6,19.0,10.2,1.96
J.D.,Martinez,OF,,2021-05-10,,BOS,BAL,3,,-1.5,9,4.8,5400,3.0,9.0,16.0,9.8,1.81
Alex,Bregman,3B,,2021-05-10,,HOU,LAA,3,,-1.5,5,2.8,5000,0.0,11.0,24.0,9.8,1.96
Jose,Altuve,2B,,2021-05-10,,HOU,LAA,1,,-1.5,5,2.8,5100,3.0,8.6,14.0,9.7,1.90
Yordan,Alvarez,OF,,2021-05-10,,HOU,LAA,4,,-1.5,5,2.8,5100,3.0,12.4,17.0,9.3,1.82
Alex,Verdugo,OF,,2021-05-10,,BOS,BAL,2,,-1.5,9,4.8,4100,5.0,9.0,12.0,9.2,2.24
Jesse,Winker,OF,,2021-05-10,,CIN,PIT,2,,-1.5,7.5,4.1,4600,2.0,9.4,15.0,9.1,1.98
Jorge,Lopez,P,,2021-05-10,,BAL,BOS,,YES,+1.5,9,4.2,6500,-2.4,8.7,25.5,9.0,1.38
Mike,Yastrzemski,OF,,2021-05-10,,SF,TEX,,,-1.5,7,3.8,5300,2.0,6.8,12.0,8.9,1.68
Hunter,Renfroe,OF,,2021-05-10,,BOS,BAL,7,,-1.5,9,4.8,3000,0.0,5.8,10.0,8.8,2.93
Marwin,Gonzalez,2B,,2021-05-10,,BOS,BAL,1,,-1.5,9,4.8,3300,10.0,10.6,12.0,8.8,2.67
Christian,Walker,1B,,2021-05-10,,ARI,MIA,5,,-1.5,4.5,2.4,3600,0.0,4.0,9.0,8.7,2.42
Brandon,Belt,1B,,2021-05-10,,SF,TEX,,,-1.5,7,3.8,4300,0.0,9.0,23.0,8.7,2.02
Carlos,Correa,SS,,2021-05-10,,HOU,LAA,6,,-1.5,5,2.8,5000,0.0,2.2,9.0,8.7,1.74
Nick,Castellanos,OF,,2021-05-10,,CIN,PIT,3,,-1.5,7.5,4.1,5600,0.0,9.6,31.0,8.6,1.54
Michael,Brantley,OF,,2021-05-10,,HOU,LAA,2,,-1.5,5,2.8,4300,0.0,6.6,14.0,8.6,2.00
Austin,Hays,OF,,2021-05-10,,BAL,BOS,2,,+1.5,9,4.2,3800,0.0,8.4,17.0,8.5,2.24
Jordan,Holloway,P,,2021-05-10,,MIA,ARI,,YES,+1.5,4.5,2.1,4000,0.0,5.6,10.5,8.4,2.10
Mike,Moustakas,3B,,2021-05-10,,CIN,PIT,4,,-1.5,7.5,4.1,3800,0.0,5.2,19.0,8.4,2.21
Christian,Vazquez,C,,2021-05-10,,BOS,BAL,6,,-1.5,9,4.8,4300,0.0,8.6,16.0,8.4,1.95
David,Peralta,OF,,2021-05-10,,ARI,MIA,4,,-1.5,4.5,2.4,5200,2.0,2.6,4.0,8.3,1.60
Jesus,Aguilar,1B,,2021-05-10,,MIA,ARI,2,,+1.5,4.5,2.1,4900,0.0,3.0,13.0,8.2,1.67
Pavin,Smith,1B,,2021-05-10,,ARI,MIA,1,,-1.5,4.5,2.4,4000,0.0,5.2,16.0,8.1,2.03
Asdrubal,Cabrera,1B,,2021-05-10,,ARI,MIA,3,,-1.5,4.5,2.4,3700,2.0,4.8,8.0,8.1,2.19
Kyle,Tucker,OF,,2021-05-10,,HOU,LAA,7,,-1.5,5,2.8,3300,0.0,9.6,30.0,8.0,2.42
Ryan,Mountcastle,1B,,2021-05-10,,BAL,BOS,4,,+1.5,9,4.2,3500,0.0,6.6,15.0,8.0,2.29
Trey,Mancini,1B,,2021-05-10,,BAL,BOS,3,,+1.5,9,4.2,4800,4.0,9.4,13.0,8.0,1.67
Yuli,Gurriel,1B,,2021-05-10,,HOU,LAA,5,,-1.5,5,2.8,5100,0.0,10.8,24.0,8.0,1.57
Nick,Senzel,2B,,2021-05-10,,CIN,PIT,1,,-1.5,7.5,4.1,3100,0.0,5.2,9.0,7.9,2.55
Eduardo,Escobar,2B,,2021-05-10,,ARI,MIA,6,,-1.5,4.5,2.4,4800,0.0,0.8,2.0,7.9,1.65
Garrett,Cooper,OF,,2021-05-10,,MIA,ARI,3,,+1.5,4.5,2.1,3800,0.0,2.8,5.0,7.9,2.08
Eugenio,Suarez,SS,,2021-05-10,,CIN,PIT,6,,-1.5,7.5,4.1,4500,0.0,4.2,17.0,7.8,1.73
Bryan,Reynolds,OF,DTD,2021-05-10,,PIT,CIN,2,,+1.5,7.5,3.4,4000,0.0,8.2,18.0,7.8,1.95
Carson,Kelly,C,,2021-05-10,,ARI,MIA,2,,-1.5,4.5,2.4,5100,0.0,4.4,8.0,7.8,1.53
Nick,Solak,2B,,2021-05-10,,TEX,SF,2,,+1.5,7,3.2,4200,0.0,9.4,20.0,7.7,1.83
Jared,Walsh,1B,,2021-05-10,,LAA,HOU,4,,+1.5,5,2.2,4200,0.0,9.0,19.0,7.7,1.83
Corey,Dickerson,OF,,2021-05-10,,MIA,ARI,4,,+1.5,4.5,2.1,4100,0.0,6.8,13.0,7.7,1.88
Adolis,Garcia,OF,,2021-05-10,,TEX,SF,4,,+1.5,7,3.2,3200,5.0,12.2,21.0,7.7,2.41
Justin,Upton,OF,,2021-05-10,,LAA,HOU,5,,+1.5,5,2.2,2800,0.0,3.2,7.0,7.6,2.71
Junior,Guerra,P,,2021-05-10,,LAA,HOU,,YES,+1.5,5,2.2,4000,-7.6,3.9,11.6,7.6,1.90
Brian,Anderson,3B,,2021-05-10,,MIA,ARI,5,,+1.5,4.5,2.1,4000,3.0,7.2,15.0,7.6,1.90
