first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
John,Means,P,,4/25/21,,BAL,OAK,,YES,1.5,8,3.8,8900,0,0,0,13.8,1.55,,
Jake,Arrieta,P,,4/25/21,,CHC,MIL,,YES,1.5,6.5,3.1,7900,12.3,17,21.3,12.7,1.61,,
Jameson,Taillon,P,,4/25/21,,NYY,CLE,,YES,-1.5,8,4.2,8300,-2.2,10.6,17.7,12.7,1.53,,
Kohei,Arihara,P,,4/25/21,,TEX,CWS,,YES,1.5,7.5,3.2,7000,3.4,14.1,25.3,11,1.57,,
Michael,Fulmer,P,,4/25/21,,DET,KC,,YES,1.5,8,3.9,5300,0,7.8,15.8,10.7,2.02,,
Byron,Buxton,OF,,4/25/21,,MIN,PIT,4,,-1.5,8.5,5,5600,0,7.6,22,10.4,1.86,,
Nelson,Cruz,OF,,4/25/21,,MIN,PIT,3,,-1.5,8.5,5,5400,0,5.2,18,10.2,1.89,,
Josh,Donaldson,3B,,4/25/21,,MIN,PIT,2,,-1.5,8.5,5,4700,0,7,22,10.2,2.17,,
Xander,Bogaerts,SS,,4/25/21,,BOS,SEA,4,,-1.5,8.5,4.9,5800,3,9.2,19,10,1.72,,
J.D.,Martinez,OF,,4/25/21,,BOS,SEA,3,,-1.5,8.5,4.9,5700,4,7.2,12,9.9,1.74,,
Nick,Margevicius,P,,4/25/21,,SEA,BOS,,YES,1.5,8.5,3.6,5800,2.3,9.3,21.9,9.7,1.67,,
Aaron,Judge,OF,,4/25/21,,NYY,CLE,3,,-1.5,8,4.2,5500,2,6.4,10,9.3,1.69,,
Michael,Kopech,P,,4/25/21,,CWS,TEX,,YES,-1.5,7.5,4.3,6900,3.3,10.6,13.9,9.2,1.33,,
Rafael,Devers,3B,,4/25/21,,BOS,SEA,5,,-1.5,8.5,4.9,5500,0,12.6,20,9,1.64,,
Yordan,Alvarez,OF,,4/25/21,,HOU,LAA,,,-1.5,8.5,4.5,4800,0,9.8,24,8.9,1.85,,
Giancarlo,Stanton,OF,,4/25/21,,NYY,CLE,2,,-1.5,8,4.2,4400,0,6,14,8.8,2,,
Ronald,Acuna Jr.,OF,,4/25/21,,ATL,ARI,1,,-1.5,7,4,6200,0,8.2,14,8.8,1.42,,
Whit,Merrifield,2B,,4/25/21,,KC,DET,1,,-1.5,8,4.1,5500,0,6.4,15,8.8,1.6,,
Mark,Canha,OF,,4/25/21,,OAK,BAL,1,,-1.5,8,4.2,4100,2,13.4,23,8.8,2.15,,
Alex,Bregman,3B,,4/25/21,,HOU,LAA,,,-1.5,8.5,4.5,5000,0,10.4,22,8.7,1.74,,
Matt,Chapman,3B,,4/25/21,,OAK,BAL,5,,-1.5,8,4.2,4600,0,2.2,7,8.7,1.89,,
Trea,Turner,SS,,4/25/21,,WAS,NYM,3,,1.5,7.5,3.4,5600,0,4.8,13,8.7,1.55,,
Mitch,Haniger,OF,,4/25/21,,SEA,BOS,1,,1.5,8.5,3.6,4000,0,6,17,8.7,2.18,,
Pete,Alonso,1B,,4/25/21,,NYM,WAS,2,,-1.5,7.5,4.1,5100,0,6.6,11,8.7,1.71,,
Jose,Ramirez,3B,,4/25/21,,CLE,NYY,3,,1.5,8,3.8,5200,7,9.8,13,8.6,1.65,,
Mitch,Garver,C,,4/25/21,,MIN,PIT,7,,-1.5,8.5,5,4500,0,3.8,19,8.6,1.91,,
Kole,Calhoun,OF,,4/25/21,,ARI,ATL,2,,1.5,7,3,3000,0,4.8,18,8.6,2.87,,
Jose,Abreu,1B,,4/25/21,,CWS,TEX,4,,-1.5,7.5,4.3,5700,0,6.6,21,8.6,1.51,,
Tim,Anderson,SS,,4/25/21,,CWS,TEX,1,,-1.5,7.5,4.3,5400,3,12.2,28,8.5,1.57,,
Kolten,Wong,2B,,4/25/21,,MIL,CHC,,,-1.5,6.5,3.4,3200,0,8.8,18,8.5,2.66,,
Luis,Arraez,2B,,4/25/21,,MIN,PIT,1,,-1.5,8.5,5,4100,0,4.8,17,8.5,2.07,,
Wil,Crowe,P,,4/25/21,,PIT,MIN,,,1.5,8.5,3.5,5000,0.7,0.7,0.7,8.5,1.7,,
Bo,Bichette,SS,,4/25/21,,TOR,TB,2,,-1.5,7.5,3.9,5500,0,6.4,12,8.5,1.55,,
David,Peralta,OF,,4/25/21,,ARI,ATL,4,,1.5,7,3,4900,5,16.2,41,8.4,1.71,,
Carlos,Santana,1B,,4/25/21,,KC,DET,2,,-1.5,8,4.1,4900,0,10.8,19,8.4,1.71,,
Matt,Olson,1B,,4/25/21,,OAK,BAL,3,,-1.5,8,4.2,4700,6,12.4,19,8.3,1.77,,
Adam,Eaton,OF,,4/25/21,,CWS,TEX,2,,-1.5,7.5,4.3,4500,0,8.2,22,8.3,1.84,,
Salvador,Perez,C,,4/25/21,,KC,DET,3,,-1.5,8,4.1,5600,0,4.6,10,8.3,1.48,,
Yoan,Moncada,3B,,4/25/21,,CWS,TEX,3,,-1.5,7.5,4.3,4900,5,10.6,19,8.2,1.67,,
Eddie,Rosario,OF,,4/25/21,,CLE,NYY,4,,1.5,8,3.8,4100,0,4.8,10,8.2,2,,
Ramon,Laureano,OF,,4/25/21,,OAK,BAL,4,,-1.5,8,4.2,4700,0,6.4,13,8.2,1.74,,
Rougned,Odor,2B,,4/25/21,,NYY,CLE,4,,-1.5,8,4.2,2700,0,6,10,8.2,3.04,,
Vladimir,Guerrero Jr.,1B,,4/25/21,,TOR,TB,3,,-1.5,7.5,3.9,5400,0,6,19,8.2,1.52,,
Luis,Robert,OF,,4/25/21,,CWS,TEX,6,,-1.5,7.5,4.3,5000,0,10.6,21,8.2,1.64,,
Francisco,Lindor,SS,,4/25/21,,NYM,WAS,3,,-1.5,7.5,4.1,4800,2,5,15,8.2,1.71,,
Michael,Brantley,OF,,4/25/21,,HOU,LAA,,,-1.5,8.5,4.5,5100,0,12.6,34,8.1,1.59,,
Brett,Gardner,OF,,4/25/21,,NYY,CLE,1,,-1.5,8,4.2,3400,0,1.8,5,8.1,2.38,,
Cavan,Biggio,3B,,4/25/21,,TOR,TB,1,,-1.5,7.5,3.9,3300,0,4.8,16,8,2.42,,
Marcus,Semien,2B,,4/25/21,,TOR,TB,5,,-1.5,7.5,3.9,4900,0,9.2,15,8,1.63,,
Jorge,Polanco,2B,,4/25/21,,MIN,PIT,6,,-1.5,8.5,5,4000,0,7,23,7.9,1.98,,
Kyle,Tucker,OF,,4/25/21,,HOU,LAA,,,-1.5,8.5,4.5,4000,0,4.8,12,7.9,1.98,,
Niko,Goodrum,2B,,4/25/21,,DET,KC,2,,1.5,8,3.9,4000,0,6,11,7.9,1.98,,
Hunter,Renfroe,OF,,4/25/21,,BOS,SEA,8,,-1.5,8.5,4.9,3300,0,4.4,7,7.9,2.39,,
Shohei,Ohtani,1B,,4/25/21,,LAA,HOU,,,1.5,8.5,4,5000,0,10.6,18.8,7.9,1.58,,
Keston,Hiura,1B,,4/25/21,,MIL,CHC,,,-1.5,6.5,3.4,4000,0,4.2,16,7.8,1.95,,
Jesse,Winker,OF,,4/25/21,,CIN,STL,2,,1.5,7,3.3,4500,3,11.2,20,7.8,1.73,,
Alex,Kirilloff,1B,,4/25/21,,MIN,PIT,5,,-1.5,8.5,5,2000,0,0.8,3,7.7,3.85,,
Robbie,Grossman,OF,,4/25/21,,DET,KC,1,,1.5,8,3.9,3900,0,4.2,14,7.7,1.97,,
Franmil,Reyes,OF,,4/25/21,,CLE,NYY,5,,1.5,8,3.8,4700,0,9.6,15,7.7,1.64,,
Ty,France,2B,,4/25/21,,SEA,BOS,2,,1.5,8.5,3.6,3700,0,10.2,27,7.7,2.08,,
Nate,Lowe,1B,,4/25/21,,TEX,CWS,4,,1.5,7.5,3.2,4300,4,9.2,13,7.7,1.79,,
Gleyber,Torres,SS,,4/25/21,,NYY,CLE,5,,-1.5,8,4.2,4300,0,3.8,13,7.7,1.79,,
Christian,Vazquez,C,,4/25/21,,BOS,SEA,6,,-1.5,8.5,4.9,5100,0,4,13,7.7,1.51,,
Yermin,Mercedes,1B,,4/25/21,,CWS,TEX,5,,-1.5,7.5,4.3,5200,0,6.6,25,7.7,1.48,,
Kyle,Lewis,OF,,4/25/21,,SEA,BOS,4,,1.5,8.5,3.6,3100,0,4,11,7.7,2.48,,
Jed,Lowrie,2B,,4/25/21,,OAK,BAL,2,,-1.5,8,4.2,4500,0,7.4,22,7.7,1.71,,
Brandon,Nimmo,OF,,4/25/21,,NYM,WAS,1,,-1.5,7.5,4.1,3800,0,7.6,26,7.7,2.03,,
Gio,Urshela,3B,,4/25/21,,NYY,CLE,6,,-1.5,8,4.2,3400,2,6.4,15,7.6,2.24,,
Austin,Meadows,OF,,4/25/21,,TB,TOR,3,,1.5,7.5,3.7,3900,0,9.6,22,7.6,1.95,,
Yuli,Gurriel,1B,,4/25/21,,HOU,LAA,,,-1.5,8.5,4.5,4500,2,10,19,7.6,1.69,,
Jackie,Bradley Jr.,OF,,4/25/21,,MIL,CHC,,,-1.5,6.5,3.4,3300,0,2.2,5,7.6,2.3,,
Javier,Baez,SS,,4/25/21,,CHC,MIL,5,,1.5,6.5,3.1,4600,0,11,18,7.6,1.65,,
Miguel,Cabrera,1B,,4/25/21,,DET,KC,3,,1.5,8,3.9,3500,0,2.8,8,7.5,2.14,,
Anthony,Rizzo,1B,,4/25/21,,CHC,MIL,3,,1.5,6.5,3.1,4300,0,9,19,7.5,1.74,,
Kyle,Schwarber,OF,,4/25/21,,WAS,NYM,5,,1.5,7.5,3.4,4500,0,2.4,10,7.4,1.64,,
Avisail,Garcia,OF,DTD,4/25/21,,MIL,CHC,,,-1.5,6.5,3.4,3500,0,3.2,12,7.4,2.11,,
Travis,Shaw,3B,,4/25/21,,MIL,CHC,,,-1.5,6.5,3.4,4500,0,4.2,14,7.4,1.64,,
Michael,Conforto,OF,,4/25/21,,NYM,WAS,5,,-1.5,7.5,4.1,4100,2,5.4,8,7.4,1.8,,
Eduardo,Escobar,2B,,4/25/21,,ARI,ATL,3,,1.5,7,3,4800,0,7.6,12,7.4,1.54,,
Kyle,Seager,3B,,4/25/21,,SEA,BOS,3,,1.5,8.5,3.6,4400,0,11,32,7.4,1.68,,
Andrew,Benintendi,OF,,4/25/21,,KC,DET,7,,-1.5,8,4.1,3400,0,5.4,14,7.4,2.18,,
Marcell,Ozuna,OF,,4/25/21,,ATL,ARI,3,,-1.5,7,4,5200,2,7.8,16,7.4,1.42,,
Cesar,Hernandez,2B,,4/25/21,,CLE,NYY,2,,1.5,8,3.8,3800,0,4.8,11,7.4,1.95,,
Nick,Castellanos,OF,,4/25/21,,CIN,STL,3,,1.5,7,3.3,5900,0,6.2,14,7.4,1.25,,
Nick,Ahmed,SS,,4/25/21,,ARI,ATL,7,,1.5,7,3,3000,0,0,0,7.4,2.47,,
Joey,Gallo,OF,,4/25/21,,TEX,CWS,3,,1.5,7.5,3.2,3800,2,6.2,12,7.4,1.95,,
Jeimer,Candelario,3B,,4/25/21,,DET,KC,4,,1.5,8,3.9,4500,0,4,13,7.4,1.64,,
Hunter,Dozier,3B,,4/25/21,,KC,DET,6,,-1.5,8,4.1,3600,0,2.6,9,7.3,2.03,,
Mike,Ford,1B,,4/25/21,,NYY,CLE,7,,-1.5,8,4.2,2800,0,2.2,4,7.3,2.61,,
Randy,Arozarena,OF,,4/25/21,,TB,TOR,2,,1.5,7.5,3.7,4300,3,8.6,14,7.3,1.7,,
Nick,Solak,2B,,4/25/21,,TEX,CWS,7,,1.5,7.5,3.2,4700,5,8,11,7.3,1.55,,
Paul,Goldschmidt,1B,,4/25/21,,STL,CIN,,,-1.5,7,3.7,4400,0,7.2,17,7.2,1.64,,
Adolis,Garcia,OF,,4/25/21,,TEX,CWS,5,,1.5,7.5,3.2,3800,3,11.2,18,7.2,1.89,,
Freddie,Freeman,1B,,4/25/21,,ATL,ARI,2,,-1.5,7,4,6000,0,7,21,7.2,1.2,,
Amed,Rosario,OF,,4/25/21,,CLE,NYY,1,,1.5,8,3.8,3400,0,3.6,7,7.2,2.12,,
Gary,Sanchez,C,,4/25/21,,NYY,CLE,8,,-1.5,8,4.2,4200,0,1.4,5,7.2,1.71,,
Bobby,Dalbec,1B,,4/25/21,,BOS,SEA,9,,-1.5,8.5,4.9,3700,0,6.2,16,7.2,1.95,,
Stephen,Piscotty,OF,,4/25/21,,OAK,BAL,6,,-1.5,8,4.2,2700,0,4.4,8,7.2,2.67,,
Dylan,Carlson,OF,,4/25/21,,STL,CIN,,,-1.5,7,3.7,2700,2,10.4,19,7.1,2.63,,
Ryan,O'Hearn,1B,,4/25/21,,KC,DET,5,,-1.5,8,4.1,3400,0,3.6,11,7.1,2.09,,
Nolan,Arenado,3B,,4/25/21,,STL,CIN,,,-1.5,7,3.7,4400,3,5.6,8,7.1,1.61,,
Dylan,Moore,2B,,4/25/21,,SEA,BOS,6,,1.5,8.5,3.6,3500,0,4,11,7.1,2.03,,
Ozzie,Albies,2B,,4/25/21,,ATL,ARI,4,,-1.5,7,4,5000,2,8,17,7.1,1.42,,
Brandon,Lowe,2B,,4/25/21,,TB,TOR,5,,1.5,7.5,3.7,4200,0,5.8,16,7.1,1.69,,
Adam,Frazier,2B,,4/25/21,,PIT,MIN,,,1.5,8.5,3.5,4400,0,6,23,7.1,1.61,,
Jake,Cave,OF,,4/25/21,,MIN,PIT,8,,-1.5,8.5,5,2000,0,5.4,20,7,3.5,,
Myles,Straw,OF,,4/25/21,,HOU,LAA,,,-1.5,8.5,4.5,2400,0,10.2,22,7,2.92,,
Ian,Happ,OF,,4/25/21,,CHC,MIL,1,,1.5,6.5,3.1,3700,0,4.2,9,7,1.89,,
Maikel,Franco,3B,,4/25/21,,BAL,OAK,3,,1.5,8,3.8,3700,2,4.8,8,7,1.89,,
Willians,Astudillo,1B,,4/25/21,,MIN,PIT,9,,-1.5,8.5,5,3300,0,3,7,7,2.12,,
Justin,Upton,OF,,4/25/21,,LAA,HOU,,,1.5,8.5,4,3200,3,5,7,7,2.19,,
Nick,Madrigal,2B,,4/25/21,,CWS,TEX,9,,-1.5,7.5,4.3,3300,4,10.8,17,6.9,2.09,,
Jorge,Soler,OF,,4/25/21,,KC,DET,4,,-1.5,8,4.1,3900,2,9.4,20,6.9,1.77,,
Pavin,Smith,1B,,4/25/21,,ARI,ATL,1,,1.5,7,3,3600,2,10.8,17,6.9,1.92,,
Randal,Grichuk,OF,,4/25/21,,TOR,TB,4,,-1.5,7.5,3.9,3700,0,8.4,13,6.9,1.86,,
Lourdes,Gurriel Jr.,OF,,4/25/21,,TOR,TB,6,,-1.5,7.5,3.9,2900,0,5,12,6.9,2.38,,
Joey,Wendle,3B,,4/25/21,,TB,TOR,7,,1.5,7.5,3.7,3900,0,13.4,24,6.9,1.77,,
Ryan,Mountcastle,1B,,4/25/21,,BAL,OAK,5,,1.5,8,3.8,3300,0,2.4,7,6.9,2.09,,
Jared,Walsh,1B,,4/25/21,,LAA,HOU,,,1.5,8.5,4,4200,3,3.8,7,6.9,1.64,,
Yandy,Diaz,1B,,4/25/21,,TB,TOR,1,,1.5,7.5,3.7,3000,2,6.4,14,6.9,2.3,,
Billy,McKinney,OF,,4/25/21,,MIL,CHC,,,-1.5,6.5,3.4,2400,0,4.2,7,6.9,2.88,,
David,Fletcher,2B,,4/25/21,,LAA,HOU,,,1.5,8.5,4,3400,0,5.2,15,6.8,2,,
Evan,White,1B,,4/25/21,,SEA,BOS,5,,1.5,8.5,3.6,2900,0,3.8,10,6.8,2.34,,
Joey,Votto,1B,,4/25/21,,CIN,STL,4,,1.5,7,3.3,4400,0,3.6,12,6.8,1.55,,
Wilson,Ramos,C,,4/25/21,,DET,KC,5,,1.5,8,3.9,5200,0,2.8,8,6.7,1.29,,
Isiah,Kiner-Falefa,SS,,4/25/21,,TEX,CWS,2,,1.5,7.5,3.2,4400,0,8.4,18,6.7,1.52,,
Omar,Narvaez,C,,4/25/21,,MIL,CHC,,,-1.5,6.5,3.4,4300,0,8.2,14,6.6,1.53,,
James,McCann,C,,4/25/21,,NYM,WAS,6,,-1.5,7.5,4.1,3600,0,2,5,6.6,1.83,,
Zack,Collins,C,,4/25/21,,CWS,TEX,7,,-1.5,7.5,4.3,3700,0,0.8,2,6.6,1.78,,
Bryan,Reynolds,OF,,4/25/21,,PIT,MIN,,,1.5,8.5,3.5,4900,0,9,25,6.6,1.35,,
Josh,Naylor,OF,,4/25/21,,CLE,NYY,6,,1.5,8,3.8,2900,0,4.2,14,6.6,2.28,,
Jonathan,Schoop,1B,,4/25/21,,DET,KC,7,,1.5,8,3.9,3700,0,2.6,7,6.6,1.78,,
Jonathan,Villar,2B,,4/25/21,,NYM,WAS,7,,-1.5,7.5,4.1,3300,0,1.8,6,6.6,2,,
Trey,Mancini,1B,,4/25/21,,BAL,OAK,2,,1.5,8,3.8,4700,0,7,14,6.6,1.4,,
Marwin,Gonzalez,1B,,4/25/21,,BOS,SEA,7,,-1.5,8.5,4.9,3700,2,9.2,18,6.5,1.76,,
Josh,Bell,1B,,4/25/21,,WAS,NYM,4,,1.5,7.5,3.4,4600,0,6.4,12,6.5,1.41,,
J.D.,Davis,3B,,4/25/21,,NYM,WAS,4,,-1.5,7.5,4.1,3400,3,8.4,13,6.5,1.91,,
Kris,Bryant,3B,,4/25/21,,CHC,MIL,4,,1.5,6.5,3.1,4600,3,11,16,6.5,1.41,,
Austin,Riley,3B,,4/25/21,,ATL,ARI,7,,-1.5,7,4,3000,4,10.4,18,6.5,2.17,,
Leury,Garcia,2B,,4/25/21,,CWS,TEX,8,,-1.5,7.5,4.3,3300,0,4.2,16,6.5,1.97,,
Mike,Brosseau,1B,,4/25/21,,TB,TOR,4,,1.5,7.5,3.7,3300,0,4,11,6.5,1.97,,
Elvis,Andrus,SS,,4/25/21,,OAK,BAL,7,,-1.5,8,4.2,3600,0,9.2,17,6.4,1.78,,
David,Dahl,OF,DTD,4/25/21,,TEX,CWS,6,,1.5,7.5,3.2,3000,0,1.6,3,6.4,2.13,,
Aledmys,Diaz,2B,,4/25/21,,HOU,LAA,,,-1.5,8.5,4.5,4000,0,7.2,13,6.4,1.6,,
Bryse,Wilson,P,,4/25/21,,ATL,ARI,,YES,-1.5,7,4,6700,3.7,13.6,26.9,6.4,0.96,,
Manuel,Margot,OF,,4/25/21,,TB,TOR,6,,1.5,7.5,3.7,2600,0,5.4,13,6.3,2.42,,
Phillip,Evans,3B,,4/25/21,,PIT,MIN,,,1.5,8.5,3.5,4300,0,3,7,6.3,1.47,,
Victor,Reyes,OF,,4/25/21,,DET,KC,8,,1.5,8,3.9,2800,0,1.6,3,6.3,2.25,,
Yadiel,Hernandez,OF,,4/25/21,,WAS,NYM,2,,1.5,7.5,3.4,2000,0,2.4,12,6.3,3.15,,
Pedro,Severino,C,,4/25/21,,BAL,OAK,4,,1.5,8,3.8,3400,0,4.8,10,6.3,1.85,,
Tommy,Edman,2B,,4/25/21,,STL,CIN,,,-1.5,7,3.7,4300,2,7.2,17,6.3,1.47,,
Austin,Hays,OF,,4/25/21,,BAL,OAK,6,,1.5,8,3.8,2400,0,6,12,6.3,2.63,,
Paul,DeJong,SS,,4/25/21,,STL,CIN,,,-1.5,7,3.7,3800,0,6.4,24,6.2,1.63,,
Willie,Calhoun,OF,,4/25/21,,TEX,CWS,1,,1.5,7.5,3.2,2500,0,5.8,10,6.2,2.48,,
Freddy,Galvis,SS,,4/25/21,,BAL,OAK,7,,1.5,8,3.8,3400,0,4,14,6.2,1.82,,
JaCoby,Jones,OF,,4/25/21,,DET,KC,9,,1.5,8,3.9,2900,0,2.6,10,6.2,2.14,,
Jordan,Luplow,OF,,4/25/21,,CLE,NYY,7,,1.5,8,3.8,3800,0,7.2,15,6.2,1.63,,
Jose,Iglesias,SS,,4/25/21,,LAA,HOU,,,1.5,8.5,4,3000,0,4,10,6.1,2.03,,
Tom,Murphy,C,,4/25/21,,SEA,BOS,8,,1.5,8.5,3.6,2700,0,1.2,4,6.1,2.26,,
Cedric,Mullins,OF,,4/25/21,,BAL,OAK,1,,1.5,8,3.8,3400,0,3.6,11,6.1,1.79,,
Sam,Haggerty,OF,,4/25/21,,SEA,BOS,7,,1.5,8.5,3.6,2300,0,9.6,22,6,2.61,,
Eugenio,Suarez,SS,,4/25/21,,CIN,STL,5,,1.5,7,3.3,5300,0,3.6,9,6,1.13,,
Victor,Robles,OF,,4/25/21,,WAS,NYM,8,,1.5,7.5,3.4,3300,0,2.4,5,6,1.82,,
Willi,Castro,SS,,4/25/21,,DET,KC,6,,1.5,8,3.9,4900,0,4,8,5.9,1.2,,
Kurt,Suzuki,C,,4/25/21,,LAA,HOU,,,1.5,8.5,4,2900,0,2.6,9,5.9,2.03,,
Colin,Moran,1B,,4/25/21,,PIT,MIN,,,1.5,8.5,3.5,4800,0,5.8,21,5.9,1.23,,
Andres,Gimenez,SS,,4/25/21,,CLE,NYY,8,,1.5,8,3.8,4200,0,6,22,5.8,1.38,,
Josh,Harrison,2B,,4/25/21,,WAS,NYM,1,,1.5,7.5,3.4,4200,0,5.2,12,5.8,1.38,,
Starlin,Castro,3B,,4/25/21,,WAS,NYM,6,,1.5,7.5,3.4,4200,0,5.2,11,5.8,1.38,,
Justin,Williams,OF,,4/25/21,,STL,CIN,,,-1.5,7,3.7,2000,0,4.2,14,5.8,2.9,,
Jason,Heyward,OF,,4/25/21,,CHC,MIL,6,,1.5,6.5,3.1,3100,0,9.4,23,5.7,1.84,,
Nick,Senzel,OF,,4/25/21,,CIN,STL,6,,1.5,7,3.3,3400,0,3.8,11,5.7,1.68,,
Josh,VanMeter,2B,,4/25/21,,ARI,ATL,5,,1.5,7,3,2700,0,4,13,5.6,2.07,,
Joe,Panik,2B,,4/25/21,,TOR,TB,7,,-1.5,7.5,3.9,2500,0,4.6,14,5.6,2.24,,
Guillermo,Heredia,OF,,4/25/21,,ATL,ARI,6,,-1.5,7,4,2800,0,10.8,27,5.6,2,,
Jonathan,India,2B,,4/25/21,,CIN,STL,8,,1.5,7,3.3,3500,2,6.6,15,5.5,1.57,,
Tyler,O'Neill,OF,,4/25/21,,STL,CIN,,,-1.5,7,3.7,2200,0,1.8,5,5.5,2.5,,
Ramon,Urias,2B,,4/25/21,,BAL,OAK,8,,1.5,8,3.8,2600,0,2.2,11,5.4,2.08,,
Yan,Gomes,C,,4/25/21,,WAS,NYM,7,,1.5,7.5,3.4,3900,0,7,17,5.4,1.38,,
Martin,Maldonado,C,,4/25/21,,HOU,LAA,,,-1.5,8.5,4.5,2900,0,2.8,10,5.3,1.83,,
Dansby,Swanson,SS,,4/25/21,,ATL,ARI,5,,-1.5,7,4,3800,0,5,13,5.3,1.39,,
Gregory,Polanco,OF,,4/25/21,,PIT,MIN,,,1.5,8.5,3.5,3400,0,5.4,10,5.3,1.56,,
Erik,Gonzalez,3B,,4/25/21,,PIT,MIN,,,1.5,8.5,3.5,3400,2,7.6,11,5.3,1.56,,
Danny,Jansen,C,,4/25/21,,TOR,TB,9,,-1.5,7.5,3.9,2000,0,0.8,4,5.3,2.65,,
Tucker,Barnhart,C,,4/25/21,,CIN,STL,7,,1.5,7,3.3,3900,0,4.6,7,5.3,1.36,,
Jonah,Heim,C,,4/25/21,,TEX,CWS,9,,1.5,7.5,3.2,3900,0,4.6,10,5.3,1.36,,
Albert,Pujols,1B,,4/25/21,,LAA,HOU,,,1.5,8.5,4,3200,0,5.6,9,5.2,1.63,,
Daniel,Robertson,2B,,4/25/21,,MIL,CHC,,,-1.5,6.5,3.4,2600,0,1.4,4,5.2,2,,
David,Bote,2B,,4/25/21,,CHC,MIL,2,,1.5,6.5,3.1,2900,0,7.8,18,5.2,1.79,,
Christian,Arroyo,2B,,4/25/21,,BOS,SEA,-1,,-1.5,8.5,4.9,3300,0,4.8,16,5.2,1.58,,
Alex,Blandino,1B,,4/25/21,,CIN,STL,1,,1.5,7,3.3,2000,0,6.8,14,5.1,2.55,,
Nico,Hoerner,2B,,4/25/21,,CHC,MIL,7,,1.5,6.5,3.1,2100,0,8.6,23,5.1,2.43,,
Luis,Patino,P,,4/25/21,,TB,TOR,,YES,1.5,7.5,3.7,7500,0,0,0,5.1,0.68,,
Albert,Almora Jr.,OF,,4/25/21,,NYM,WAS,8,,-1.5,7.5,4.1,2300,0,0.6,3,5.1,2.22,,
Kevin,Kiermaier,OF,,4/25/21,,TB,TOR,9,,1.5,7.5,3.7,2400,5,8.8,14,5.1,2.13,,
Vimael,Machin,2B,,4/25/21,,OAK,BAL,9,,-1.5,8,4.2,2200,0,3,10,5,2.27,,
Austin,Hedges,C,,4/25/21,,CLE,NYY,9,,1.5,8,3.8,3100,0,1.8,7,5,1.61,,
Madison,Bumgarner,P,,4/25/21,,ARI,ATL,,YES,1.5,7,3,7000,0,8.2,21.5,4.9,0.7,,
Kevin,Newman,SS,,4/25/21,,PIT,MIN,,,1.5,8.5,3.5,3900,0,3.8,9,4.9,1.26,,
Santiago,Espinal,3B,,4/25/21,,TOR,TB,8,,-1.5,7.5,3.9,3500,0,0,0,4.9,1.4,,
Luis,Rengifo,2B,,4/25/21,,LAA,HOU,,,1.5,8.5,4,2600,0,1.8,5,4.8,1.85,,
Francisco,Mejia,C,,4/25/21,,TB,TOR,8,,1.5,7.5,3.7,3100,0,7.2,17,4.8,1.55,,
Ryan,McKenna,OF,,4/25/21,,BAL,OAK,9,,1.5,8,3.8,2000,0,0.4,2,4.7,2.35,,
