first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Brandon,Woodruff,P,,4/25/21,,MIL,CHC,,,-1.5,6.5,3.4,9400,8.2,19.6,31.2,20.7,2.2,,
Eduardo,Rodriguez,P,,4/25/21,,BOS,SEA,,YES,-1.5,8.5,4.9,8200,19.7,21.2,23.1,20.1,2.45,,
Jack,Flaherty,P,,4/25/21,,STL,CIN,,,-1.5,7,3.7,8400,6.4,20.6,26.5,19.2,2.29,,
Luis,Castillo,P,,4/25/21,,CIN,STL,,YES,1.5,7,3.3,7600,-15,13,28.8,18.6,2.45,,
Hyun Jin,Ryu,P,,4/25/21,,TOR,TB,,YES,-1.5,7.5,3.9,9000,-2.7,12.9,29,18.6,2.07,,
Patrick,Corbin,P,,4/25/21,,WAS,NYM,,YES,1.5,7.5,3.4,7400,-14.5,4.9,21.1,18.1,2.45,,
Zac,Gallen,P,,4/25/21,,ARI,ATL,,YES,1.5,7,3,8600,2.1,18.9,33.3,16.7,1.94,,
Jesus,Luzardo,P,,4/25/21,,OAK,BAL,,YES,-1.5,8,4.2,7700,-7.9,9,25.7,16,2.08,,
Danny,Duffy,P,,4/25/21,,KC,DET,,YES,-1.5,8,4.1,8000,-5,17.4,25.9,15.7,1.96,,
Lance,McCullers Jr.,P,,4/25/21,,HOU,LAA,,,-1.5,8.5,4.5,8800,-3,17,33.4,15.3,1.74,,
Triston,McKenzie,P,,4/25/21,,CLE,NYY,,YES,1.5,8,3.8,8500,0.9,11.3,20.9,15.1,1.78,,
Dylan,Bundy,P,,4/25/21,,LAA,HOU,,,1.5,8.5,4,8100,7.9,15.9,25.9,14.7,1.81,,
Matt,Shoemaker,P,,4/25/21,,MIN,PIT,,YES,-1.5,8.5,5,6300,-7.8,3.6,12.5,14.6,2.32,,
Taijuan,Walker,P,,4/25/21,,NYM,WAS,,YES,-1.5,7.5,4.1,7500,12.4,17.7,27.9,14.5,1.93,,
