first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Ozzie,Albies,2B,,8/27/21,Turbo,ATL,SF,1,,-1.5,8.5,4.5,5900,0,4.4,8,8.2,1.39,,
Odubel,Herrera,OF,,8/27/21,Turbo,PHI,ARI,1,,-1.5,8.5,5.2,4000,0,6.4,25,8.1,2.03,,
Francisco,Lindor,SS,,8/27/21,Turbo,NYM,WAS,,,-1.5,9,5.2,5200,0,4.6,17,8.1,1.56,,
Tommy,Edman,2B,,8/27/21,Turbo,STL,PIT,1,,-1.5,8.5,4.8,4300,0,11.2,21,8.1,1.88,,
J.D.,Davis,3B,,8/27/21,Turbo,NYM,WAS,,,-1.5,9,5.2,3800,0,6.4,22,8,2.11,,
Freddie,Freeman,1B,,8/27/21,Turbo,ATL,SF,3,,-1.5,8.5,4.5,6200,0,6.4,10,7.8,1.26,,
Michael,Conforto,OF,,8/27/21,Turbo,NYM,WAS,,,-1.5,9,5.2,3400,0,2.6,7,7.8,2.29,,
Corey,Dickerson,OF,,8/27/21,Turbo,TOR,DET,5,,-1.5,9.5,5.3,3100,0,6,16,7.7,2.48,,
Matt,Harvey,P,,8/27/21,Turbo,BAL,TB,,YES,1.5,10,4,5400,4,10.7,24.1,7.7,1.43,,
Kris,Bryant,3B,,8/27/21,Turbo,SF,ATL,,,1.5,8.5,4.1,5300,0,7.4,11,7.7,1.45,,
Miguel,Rojas,SS,,8/27/21,Turbo,MIA,CIN,1,,1.5,8,3.7,4200,0,4.2,13,7.7,1.83,,
Kyle,Schwarber,OF,,8/27/21,Turbo,BOS,CLE,,,-1.5,10,5.8,4700,2,11.4,18,7.7,1.64,,
Austin,Slater,OF,,8/27/21,Turbo,SF,ATL,,,1.5,8.5,4.1,2600,0,1.6,4,7.7,2.96,,
Buster,Posey,C,DTD,8/27/21,Turbo,SF,ATL,,,1.5,8.5,4.1,4300,0,2.4,5,7.7,1.79,,
Joey,Wendle,3B,,8/27/21,Turbo,TB,BAL,6,,-1.5,10,6,4200,0,4.2,10,7.7,1.83,,
Miguel,Cabrera,1B,,8/27/21,Turbo,DET,TOR,4,,1.5,9.5,4.2,3100,0,6.2,12,7.6,2.45,,
Matt,Manning,P,,8/27/21,Turbo,DET,TOR,,YES,1.5,9.5,4.2,5800,-3,6.3,10.7,7.6,1.31,,
Joey,Votto,1B,,8/27/21,Turbo,CIN,MIA,4,,-1.5,8,4.3,4700,0,4,7,7.6,1.62,,
Alex,Verdugo,OF,,8/27/21,Turbo,BOS,CLE,,,-1.5,10,5.8,3400,0,11.2,29,7.6,2.24,,
Ke'Bryan,Hayes,3B,,8/27/21,Turbo,PIT,STL,2,,1.5,8.5,3.7,4100,3,10.8,16,7.6,1.85,,
Franmil,Reyes,OF,,8/27/21,Turbo,CLE,BOS,,,1.5,10,4.2,5200,2,9,22,7.5,1.44,,
Tyler,Naquin,OF,,8/27/21,Turbo,CIN,MIA,2,,-1.5,8,4.3,2700,6,13.2,32,7.5,2.78,,
Freddy,Galvis,SS,,8/27/21,Turbo,PHI,ARI,6,,-1.5,8.5,5.2,3700,0,3.6,7,7.5,2.03,,
Jesus,Aguilar,1B,,8/27/21,Turbo,MIA,CIN,3,,1.5,8,3.7,3400,0,5.6,12,7.5,2.21,,
Jeimer,Candelario,3B,,8/27/21,Turbo,DET,TOR,3,,1.5,9.5,4.2,4500,0,5.6,8,7.5,1.67,,
Harrison,Bader,OF,,8/27/21,Turbo,STL,PIT,8,,-1.5,8.5,4.8,2800,0,4,13,7.5,2.68,,
Austin,Riley,3B,,8/27/21,Turbo,ATL,SF,4,,-1.5,8.5,4.5,5400,0,7.2,15,7.4,1.37,,
Brandon,Nimmo,OF,,8/27/21,Turbo,NYM,WAS,,,-1.5,9,5.2,4000,3,11.2,23,7.4,1.85,,
Derek,Hill,OF,,8/27/21,Turbo,DET,TOR,9,,1.5,9.5,4.2,2500,0,4.8,10,7.3,2.92,,
Yadier,Molina,C,,8/27/21,Turbo,STL,PIT,5,,-1.5,8.5,4.8,3900,3,5.2,10,7.2,1.85,,
Jorge,Soler,OF,,8/27/21,Turbo,ATL,SF,2,,-1.5,8.5,4.5,4400,5,7.8,10,7.2,1.64,,
Christian,Vazquez,C,,8/27/21,Turbo,BOS,CLE,,,-1.5,10,5.8,2900,3,6.4,10,7.2,2.48,,
Michael,Chavis,1B,,8/27/21,Turbo,PIT,STL,3,,1.5,8.5,3.7,3500,0,7.2,21,7.2,2.06,,
Kevin,Kiermaier,OF,,8/27/21,Turbo,TB,BAL,8,,-1.5,10,6,2600,2,7.2,14,7.1,2.73,,
Josh,Rojas,OF,,8/27/21,Turbo,ARI,PHI,1,,1.5,8.5,3.3,4300,0,5,16,7.1,1.65,,
Victor,Robles,OF,,8/27/21,Turbo,WAS,NYM,1,,1.5,9,3.8,2000,0,3.8,9,7,3.5,,
Dansby,Swanson,SS,,8/27/21,Turbo,ATL,SF,5,,-1.5,8.5,4.5,5400,7,9.8,14,7,1.3,,
Myles,Straw,OF,,8/27/21,Turbo,CLE,BOS,,,1.5,10,4.2,2700,0,6,12,7,2.59,,
Trey,Mancini,1B,,8/27/21,Turbo,BAL,TB,3,,1.5,10,4,3900,5,8,10,7,1.79,,
Amed,Rosario,SS,,8/27/21,Turbo,CLE,BOS,,,1.5,10,4.2,4000,2,9.2,17,6.9,1.73,,
Mike,Moustakas,3B,,8/27/21,Turbo,CIN,MIA,5,,-1.5,8,4.3,4200,0,4.8,15,6.9,1.64,,
Dominic,Smith,OF,,8/27/21,Turbo,NYM,WAS,,,-1.5,9,5.2,3500,0,3,13,6.9,1.97,,
Daulton,Varsho,C,,8/27/21,Turbo,ARI,PHI,6,,1.5,8.5,3.3,3800,0,9.6,36,6.9,1.82,,
Colin,Moran,1B,,8/27/21,Turbo,PIT,STL,4,,1.5,8.5,3.7,4000,0,8,20,6.9,1.73,,
Jazz,Chisholm Jr.,2B,,8/27/21,Turbo,MIA,CIN,2,,1.5,8,3.7,4500,0,7.2,13,6.9,1.53,,
Ramon,Urias,2B,,8/27/21,Turbo,BAL,TB,6,,1.5,10,4,2800,6,15.4,24,6.9,2.46,,
Pavin,Smith,OF,,8/27/21,Turbo,ARI,PHI,3,,1.5,8.5,3.3,3100,0,5.6,11,6.9,2.23,,
Anthony,Santander,OF,,8/27/21,Turbo,BAL,TB,4,,1.5,10,4,2800,0,14.6,34,6.9,2.46,,
Cedric,Mullins,OF,,8/27/21,Turbo,BAL,TB,1,,1.5,10,4,4200,0,9,19,6.8,1.62,,
Ben,Gamel,OF,,8/27/21,Turbo,PIT,STL,1,,1.5,8.5,3.7,2600,0,5.8,15,6.8,2.62,,
Darin,Ruf,1B,,8/27/21,Turbo,SF,ATL,,,1.5,8.5,4.1,3100,0,6,13,6.8,2.19,,
Wilmer,Flores,1B,,8/27/21,Turbo,SF,ATL,,,1.5,8.5,4.1,3600,0,3.2,13,6.8,1.89,,
Wilson,Ramos,C,,8/27/21,Turbo,CLE,BOS,,,1.5,10,4.2,2700,0,3.2,6,6.8,2.52,,
Willi,Castro,2B,,8/27/21,Turbo,DET,TOR,7,,1.5,9.5,4.2,2700,0,7.6,20,6.7,2.48,,
Yairo,Munoz,3B,,8/27/21,Turbo,BOS,CLE,,,-1.5,10,5.8,2000,0,7.8,20,6.7,3.35,,
David,Peralta,OF,DTD,8/27/21,Turbo,ARI,PHI,5,,1.5,8.5,3.3,2900,0,8.2,18,6.7,2.31,,
Mike,Yastrzemski,OF,,8/27/21,Turbo,SF,ATL,,,1.5,8.5,4.1,4100,0,4.4,9,6.7,1.63,,
Travis,Jankowski,OF,,8/27/21,Turbo,PHI,ARI,7,,-1.5,8.5,5.2,2600,0,4.6,13,6.6,2.54,,
Yoshi,Tsutsugo,1B,,8/27/21,Turbo,PIT,STL,6,,1.5,8.5,3.7,3100,0,3.6,9,6.5,2.1,,
