first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Walker,Buehler,P,,2021-04-22,,LAD,SD,,,-1.5,7.5,4.3,10000,10.8,18.3,25.3,19.8,1.98
Cristian,Javier,P,,2021-04-22,,HOU,LAA,,,-1.5,9,4.7,9600,1.1,11.8,26.3,18.1,1.89
Nick,Pivetta,P,,2021-04-22,,BOS,SEA,,,-1.5,9.5,5.3,7400,4.4,17.3,25.1,13.6,1.84
Aaron,Sanchez,P,,2021-04-22,,SF,MIA,,,-1.5,8.5,4.6,7100,10.9,12.4,13.7,12.9,1.82
Trevor,Williams,P,,2021-04-22,,CHC,NYM,,,+1.5,9.5,4.6,8500,-4.2,7.5,23.1,12.9,1.52
Joey,Lucchesi,P,,2021-04-22,,NYM,CHC,,,-1.5,9.5,4.9,6500,-1.5,3.1,9.9,12.2,1.88
Alex,Cobb,P,,2021-04-22,,LAA,HOU,,,+1.5,9,4.3,7700,4.2,16.7,26.7,11.1,1.44
Xander,Bogaerts,SS,,2021-04-22,,BOS,SEA,,,-1.5,9.5,5.3,5700,0.0,10.4,21.0,10.4,1.82
Daniel,Castano,P,,2021-04-22,,MIA,SF,,,+1.5,8.5,3.9,6100,0.0,0.0,0.0,10.2,1.67
Justin,Dunn,P,,2021-04-22,,SEA,BOS,,,+1.5,9.5,4.2,6800,0.0,0.0,0.0,10.1,1.49
Mitch,Haniger,OF,,2021-04-22,,SEA,BOS,,,+1.5,9.5,4.2,4100,0.0,9.4,29.0,9.8,2.39
Yordan,Alvarez,OF,,2021-04-22,,HOU,LAA,,,-1.5,9,4.7,4500,0.0,2.2,8.0,9.7,2.16
Rafael,Devers,3B,,2021-04-22,,BOS,SEA,,,-1.5,9.5,5.3,5800,0.0,7.2,16.0,9.7,1.67
Alex,Bregman,3B,,2021-04-22,,HOU,LAA,,,-1.5,9,4.7,4800,0.0,3.0,10.0,9.5,1.98
Mike,Trout,OF,,2021-04-22,,LAA,HOU,,,+1.5,9,4.3,5800,0.0,11.6,20.0,9.4,1.62
Alex,Verdugo,OF,,2021-04-22,,BOS,SEA,,,-1.5,9.5,5.3,4400,0.0,5.8,17.0,9.2,2.09
Mike,Yastrzemski,OF,,2021-04-22,,SF,MIA,,,-1.5,8.5,4.6,4800,0.0,5.2,8.0,9.1,1.90
Michael,Brantley,OF,,2021-04-22,,HOU,LAA,,,-1.5,9,4.7,5000,0.0,5.2,13.0,9.1,1.82
Kyle,Tucker,OF,,2021-04-22,,HOU,LAA,,,-1.5,9,4.7,4200,0.0,0.6,3.0,9.1,2.17
Kyle,Seager,3B,,2021-04-22,,SEA,BOS,,,+1.5,9.5,4.2,4700,0.0,2.4,12.0,9.1,1.94
