first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,hand,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Spencer,Strider,P,,2023-08-01,,ATL,LAA,,YES,R,-1.5,9,5.5,12500,18.7,27.4,36.7,24.0,1.92
Lance,Lynn,P,,2023-08-01,,LAD,OAK,,YES,R,,,,7900,0.1,14.7,36.6,19.3,2.44
Zac,Gallen,P,,2023-08-01,,ARI,SF,,YES,R,+1.5,7.5,3.8,10500,9.9,18.9,28.2,18.9,1.80
Pablo,Lopez,P,,2023-08-01,,MIN,STL,,YES,R,-1.5,8.5,4.5,10800,5.1,24.0,50.9,17.7,1.64
Carlos,Rodon,P,,2023-08-01,,NYY,TB,,YES,L,+1.5,8,4,9000,-2.2,14.2,36.3,17.3,1.92
Framber,Valdez,P,,2023-08-01,,HOU,CLE,,YES,L,-1.5,8.5,4.8,11100,-8.8,10.8,24.3,17.0,1.53
Freddy,Peralta,P,,2023-08-01,,MIL,WAS,,YES,R,-1.5,8.5,4.7,9400,3.9,21.7,37.1,15.9,1.69
Zach,Eflin,P,,2023-08-01,,TB,NYY,,YES,R,-1.5,8,4,10300,-7.5,14.6,34.0,15.7,1.52
Bryce,Miller,P,,2023-08-01,,SEA,BOS,,YES,R,-1.5,8,4.1,9200,5.8,13.7,18.5,15.6,1.70
Justin,Steele,P,,2023-08-01,,CHC,CIN,,YES,L,-1.5,8.5,4.7,9100,6.9,18.5,27.5,15.6,1.71
Johan,Oviedo,P,,2023-08-01,,PIT,DET,,YES,R,-1.5,9,4.7,6200,-10.0,11.6,31.4,15.3,2.47
Alex,Cobb,P,,2023-08-01,,SF,ARI,,YES,R,-1.5,7.5,3.8,8200,-8.6,15.2,29.1,14.9,1.82
Miles,Mikolas,P,,2023-08-01,,STL,MIN,,YES,R,+1.5,8.5,4.1,6900,0.1,9.9,29.4,14.7,2.13
Andrew,Heaney,P,,2023-08-01,,TEX,CWS,,YES,L,-1.5,9,5.3,6600,-4.7,11.0,24.9,14.6,2.21
