first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Corbin,Burnes,P,,2021-04-26,,MIL,MIA,,YES,-1.5,6.5,3.6,10400,0.0,2.4,7.0,23.8,2.29
Shohei,Ohtani,P,,2021-04-26,,LAA,TEX,,,-1.5,9,4.9,7700,0.0,8.2,18.0,19.7,2.56
Trevor,Rogers,P,,2021-04-26,,MIA,MIL,,YES,+1.5,6.5,2.9,8400,0.0,6.6,32.8,18.7,2.23
Charlie,Morton,P,,2021-04-26,,ATL,CHC,,YES,-1.5,8.5,4.9,8000,10.5,20.9,31.5,17.8,2.23
Julio,Urias,P,,2021-04-26,,LAD,CIN,,,-1.5,7,4,9700,10.3,20.8,40.6,16.6,1.71
Sean,Manaea,P,,2021-04-26,,OAK,TB,,YES,+1.5,8.5,4.3,7800,1.6,13.8,29.6,16.2,2.08
Zack,Wheeler,P,,2021-04-26,,PHI,STL,,YES,+1.5,8,4,9000,4.9,20.4,56.2,16.1,1.79
Jose,Urquidy,P,,2021-04-26,,HOU,SEA,,,-1.5,9,5,8200,-0.2,9.4,15.3,16.0,1.95
Anthony,DeSclafani,P,,2021-04-26,,SF,COL,,,-1.5,7,3.9,7900,0.0,11.0,29.3,15.7,1.99
Rich,Hill,P,,2021-04-26,,TB,OAK,,YES,-1.5,8.5,4.3,6800,-4.5,7.2,21.1,15.3,2.25
Deivi,Garcia,P,,2021-04-26,,NYY,BAL,,YES,-1.5,9,5,7100,-6.7,11.6,24.8,14.8,2.08
Tyler,Mahle,P,,2021-04-26,,CIN,LAD,,YES,+1.5,7,3,9400,7.7,20.1,29.6,13.7,1.46
Adam,Wainwright,P,,2021-04-26,,STL,PHI,,YES,-1.5,8,4,7200,-9.9,11.1,30.2,12.9,1.79
Austin,Gomber,P,,2021-04-26,,COL,SF,,YES,+1.5,7,3.1,6500,0.0,0.6,3.0,12.6,1.94
Zach,Davies,P,,2021-04-26,,CHC,ATL,,YES,+1.5,8.5,3.6,7500,-12.1,2.2,17.5,12.2,1.63
Mike,Trout,OF,DTD,2021-04-26,,LAA,TEX,,,-1.5,9,4.9,6300,0.0,9.8,20.0,11.7,1.86
Ronald,Acuna Jr.,OF,,2021-04-26,,ATL,CHC,1,,-1.5,8.5,4.9,6200,0.0,6.2,12.0,11.3,1.82
Justus,Sheffield,P,,2021-04-26,,SEA,HOU,,YES,+1.5,9,4,5500,7.1,13.5,20.7,11.0,2.00
Jordan,Lyles,P,,2021-04-26,,TEX,LAA,,YES,+1.5,9,4.1,6200,0.0,0.0,0.0,10.8,1.74
Aaron,Judge,OF,,2021-04-26,,NYY,BAL,3,,-1.5,9,5,5900,2.0,6.0,10.0,10.6,1.80
Giancarlo,Stanton,OF,,2021-04-26,,NYY,BAL,2,,-1.5,9,5,4900,0.0,4.8,14.0,10.2,2.08
DJ,LeMahieu,1B,,2021-04-26,,NYY,BAL,1,,-1.5,9,5,5000,0.0,4.0,9.0,10.0,2.00
Rougned,Odor,2B,,2021-04-26,,NYY,BAL,4,,-1.5,9,5,3100,0.0,6.0,10.0,9.9,3.19
Bryce,Harper,OF,,2021-04-26,,PHI,STL,3,,+1.5,8,4,5700,4.0,11.6,14.0,9.8,1.72
Mookie,Betts,OF,,2021-04-26,,LAD,CIN,,,-1.5,7,4,5800,2.0,9.6,17.0,9.8,1.69
Freddie,Freeman,1B,,2021-04-26,,ATL,CHC,2,,-1.5,8.5,4.9,6000,0.0,6.2,21.0,9.6,1.60
Gio,Urshela,3B,,2021-04-26,,NYY,BAL,5,,-1.5,9,5,3400,2.0,6.2,15.0,9.5,2.79
Marcell,Ozuna,OF,,2021-04-26,,ATL,CHC,3,,-1.5,8.5,4.9,5200,0.0,6.0,16.0,9.4,1.81
Alex,Bregman,3B,,2021-04-26,,HOU,SEA,,,-1.5,9,5,5000,0.0,10.4,22.0,9.3,1.86
Mike,Yastrzemski,OF,DTD,2021-04-26,,SF,COL,,,-1.5,7,3.9,4200,2.0,9.4,16.0,9.2,2.19
Mitch,Haniger,OF,,2021-04-26,,SEA,HOU,1,,+1.5,9,4,4000,0.0,8.4,17.0,9.2,2.30
Corey,Seager,SS,,2021-04-26,,LAD,CIN,,,-1.5,7,4,5100,0.0,6.6,18.0,9.2,1.80
Aaron,Hicks,OF,DTD,2021-04-26,,NYY,BAL,7,,-1.5,9,5,3300,4.0,5.8,7.0,9.1,2.76
Austin,Slater,OF,,2021-04-26,,SF,COL,,,-1.5,7,3.9,3500,0.0,6.0,12.0,9.1,2.60
Gleyber,Torres,SS,,2021-04-26,,NYY,BAL,6,,-1.5,9,5,4600,0.0,5.2,13.0,8.9,1.93
Carlos,Correa,SS,,2021-04-26,,HOU,SEA,,,-1.5,9,5,5400,2.0,10.4,16.0,8.7,1.61
Max,Muncy,1B,,2021-04-26,,LAD,CIN,,,-1.5,7,4,4700,0.0,5.4,14.0,8.5,1.81
Wilmer,Flores,1B,DTD,2021-04-26,,SF,COL,,,-1.5,7,3.9,3700,0.0,5.4,13.0,8.5,2.30
Trevor,Story,SS,,2021-04-26,,COL,SF,3,,+1.5,7,3.1,4800,5.0,12.8,20.0,8.5,1.77
Raimel,Tapia,OF,,2021-04-26,,COL,SF,1,,+1.5,7,3.1,3600,9.0,12.4,16.0,8.4,2.33
