first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Corbin,Burnes,P,,2021-05-31,,MIL,DET,,YES,-1.5,7,4.3,9900,0.0,0.8,2.0,25.8,2.61
Vince,Velasquez,P,,2021-05-31,,PHI,CIN,,YES,+1.5,8.5,4.2,8400,8.5,19.4,25.9,17.5,2.08
Jose,Berrios,P,,2021-05-31,,MIN,BAL,,YES,-1.5,8.5,4.7,9400,4.9,17.3,23.3,17.5,1.86
Carlos,Rodon,P,,2021-05-31,,CWS,CLE,,YES,-1.5,7,3.6,10100,7.1,28.9,38.3,17.4,1.72
Chris,Paddack,P,,2021-05-31,,SD,CHC,,YES,,,,7900,0.0,7.8,14.3,16.6,2.10
Logan,Gilbert,P,,2021-05-31,,SEA,OAK,,YES,+1.5,7.5,3.7,5100,-0.7,6.0,10.6,15.2,2.98
Triston,McKenzie,P,,2021-05-31,,CLE,CWS,,,+1.5,7,3.4,8800,-1.2,9.8,21.7,14.9,1.69
James,Kaprielian,P,,2021-05-31,,OAK,SEA,,YES,-1.5,7.5,3.8,9100,3.3,18.1,25.4,14.8,1.63
Dylan,Bundy,P,,2021-05-31,,LAA,SF,,YES,+1.5,8,3.6,7000,-5.0,5.3,19.1,14.6,2.09
Eduardo,Rodriguez,P,,2021-05-31,,BOS,HOU,,YES,+1.5,8.5,4.1,8200,6.1,10.4,18.7,14.4,1.76
Jameson,Taillon,P,,2021-05-31,,NYY,TB,,YES,-1.5,8.5,4.4,7300,2.4,15.0,25.7,14.1,1.93
Johnny,Cueto,P,,2021-05-31,,SF,LAA,,YES,-1.5,8,4.4,7500,-4.7,9.6,21.9,13.6,1.81
Jose,Urquidy,P,,2021-05-31,,HOU,BOS,,YES,-1.5,8.5,4.4,8600,-0.2,14.4,26.8,13.2,1.53
Rich,Hill,P,,2021-05-31,,TB,NYY,,YES,+1.5,8.5,4.1,8800,13.6,24.3,36.4,12.6,1.43
Wade,Miley,P,,2021-05-31,,CIN,PHI,,YES,-1.5,8.5,4.3,6500,-3.7,13.8,44.7,12.1,1.86
Jorge,Lopez,P,,2021-05-31,,BAL,MIN,,YES,+1.5,8.5,3.8,5800,-0.3,11.1,17.3,12.0,2.07
Fernando,Tatis Jr.,SS,,2021-05-31,,SD,CHC,4,,,,,6100,2.0,12.6,23.0,11.4,1.87
Christian,Yelich,OF,,2021-05-31,,MIL,DET,3,,-1.5,7,4.3,5200,0.0,4.4,9.0,10.5,2.02
Nelson,Cruz,OF,,2021-05-31,,MIN,BAL,4,,-1.5,8.5,4.7,5000,2.0,6.0,10.0,10.2,2.04
Nick,Castellanos,OF,,2021-05-31,,CIN,PHI,3,,-1.5,8.5,4.3,4500,6.0,8.4,11.0,9.9,2.20
Manny,Machado,3B,,2021-05-31,,SD,CHC,2,,,,,5600,0.0,8.6,19.0,9.9,1.77
Eugenio,Suarez,3B,,2021-05-31,,CIN,PHI,1,,-1.5,8.5,4.3,4500,0.0,6.6,11.0,9.8,2.18
Josh,Donaldson,3B,,2021-05-31,,MIN,BAL,2,,-1.5,8.5,4.7,4700,0.0,5.6,14.0,9.5,2.02
