first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Taylor,Widener,P,,2021-04-22,Early,ARI,CIN,,YES,+1.5,8.5,3.9,7400,-4.0,10.2,25.9,15.8,2.14
Jeff,Hoffman,P,,2021-04-22,Early,CIN,ARI,,YES,-1.5,8.5,4.6,8000,-6.9,9.5,24.5,14.8,1.85
Jose,Urena,P,,2021-04-22,Early,DET,PIT,,YES,-1.5,8.5,4.4,6900,0.0,8.8,22.4,9.9,1.43
Jesse,Winker,OF,,2021-04-22,Early,CIN,ARI,1,,-1.5,8.5,4.6,4300,5.0,11.2,21.0,7.6,1.77
Nick,Castellanos,OF,O,2021-04-22,Early,CIN,ARI,2,,-1.5,8.5,4.6,5400,0.0,6.8,15.0,7.5,1.39
Carson,Kelly,C,,2021-04-22,Early,ARI,CIN,5,,+1.5,8.5,3.9,4300,2.0,9.4,16.0,7.2,1.67
Joey,Votto,1B,,2021-04-22,Early,CIN,ARI,3,,-1.5,8.5,4.6,4500,2.0,10.8,23.0,7.1,1.58
Bryan,Reynolds,OF,,2021-04-22,Early,PIT,DET,,,+1.5,8.5,4.1,4200,0.0,10.6,25.0,6.8,1.62
Eduardo,Escobar,2B,,2021-04-22,Early,ARI,CIN,6,,+1.5,8.5,3.9,4200,0.0,7.0,12.0,6.7,1.60
David,Peralta,OF,,2021-04-22,Early,ARI,CIN,4,,+1.5,8.5,3.9,4100,0.0,7.6,15.0,6.6,1.61
Willi,Castro,SS,,2021-04-22,Early,DET,PIT,2,,-1.5,8.5,4.4,4600,0.0,8.6,25.0,6.5,1.41
Adam,Frazier,2B,,2021-04-22,Early,PIT,DET,,,+1.5,8.5,4.1,3900,2.0,8.6,20.0,6.4,1.64
Eugenio,Suarez,SS,,2021-04-22,Early,CIN,ARI,4,,-1.5,8.5,4.6,5200,0.0,5.4,16.0,6.4,1.23
Colin,Moran,1B,,2021-04-22,Early,PIT,DET,,,+1.5,8.5,4.1,4000,0.0,9.2,21.0,6.2,1.55
Erik,Gonzalez,3B,,2021-04-22,Early,PIT,DET,,,+1.5,8.5,4.1,3400,0.0,6.8,11.0,6.0,1.76
Robbie,Grossman,OF,,2021-04-22,Early,DET,PIT,1,,-1.5,8.5,4.4,3700,0.0,3.6,6.0,5.9,1.59
Akil,Baddoo,OF,,2021-04-22,Early,DET,PIT,7,,-1.5,8.5,4.4,4400,0.0,4.8,12.0,5.7,1.30
Tucker,Barnhart,C,,2021-04-22,Early,CIN,ARI,7,,-1.5,8.5,4.6,3900,0.0,5.2,10.0,5.6,1.44
Pavin,Smith,OF,,2021-04-22,Early,ARI,CIN,1,,+1.5,8.5,3.9,3500,0.0,6.0,15.0,5.3,1.51
Niko,Goodrum,2B,,2021-04-22,Early,DET,PIT,6,,-1.5,8.5,4.4,3700,0.0,5.2,13.0,5.2,1.41
Wilson,Ramos,C,,2021-04-22,Early,DET,PIT,4,,-1.5,8.5,4.4,4800,0.0,2.8,8.0,5.2,1.08
Gregory,Polanco,OF,,2021-04-22,Early,PIT,DET,,,+1.5,8.5,4.1,3300,0.0,6.6,21.0,4.7,1.42
Jeimer,Candelario,3B,,2021-04-22,Early,DET,PIT,3,,-1.5,8.5,4.4,4100,0.0,3.0,7.0,4.6,1.12
Kyle,Farmer,3B,,2021-04-22,Early,CIN,ARI,8,,-1.5,8.5,4.6,2800,0.0,5.4,14.0,4.6,1.64
Phillip,Evans,1B,,2021-04-22,Early,PIT,DET,,,+1.5,8.5,4.1,3700,0.0,3.2,7.0,4.4,1.19
Jonathan,Schoop,1B,,2021-04-22,Early,DET,PIT,5,,-1.5,8.5,4.4,3300,0.0,3.6,9.0,4.3,1.30
Jacob,Stallings,C,,2021-04-22,Early,PIT,DET,,,+1.5,8.5,4.1,3800,0.0,5.6,24.0,4.3,1.13
Jonathan,India,2B,,2021-04-22,Early,CIN,ARI,6,,-1.5,8.5,4.6,4000,0.0,2.6,5.0,4.3,1.08
Kevin,Newman,SS,,2021-04-22,Early,PIT,DET,,,+1.5,8.5,4.1,4000,0.0,2.4,5.0,4.2,1.05
Victor,Reyes,OF,,2021-04-22,Early,DET,PIT,8,,-1.5,8.5,4.4,2700,0.0,3.6,10.0,3.9,1.44
Dustin,Fowler,OF,,2021-04-22,Early,PIT,DET,,,+1.5,8.5,4.1,3000,0.0,2.4,5.0,3.5,1.17
Nick,Ahmed,SS,,2021-04-22,Early,ARI,CIN,7,,+1.5,8.5,3.9,3200,0.0,0.6,3.0,2.7,0.84
Seth,Beer,OF,O,2021-04-22,Early,ARI,CIN,-1,,+1.5,8.5,3.9,2000,,,,0.0,0.00
Jacob,Robson,OF,O,2021-04-22,Early,DET,PIT,-1,,-1.5,8.5,4.4,2000,,,,0.0,0.00
