first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Gavin,Lux,2B,DTD,2021-04-18,Afternoon,LAD,SD,,,-1.5,7.5,3.9,3200,0.0,1.8,5.0,6.3,1.97
Niko,Goodrum,2B,,2021-04-18,Afternoon,DET,OAK,,,+1.5,8.5,4,3400,0.0,4.6,13.0,6.3,1.85
Renato,Nunez,1B,,2021-04-18,Afternoon,DET,OAK,,,+1.5,8.5,4,3900,0.0,8.0,17.0,6.3,1.62
Victor,Reyes,OF,,2021-04-18,Afternoon,DET,OAK,,,+1.5,8.5,4,2400,0.0,3.2,10.0,6.2,2.58
Akil,Baddoo,OF,,2021-04-18,Afternoon,DET,OAK,,,+1.5,8.5,4,3700,0.0,7.8,17.0,6.2,1.68
Tommy,Pham,OF,,2021-04-18,Afternoon,SD,LAD,,,+1.5,7.5,3.6,2600,0.0,4.6,12.0,6.2,2.38
Luis,Torrens,C,,2021-04-18,Afternoon,SEA,HOU,,,+1.5,9,4.3,3200,0.0,2.6,8.0,6.1,1.91
Wil,Myers,OF,,2021-04-18,Afternoon,SD,LAD,,,+1.5,7.5,3.6,4600,0.0,7.2,21.0,6.0,1.30
Jurickson,Profar,OF,,2021-04-18,Afternoon,SD,LAD,,,+1.5,7.5,3.6,2800,3.0,11.4,22.0,5.9,2.11
Jeimer,Candelario,3B,,2021-04-18,Afternoon,DET,OAK,,,+1.5,8.5,4,3700,0.0,8.6,18.0,5.6,1.51
J.P.,Crawford,SS,,2021-04-18,Afternoon,SEA,HOU,,,+1.5,9,4.3,3100,3.0,7.0,12.0,5.6,1.81
Kyle,Tucker,OF,,2021-04-18,Afternoon,HOU,SEA,,,-1.5,9,4.7,4000,0.0,4.8,13.0,5.3,1.33
Taylor,Trammell,OF,,2021-04-18,Afternoon,SEA,HOU,,,+1.5,9,4.3,2900,2.0,7.0,14.0,5.2,1.79
Jason,Castro,C,,2021-04-18,Afternoon,HOU,SEA,,,-1.5,9,4.7,4200,0.0,4.0,11.0,5.1,1.21
Alex,De Goti,2B,,2021-04-18,Afternoon,HOU,SEA,,,-1.5,9,4.7,2300,12.0,12.0,12.0,5.1,2.22
Wilson,Ramos,C,,2021-04-18,Afternoon,DET,OAK,,,+1.5,8.5,4,4000,0.0,5.2,16.0,5.0,1.25
Chas,McCormick,OF,,2021-04-18,Afternoon,HOU,SEA,,,-1.5,9,4.7,3100,0.0,5.0,11.0,4.7,1.52
Zach,McKinstry,OF,,2021-04-18,Afternoon,LAD,SD,,,-1.5,7.5,3.9,2900,0.0,6.4,18.0,4.6,1.59
Aramis,Garcia,C,,2021-04-18,Afternoon,OAK,DET,,,-1.5,8.5,4.5,2700,0.0,4.4,9.0,4.2,1.56
Tony,Kemp,2B,,2021-04-18,Afternoon,OAK,DET,,,-1.5,8.5,4.5,2500,0.0,4.0,9.0,3.8,1.52
Ha-Seong,Kim,3B,,2021-04-18,Afternoon,SD,LAD,,,+1.5,7.5,3.6,2700,0.0,3.8,10.0,3.8,1.41
Victor,Caratini,C,,2021-04-18,Afternoon,SD,LAD,,,+1.5,7.5,3.6,3300,0.0,2.8,10.0,3.7,1.12
Luke,Raley,OF,,2021-04-18,Afternoon,LAD,SD,,,-1.5,7.5,3.9,2300,0.0,5.0,12.0,3.5,1.52
Abraham,Toro,3B,,2021-04-18,Afternoon,HOU,SEA,,,-1.5,9,4.7,2900,2.0,2.4,3.0,3.4,1.17
Luis,Campusano,C,,2021-04-18,Afternoon,SD,LAD,,,+1.5,7.5,3.6,2800,0.0,2.4,5.0,3.4,1.21
Sam,Haggerty,3B,,2021-04-18,Afternoon,SEA,HOU,,,+1.5,9,4.3,2400,0.0,4.8,14.0,3.3,1.38
Austin,Barnes,C,,2021-04-18,Afternoon,LAD,SD,,,-1.5,7.5,3.9,3100,0.0,1.6,3.0,3.1,1.00
Tom,Murphy,C,,2021-04-18,Afternoon,SEA,HOU,,,+1.5,9,4.3,2300,0.0,2.8,7.0,3.0,1.30
Ronnie,Dawson,OF,,2021-04-18,Afternoon,HOU,SEA,,,-1.5,9,4.7,2000,0.0,4.5,9.0,2.9,1.45
Edwin,Rios,1B,,2021-04-18,Afternoon,LAD,SD,,,-1.5,7.5,3.9,2800,0.0,1.4,5.0,2.9,1.04
AJ,Pollock,OF,DTD,2021-04-18,Afternoon,LAD,SD,,,-1.5,7.5,3.9,2800,0.0,1.2,3.0,2.8,1.00
Jorge,Mateo,2B,,2021-04-18,Afternoon,SD,LAD,,,+1.5,7.5,3.6,2200,0.0,1.6,6.0,2.3,1.05
Harold,Castro,1B,,2021-04-18,Afternoon,DET,OAK,,,+1.5,8.5,4,2200,0.0,1.4,3.0,2.2,1.00
Braden,Bishop,OF,,2021-04-18,Afternoon,SEA,HOU,,,+1.5,9,4.3,2200,0.0,1.0,3.0,2.0,0.91
Garrett,Stubbs,C,,2021-04-18,Afternoon,HOU,SEA,,,-1.5,9,4.7,2000,0.0,0.0,0.0,0.9,0.45
