first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,hand,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Kodai,Senga,P,,2023-05-24,,NYM,CHC,,YES,R,+1.5,7,3.5,9200,9.9,17.9,31.9,19.7,2.14
Bryce,Miller,P,,2023-05-24,,SEA,OAK,,YES,R,-1.5,8.5,5.3,10100,12.7,23.2,30.3,18.1,1.79
Nestor,Cortes,P,,2023-05-24,,NYY,BAL,,YES,L,-1.5,8,4.3,8100,-2.2,9.6,21.9,17.8,2.20
Sandy,Alcantara,P,,2023-05-24,,MIA,COL,,YES,R,-1.5,10.5,5.9,8300,8.9,15.6,26.8,16.6,2.00
Marcus,Stroman,P,,2023-05-24,,CHC,NYM,,YES,R,-1.5,7,3.5,8600,-6.5,12.0,20.5,15.6,1.81
Tony,Gonsolin,P,,2023-05-24,,LAD,ATL,,YES,R,+1.5,9.5,4.6,8500,5.3,15.9,25.5,14.3,1.68
Bryce,Elder,P,,2023-05-24,,ATL,LAD,,YES,R,-1.5,9.5,4.9,9600,5.3,14.9,30.0,14.0,1.46
Tyler,Wells,P,,2023-05-24,,BAL,NYY,,YES,R,+1.5,8,3.7,9300,13.9,20.1,34.0,13.9,1.49
James,Paxton,P,,2023-05-24,,BOS,LAA,,YES,L,-1.5,9,4.6,8900,3.9,15.8,22.3,13.5,1.52
Tyler,Anderson,P,,2023-05-24,,LAA,BOS,,YES,L,+1.5,9,4.4,6500,-0.7,8.4,21.2,11.8,1.82
Fernando,Tatis Jr.,OF,,2023-05-24,,SD,WAS,1,,R,-1.5,10,5.5,6100,0.0,7.8,17.0,11.1,1.82
Ken,Waldichuk,P,,2023-05-24,,OAK,SEA,,YES,L,+1.5,8.5,3.2,5300,1.3,8.4,15.5,11.1,2.09
Matthew,Boyd,P,,2023-05-24,,DET,KC,,YES,L,+1.5,8.5,4.2,7400,-10.9,9.6,23.7,11.0,1.49
Jorge,Soler,OF,,2023-05-24,,MIA,COL,4,,R,-1.5,10.5,5.9,5500,2.0,11.4,27.0,11.0,2.00
Aaron,Judge,OF,,2023-05-24,,NYY,BAL,2,,R,-1.5,8,4.3,6200,12.0,18.2,24.0,10.8,1.74
Juan,Soto,OF,,2023-05-24,,SD,WAS,2,,L,-1.5,10,5.5,5800,2.0,11.8,29.0,10.6,1.83
Zack,Greinke,P,,2023-05-24,,KC,DET,,YES,R,-1.5,8.5,4.4,5700,-6.8,9.3,19.5,10.4,1.82
Ryan,Weathers,P,,2023-05-24,,SD,WAS,,YES,L,-1.5,10,5.5,7000,2.3,8.5,16.3,10.1,1.44
Jon,Berti,3B,,2023-05-24,,MIA,COL,,,R,-1.5,10.5,5.9,4800,0.0,6.2,12.0,9.7,2.02
Ronald,Acuna Jr.,OF,,2023-05-24,,ATL,LAD,1,,R,-1.5,9.5,4.9,6400,5.0,9.0,16.0,9.7,1.52
Shohei,Ohtani,1B,,2023-05-24,,LAA,BOS,3,,L,+1.5,9,4.4,6300,2.0,10.5,31.5,9.6,1.52
Mike,Trout,OF,,2023-05-24,,LAA,BOS,2,,R,+1.5,9,4.4,6000,2.0,9.4,21.0,9.6,1.60
Christopher,Morel,2B,,2023-05-24,,CHC,NYM,5,,R,-1.5,7,3.5,4900,14.0,19.8,24.0,9.5,1.94
Bryan,De La Cruz,OF,,2023-05-24,,MIA,COL,5,,R,-1.5,10.5,5.9,4000,0.0,10.4,23.0,9.4,2.35
Bobby,Witt Jr.,SS,,2023-05-24,,KC,DET,1,,R,-1.5,8.5,4.4,5400,0.0,3.2,13.0,9.3,1.72
Trevor,Williams,P,,2023-05-24,,WAS,SD,,YES,R,+1.5,10,4.5,7200,3.8,10.7,16.5,9.3,1.29
