"Name","Fpts","Position","Team","Postponement","Salary","Value"
"Charlie Blackmon","6.60","OF","COL","0","5,100","1.29"
"Colin Moran","6.60","UTIL","PIT","0","7,200","0.92"
"Victor Caratini","6.59","UTIL","SD","0","8,600","0.77"
"Amed Rosario","6.57","SS/OF","CLE","0","3,400","1.93"
"Nomar Mazara","6.57","OF","DET","0","2,100","3.13"
"Brian Anderson","6.57","3B","MIA","0","3,700","1.77"
"Bryan Reynolds","6.56","UTIL","PIT","0","6,400","1.03"
"Jesus Aguilar","6.55","1B","MIA","0","3,200","2.05"
"Adam Frazier","6.55","UTIL","PIT","0","7,800","0.84"
"Brandon Crawford","6.50","UTIL","SF","0","6,000","1.08"
"Cesar Hernandez","6.39","2B","CLE","0","4,400","1.45"
"Ender Inciarte","6.38","OF","ATL","0","2,400","2.66"
"Jonathan Schoop","6.38","1B/2B","DET","0","3,100","2.06"
"Jonathan India","6.36","UTIL","CIN","0","6,600","0.96"
"C.J. Cron","6.36","1B","COL","0","3,900","1.63"
"Ronnie Dawson","6.32","OF","HOU","0","2,000","3.16"
"Tyler Stephenson","6.28","UTIL","CIN","0","6,400","0.98"
"Abraham Toro","6.28","3B","HOU","0","2,600","2.42"
"Garrett Hampson","6.21","2B/OF","COL","0","3,600","1.73"
"Akil Baddoo","6.15","OF","DET","0","3,600","1.71"
"Jazz Chisholm Jr.","6.15","2B/SS","MIA","0","3,600","1.71"
"Adolis Garcia","6.06","OF","TEX","0","2,000","3.03"
"Ryan McMahon","6.04","2B/3B","COL","0","5,300","1.14"
"Miguel Rojas","6.04","SS","MIA","0","3,300","1.83"
"James McCann","6.04","C","NYM","0","3,400","1.78"
"Raimel Tapia","6.02","OF","COL","0","3,000","2.01"
"Leody Taveras","5.88","OF","TEX","0","2,500","2.35"
"Sam Hilliard","5.87","OF","COL","0","2,700","2.17"
"Jonah Heim","5.84","C","TEX","0","3,800","1.54"
"Jason Castro","5.83","C","HOU","0","4,600","1.27"
"Niko Goodrum","5.82","2B/SS","DET","0","3,100","1.88"
"Charlie Culberson","5.80","2B/3B","TEX","0","3,200","1.81"
"Ronald Torreyes","5.75","3B/SS","PHI","0","2,400","2.40"
"Curt Casali","5.74","UTIL","SF","0","5,000","1.15"
"Gregory Polanco","5.71","UTIL","PIT","0","5,800","0.98"
"Mike Zunino","5.71","C","TB","0","4,400","1.30"
"Nick Madrigal","5.68","2B","CWS","0","3,000","1.89"
"Dustin Fowler","5.67","UTIL","PIT","0","5,000","1.13"
"Kevin Newman","5.65","UTIL","PIT","0","7,000","0.81"
"Leury Garcia","5.58","2B/OF","CWS","0","3,500","1.59"
"Zack Collins","5.49","C","CWS","0","3,100","1.77"
"Josh Naylor","5.47","OF","CLE","0","2,800","1.95"
"Austin Barnes","5.44","C","LAD","0","3,400","1.60"
"Jorge Alfaro","5.35","C","MIA","0","2,900","1.84"
"Roberto Perez","5.32","C","CLE","0","3,400","1.57"
"Luis Guillorme","5.18","2B/3B","NYM","0","2,500","2.07"
"Harold Castro","5.16","1B/OF","DET","0","2,000","2.58"
"Andrew Vaughn","5.09","1B/OF","CWS","0","2,800","1.82"
"Dom Nunez","4.70","C","COL","0","3,200","1.47"
"Michael Perez","4.49","UTIL","PIT","0","7,400","0.61"
"Yu Chang","4.41","1B/3B","CLE","0","3,000","1.47"
