first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Keston,Hiura,1B,,2021-04-24,Early,MIL,CHC,6,,+1.5,7.5,3.7,3900,0.0,1.4,3.0,8.2,2.10
Rafael,Devers,3B,,2021-04-24,Early,BOS,SEA,5,,-1.5,9,5.2,5600,0.0,9.2,17.0,8.2,1.46
Michael,Brantley,OF,,2021-04-24,Early,HOU,LAA,2,,-1.5,9,4.8,5300,0.0,5.8,13.0,8.2,1.55
Christian,Arroyo,2B,,2021-04-24,Early,BOS,SEA,1,,-1.5,9,5.2,3100,0.0,6.2,16.0,8.1,2.61
Kyle,Seager,3B,,2021-04-24,Early,SEA,BOS,3,,+1.5,9,3.8,4700,0.0,4.6,21.0,8.1,1.72
Kolten,Wong,2B,,2021-04-24,Early,MIL,CHC,1,,+1.5,7.5,3.7,3000,0.0,6.2,18.0,8.0,2.67
Kyle,Tucker,OF,,2021-04-24,Early,HOU,LAA,6,,-1.5,9,4.8,4300,0.0,2.4,10.0,8.0,1.86
Jesse,Winker,OF,,2021-04-24,Early,CIN,STL,1,,+1.5,8.5,4.2,4600,5.0,11.6,20.0,8.0,1.74
Jorge,Polanco,2B,,2021-04-24,Early,MIN,PIT,6,,-1.5,8,4.7,4300,0.0,7.0,23.0,7.9,1.84
Kris,Bryant,3B,,2021-04-24,Early,CHC,MIL,4,,-1.5,7.5,3.8,4500,3.0,10.8,16.0,7.9,1.76
Ty,France,2B,,2021-04-24,Early,SEA,BOS,2,,+1.5,9,3.8,3900,0.0,9.4,23.0,7.8,2.00
Alex,Kirilloff,1B,,2021-04-24,Early,MIN,PIT,5,,-1.5,8,4.7,2100,0.0,1.0,3.0,7.7,3.67
Joey,Votto,1B,,2021-04-24,Early,CIN,STL,3,,+1.5,8.5,4.2,4600,0.0,7.8,23.0,7.7,1.67
Justin,Upton,OF,,2021-04-24,Early,LAA,HOU,3,,+1.5,9,4.2,3300,3.0,5.8,7.0,7.7,2.33
Robbie,Grossman,OF,,2021-04-24,Early,DET,KC,1,,+1.5,7.5,3.7,4000,0.0,5.4,14.0,7.7,1.93
Bobby,Dalbec,1B,,2021-04-24,Early,BOS,SEA,7,,-1.5,9,5.2,3500,2.0,8.4,16.0,7.6,2.17
Ian,Happ,OF,,2021-04-24,Early,CHC,MIL,1,,-1.5,7.5,3.8,3700,0.0,4.6,9.0,7.5,2.03
Josh,Bell,1B,,2021-04-24,Early,WAS,NYM,,,+1.5,7.5,3.2,4200,0.0,5.2,12.0,7.5,1.79
