first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
LaMonte,Wade Jr.,OF,,2021-08-22,Afternoon,SF,OAK,1,,-1.5,8,4,3100,0.0,5.8,15.0,4.8,1.55
Tommy,Pham,OF,,2021-08-22,Afternoon,SD,PHI,5,,-1.5,9,5,4500,0.0,3.0,8.0,4.8,1.07
Eric,Hosmer,1B,,2021-08-22,Afternoon,SD,PHI,6,,-1.5,9,5,3300,0.0,4.2,11.0,4.6,1.39
Buster,Posey,C,,2021-08-22,Afternoon,SF,OAK,3,,-1.5,8,4,3900,0.0,3.0,10.0,4.5,1.15
Alex,Dickerson,OF,,2021-08-22,Afternoon,SF,OAK,6,,-1.5,8,4,2200,0.0,6.2,10.0,4.4,2.00
Mike,Yastrzemski,OF,,2021-08-22,Afternoon,SF,OAK,7,,-1.5,8,4,4100,0.0,2.6,7.0,4.4,1.07
Didi,Gregorius,SS,,2021-08-22,Afternoon,PHI,SD,6,,+1.5,9,4,3700,0.0,2.8,5.0,4.3,1.16
Darin,Ruf,1B,,2021-08-22,Afternoon,SF,OAK,8,,-1.5,8,4,2700,2.0,5.0,13.0,4.3,1.59
Adam,Frazier,2B,,2021-08-22,Afternoon,SD,PHI,7,,-1.5,9,5,4000,0.0,2.4,5.0,4.2,1.05
Tommy,La Stella,2B,,2021-08-22,Afternoon,SF,OAK,9,,-1.5,8,4,2900,0.0,3.8,9.0,4.2,1.45
Seth,Brown,OF,,2021-08-22,Afternoon,OAK,SF,7,,+1.5,8,4.1,3200,0.0,3.8,12.0,4.2,1.31
Jonathan,Villar,SS,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,3600,0.0,2.6,6.0,4.1,1.14
Yan,Gomes,C,,2021-08-22,Afternoon,OAK,SF,8,,+1.5,8,4.1,3500,0.0,3.2,13.0,4.0,1.14
