first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,hand,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Max,Scherzer,P,,2023-08-08,,TEX,OAK,,YES,R,-1.5,7.5,4.6,10800,9.9,19.8,27.0,22.5,2.08
Framber,Valdez,P,,2023-08-08,,HOU,BAL,,YES,L,-1.5,8,4.2,11000,-8.8,17.2,42.7,18.2,1.65
Lucas,Giolito,P,,2023-08-08,,LAA,SF,,YES,R,+1.5,8.5,4.3,9900,-13.4,7.0,23.9,17.5,1.77
Julio,Urias,P,,2023-08-08,,LAD,ARI,,YES,L,-1.5,9,4.9,9100,-6.8,17.0,30.3,17.0,1.87
Logan,Gilbert,P,,2023-08-08,,SEA,SD,,YES,R,-1.5,8.5,4.5,8700,5.9,16.3,28.0,16.5,1.90
Tanner,Bibee,P,,2023-08-08,,CLE,TOR,,YES,R,+1.5,8,3.9,9500,8.7,18.4,34.0,14.4,1.52
Clarke,Schmidt,P,,2023-08-08,,NYY,CWS,,YES,R,-1.5,9,4.9,7100,2.5,12.3,27.1,14.2,2.00
Kutter,Crawford,P,,2023-08-08,,BOS,KC,,YES,R,-1.5,10,5.7,7600,4.2,19.8,32.5,13.6,1.79
JP,Sears,P,,2023-08-08,,OAK,TEX,,YES,L,+1.5,7.5,2.9,7300,-1.7,12.8,20.3,13.5,1.85
Yusei,Kikuchi,P,,2023-08-08,,TOR,CLE,,YES,L,-1.5,8,4.2,8200,6.5,17.2,26.1,13.5,1.65
Mitch,Keller,P,,2023-08-08,,PIT,ATL,,YES,R,+1.5,9.5,4.3,8900,-7.7,7.2,20.2,13.2,1.48
Freddie,Freeman,1B,,2023-08-08,,LAD,ARI,2,,L,-1.5,9,4.9,6200,4.0,16.0,30.0,13.0,2.10
Grayson,Rodriguez,P,,2023-08-08,,BAL,HOU,,YES,R,+1.5,8,3.9,6900,-2.4,10.8,18.7,12.6,1.83
Wade,Miley,P,,2023-08-08,,MIL,COL,,YES,L,-1.5,8.5,5,7000,4.7,15.4,29.3,12.3,1.76
Yonny,Chirinos,P,,2023-08-08,,ATL,PIT,,YES,R,-1.5,9.5,5.2,6500,-3.9,4.2,15.1,12.0,1.85
Mookie,Betts,2B,,2023-08-08,,LAD,ARI,1,,R,-1.5,9,4.9,6400,7.0,14.0,20.0,11.9,1.86
Ronald,Acuna Jr.,OF,,2023-08-08,,ATL,PIT,1,,R,-1.5,9.5,5.2,6600,0.0,17.4,34.0,11.7,1.77
Shohei,Ohtani,1B,,2023-08-08,,LAA,SF,2,,L,+1.5,8.5,4.3,6700,0.0,11.4,28.0,11.7,1.75
Jameson,Taillon,P,,2023-08-08,,CHC,NYM,,YES,R,-1.5,9.5,5,6700,8.9,18.8,28.2,11.5,1.72
Touki,Toussaint,P,,2023-08-08,,CWS,NYY,,YES,R,+1.5,9,4.1,5700,2.3,11.4,20.9,11.4,2.00
Alex,Wood,P,,2023-08-08,,SF,LAA,,,L,-1.5,8.5,4.3,5400,-3.2,6.3,18.9,11.3,2.09
Matt,Olson,1B,,2023-08-08,,ATL,PIT,4,,L,-1.5,9.5,5.2,5900,9.0,16.0,23.0,11.3,1.92
