first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,hand,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Whit,Merrifield,2B,,2023-05-18,Night,TOR,NYY,6,,R,-1.5,9,4.8,3600,0.0,9.0,23.0,6.8,1.89
Paul,DeJong,SS,,2023-05-18,Night,STL,LAD,5,,R,+1.5,9,4.1,2900,0.0,8.2,16.0,6.6,2.28
Oswaldo,Cabrera,3B,,2023-05-18,Night,NYY,TOR,8,,S,+1.5,9,4.2,2200,0.0,7.8,24.0,6.5,2.95
Alejandro,Kirk,C,,2023-05-18,Night,TOR,NYY,5,,R,-1.5,9,4.8,3200,0.0,1.6,8.0,6.4,2.00
Nolan,Gorman,2B,,2023-05-18,Night,STL,LAD,6,,L,+1.5,9,4.1,4000,3.0,12.8,34.0,6.4,1.60
Jake,Bauers,OF,,2023-05-18,Night,NYY,TOR,5,,L,+1.5,9,4.2,2000,0.0,5.0,9.0,6.2,3.10
Juan,Yepez,OF,,2023-05-18,Night,STL,LAD,7,,R,+1.5,9,4.1,2800,0.0,1.4,7.0,6.2,2.21
Brendan,Donovan,2B,,2023-05-18,Night,STL,LAD,8,,L,+1.5,9,4.1,3100,2.0,4.6,8.0,6.2,2.00
Jose,Trevino,C,,2023-05-18,Night,NYY,TOR,9,,R,+1.5,9,4.2,2600,0.0,3.2,11.0,6.0,2.31
Brandon,Belt,1B,,2023-05-18,Night,TOR,NYY,,,L,-1.5,9,4.8,2300,0.0,4.6,11.0,5.9,2.57
Miguel,Rojas,SS,,2023-05-18,Night,LAD,STL,9,,R,-1.5,9,4.9,2200,0.0,3.2,9.0,5.8,2.64
Daulton,Varsho,OF,,2023-05-18,Night,TOR,NYY,7,,L,-1.5,9,4.8,3700,0.0,2.4,7.0,5.7,1.54
Danny,Jansen,C,,2023-05-18,Night,TOR,NYY,8,,R,-1.5,9,4.8,3300,0.0,8.8,20.0,5.6,1.70
Andrew,Knizner,C,,2023-05-18,Night,STL,LAD,,,R,+1.5,9,4.1,2100,0.0,8.6,22.0,5.6,2.67
Kevin,Kiermaier,OF,DTD,2023-05-18,Night,TOR,NYY,9,,L,-1.5,9,4.8,2400,7.0,12.2,22.0,5.4,2.25
Trayce,Thompson,OF,,2023-05-18,Night,LAD,STL,,,R,-1.5,9,4.9,2300,0.0,2.8,4.0,1.3,0.57
David,Peralta,OF,,2023-05-18,Night,LAD,STL,,,L,-1.5,9,4.9,2100,3.0,5.0,7.0,1.2,0.57
Austin,Barnes,C,,2023-05-18,Night,LAD,STL,,,R,-1.5,9,4.9,2400,0.0,3.8,7.0,1.1,0.46
Jason,Heyward,OF,,2023-05-18,Night,LAD,STL,,,L,-1.5,9,4.9,2500,0.0,2.0,4.0,1.1,0.44
Isiah,Kiner-Falefa,3B,,2023-05-18,Night,NYY,TOR,,,R,+1.5,9,4.2,2100,0.0,5.8,25.0,1.1,0.52
Kyle,Higashioka,C,,2023-05-18,Night,NYY,TOR,,,R,+1.5,9,4.2,2500,0.0,6.4,18.0,1.1,0.44
Alec,Burleson,OF,,2023-05-18,Night,STL,LAD,,,L,+1.5,9,4.1,3000,0.0,4.0,8.0,1.0,0.33
Willie,Calhoun,OF,,2023-05-18,Night,NYY,TOR,,,L,+1.5,9,4.2,2300,0.0,6.0,18.0,1.0,0.43
Cavan,Biggio,2B,,2023-05-18,Night,TOR,NYY,,,L,-1.5,9,4.8,2100,0.0,2.0,8.0,1.0,0.48
Santiago,Espinal,2B,,2023-05-18,Night,TOR,NYY,,,R,-1.5,9,4.8,2200,0.0,2.2,8.0,1.0,0.45
