first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,hand,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Julio,Urias,P,,2023-05-18,Night,LAD,STL,,YES,L,-1.5,9,4.9,9300,-0.4,13.3,32.6,16.6,1.78
Nestor,Cortes,P,,2023-05-18,Night,NYY,TOR,,YES,L,+1.5,9,4.2,7600,-2.2,9.6,21.9,15.9,2.09
Jose,Berrios,P,,2023-05-18,Night,TOR,NYY,,YES,R,-1.5,9,4.8,8400,1.7,16.8,34.8,14.2,1.69
Aaron,Judge,OF,,2023-05-18,Night,NYY,TOR,2,,R,+1.5,9,4.2,5800,5.0,20.6,36.0,11.8,2.03
Freddie,Freeman,1B,,2023-05-18,Night,LAD,STL,2,,L,-1.5,9,4.9,4900,5.0,10.6,19.0,10.6,2.16
Adam,Wainwright,P,,2023-05-18,Night,STL,LAD,,YES,R,+1.5,9,4.1,5500,-4.7,1.8,8.5,9.9,1.80
Mookie,Betts,2B,,2023-05-18,Night,LAD,STL,1,,R,-1.5,9,4.9,5500,4.0,10.6,18.0,9.8,1.78
Anthony,Rizzo,1B,,2023-05-18,Night,NYY,TOR,3,,L,+1.5,9,4.2,4500,4.0,14.4,30.0,9.7,2.16
Will,Smith,C,,2023-05-18,Night,LAD,STL,3,,R,-1.5,9,4.9,5300,5.0,11.4,23.0,9.3,1.75
Paul,Goldschmidt,1B,,2023-05-18,Night,STL,LAD,2,,R,+1.5,9,4.1,5900,2.0,8.6,18.0,9.1,1.54
Nolan,Arenado,3B,,2023-05-18,Night,STL,LAD,4,,R,+1.5,9,4.1,5200,5.0,17.2,28.0,8.9,1.71
James,Outman,OF,,2023-05-18,Night,LAD,STL,7,,L,-1.5,9,4.9,4200,0.0,6.4,30.0,8.9,2.12
Lars,Nootbaar,OF,,2023-05-18,Night,STL,LAD,1,,L,+1.5,9,4.1,3900,0.0,7.8,19.0,8.6,2.21
Gleyber,Torres,2B,,2023-05-18,Night,NYY,TOR,1,,R,+1.5,9,4.2,4600,0.0,5.6,10.0,8.6,1.87
Max,Muncy,3B,,2023-05-18,Night,LAD,STL,5,,L,-1.5,9,4.9,5100,4.0,11.6,35.0,8.6,1.69
George,Springer,OF,,2023-05-18,Night,TOR,NYY,1,,R,-1.5,9,4.8,4100,4.0,9.2,17.0,8.6,2.10
Harrison,Bader,OF,,2023-05-18,Night,NYY,TOR,6,,R,+1.5,9,4.2,3500,0.0,4.4,10.0,8.5,2.43
Bo,Bichette,SS,,2023-05-18,Night,TOR,NYY,2,,R,-1.5,9,4.8,5000,3.0,7.2,11.0,8.3,1.66
Anthony,Volpe,SS,,2023-05-18,Night,NYY,TOR,7,,R,+1.5,9,4.2,3700,0.0,8.6,19.0,8.3,2.24
Miguel,Vargas,2B,,2023-05-18,Night,LAD,STL,6,,R,-1.5,9,4.9,2600,0.0,6.6,11.0,8.2,3.15
Vladimir,Guerrero Jr.,1B,DTD,2023-05-18,Night,TOR,NYY,3,,R,-1.5,9,4.8,5400,5.0,8.0,12.0,7.8,1.44
J.D.,Martinez,OF,,2023-05-18,Night,LAD,STL,4,,R,-1.5,9,4.9,4800,0.0,5.2,20.0,7.7,1.60
DJ,LeMahieu,1B,,2023-05-18,Night,NYY,TOR,4,,R,+1.5,9,4.2,3400,2.0,4.6,7.0,7.5,2.21
Willson,Contreras,C,,2023-05-18,Night,STL,LAD,3,,R,+1.5,9,4.1,4300,2.0,6.0,14.0,7.4,1.72
Tommy,Edman,2B,,2023-05-18,Night,STL,LAD,9,,S,+1.5,9,4.1,4400,0.0,13.0,31.0,7.4,1.68
Chris,Taylor,OF,,2023-05-18,Night,LAD,STL,8,,R,-1.5,9,4.9,3200,0.0,2.4,7.0,7.2,2.25
Matt,Chapman,3B,,2023-05-18,Night,TOR,NYY,4,,R,-1.5,9,4.8,4700,3.0,5.0,8.0,6.9,1.47
