first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Clayton,Kershaw,P,,2021-04-17,,LAD,SD,,,-1.5,7,3.6,10000,6.5,18.3,31.4,19.6,1.96
Yu,Darvish,P,,2021-04-17,,SD,LAD,,,+1.5,7,3.4,9400,8.1,20.3,27.4,19.0,2.02
Zack,Greinke,P,,2021-04-17,,HOU,SEA,,,-1.5,8.5,4.4,8700,-6.4,12.7,23.9,17.5,2.01
Dean,Kremer,P,,2021-04-17,,BAL,TEX,,,+1.5,8.5,3.9,6000,-11.1,6.2,19.1,14.3,2.38
Dane,Dunning,P,,2021-04-17,,TEX,BAL,,,-1.5,8.5,4.6,7500,-0.9,9.1,23.5,14.3,1.91
Trevor,Cahill,P,,2021-04-17,,PIT,MIL,,,+1.5,8.5,4,6900,-2.4,5.5,22.3,14.2,2.06
Jose,Quintana,P,,2021-04-17,,LAA,MIN,,,-1.5,9,4.5,6700,-4.7,4.9,15.0,13.0,1.94
Matt,Shoemaker,P,,2021-04-17,,MIN,LAA,,,+1.5,9,4.5,8100,0.0,5.2,12.5,12.5,1.54
Brett,Anderson,P,,2021-04-17,,MIL,PIT,,,-1.5,8.5,4.6,7200,0.7,13.3,27.1,12.3,1.71
Mike,Trout,OF,,2021-04-17,,LAA,MIN,,,-1.5,9,4.5,6100,2.0,8.8,15.0,11.2,1.84
Byron,Buxton,OF,DTD,2021-04-17,,MIN,LAA,,,+1.5,9,4.5,6200,8.0,15.4,26.0,10.4,1.68
Joey,Gallo,OF,,2021-04-17,,TEX,BAL,,,-1.5,8.5,4.6,4400,2.0,6.4,9.0,10.0,2.27
Chris,Flexen,P,,2021-04-17,,SEA,HOU,,,+1.5,8.5,4.1,6300,5.3,14.5,23.7,10.0,1.59
Nelson,Cruz,OF,,2021-04-17,,MIN,LAA,,,+1.5,9,4.5,5800,3.0,8.2,14.0,9.8,1.69
Nate,Lowe,1B,,2021-04-17,,TEX,BAL,,,-1.5,8.5,4.6,4300,0.0,5.8,12.0,9.4,2.19
Shohei,Ohtani,1B,,2021-04-17,,LAA,MIN,,,-1.5,9,4.5,5000,2.0,12.0,29.0,9.3,1.86
Keston,Hiura,1B,,2021-04-17,,MIL,PIT,,,-1.5,8.5,4.6,4400,2.0,8.0,14.0,9.2,2.09
Josh,Donaldson,3B,,2021-04-17,,MIN,LAA,,,+1.5,9,4.5,4400,0.0,5.4,8.0,9.1,2.07
Fernando,Tatis Jr.,SS,,2021-04-17,,SD,LAD,,,+1.5,7,3.4,5100,0.0,5.4,12.0,8.9,1.75
Kyle,Tucker,OF,,2021-04-17,,HOU,SEA,,,-1.5,8.5,4.4,4300,0.0,5.6,13.0,8.8,2.05
Michael,Brantley,OF,,2021-04-17,,HOU,SEA,,,-1.5,8.5,4.4,4500,0.0,5.2,13.0,8.6,1.91
Corey,Seager,SS,,2021-04-17,,LAD,SD,,,-1.5,7,3.6,5400,0.0,10.0,19.0,8.6,1.59
Manny,Machado,3B,DTD,2021-04-17,,SD,LAD,,,+1.5,7,3.4,4700,4.0,13.8,26.0,8.5,1.81
Jackie,Bradley Jr.,OF,,2021-04-17,,MIL,PIT,,,-1.5,8.5,4.6,3500,3.0,7.6,15.0,8.5,2.43
Anthony,Santander,OF,,2021-04-17,,BAL,TEX,,,+1.5,8.5,3.9,3800,0.0,4.0,9.0,8.4,2.21
Mitch,Garver,C,,2021-04-17,,MIN,LAA,,,+1.5,9,4.5,5200,0.0,4.8,19.0,8.4,1.62
Trey,Mancini,1B,,2021-04-17,,BAL,TEX,,,+1.5,8.5,3.9,5200,0.0,5.2,15.0,8.3,1.60
Aledmys,Diaz,2B,,2021-04-17,,HOU,SEA,,,-1.5,8.5,4.4,4000,0.0,5.0,9.0,8.2,2.05
David,Dahl,OF,,2021-04-17,,TEX,BAL,,,-1.5,8.5,4.6,3400,0.0,4.8,17.0,8.1,2.38
Christian,Yelich,OF,DTD,2021-04-17,,MIL,PIT,,,-1.5,8.5,4.6,5300,2.0,11.2,21.0,8.1,1.53
Mookie,Betts,OF,,2021-04-17,,LAD,SD,,,-1.5,7,3.6,5500,0.0,9.0,20.0,8.1,1.47
Myles,Straw,OF,,2021-04-17,,HOU,SEA,,,-1.5,8.5,4.4,2800,0.0,4.0,10.0,8.1,2.89
Miguel,Sano,1B,,2021-04-17,,MIN,LAA,,,+1.5,9,4.5,4500,0.0,4.4,11.0,8.0,1.78
Carlos,Correa,SS,,2021-04-17,,HOU,SEA,,,-1.5,8.5,4.4,4800,0.0,3.6,7.0,8.0,1.67
Justin,Upton,OF,,2021-04-17,,LAA,MIN,,,-1.5,9,4.5,3300,0.0,8.8,23.0,7.9,2.39
Ke'Bryan,Hayes,3B,,2021-04-17,,PIT,MIL,,,+1.5,8.5,4,4600,4.0,14.0,36.0,7.9,1.72
DJ,Stewart,OF,,2021-04-17,,BAL,TEX,,,+1.5,8.5,3.9,2900,2.0,7.0,10.0,7.8,2.69
Bryan,Reynolds,OF,,2021-04-17,,PIT,MIL,,,+1.5,8.5,4,3300,0.0,6.6,16.0,7.8,2.36
Cedric,Mullins,OF,,2021-04-17,,BAL,TEX,,,+1.5,8.5,3.9,3900,0.0,12.4,18.0,7.8,2.00
Ryan,Mountcastle,OF,,2021-04-17,,BAL,TEX,,,+1.5,8.5,3.9,4100,0.0,5.0,10.0,7.6,1.85
Kyle,Seager,3B,,2021-04-17,,SEA,HOU,,,+1.5,8.5,4.1,5100,2.0,10.6,26.0,7.6,1.49
Nick,Solak,2B,,2021-04-17,,TEX,BAL,,,-1.5,8.5,4.6,4800,0.0,10.0,21.0,7.6,1.58
David,Fletcher,2B,,2021-04-17,,LAA,MIN,,,-1.5,9,4.5,4300,3.0,6.2,12.0,7.5,1.74
Kevin,Newman,2B,,2021-04-17,,PIT,MIL,,,+1.5,8.5,4,3200,0.0,4.4,15.0,7.5,2.34
Isiah,Kiner-Falefa,SS,,2021-04-17,,TEX,BAL,,,-1.5,8.5,4.6,4700,0.0,5.0,15.0,7.5,1.60
Mitch,Haniger,OF,,2021-04-17,,SEA,HOU,,,+1.5,8.5,4.1,3500,5.0,11.0,16.0,7.4,2.11
Leody,Taveras,OF,,2021-04-17,,TEX,BAL,,,-1.5,8.5,4.6,3000,0.0,3.6,8.0,7.3,2.43
Ty,France,2B,,2021-04-17,,SEA,HOU,,,+1.5,8.5,4.1,3600,0.0,8.0,17.0,7.3,2.03
Brock,Holt,3B,,2021-04-17,,TEX,BAL,,,-1.5,8.5,4.6,3800,5.0,9.8,14.0,7.3,1.92
Justin,Turner,3B,,2021-04-17,,LAD,SD,,,-1.5,7,3.6,5000,0.0,15.0,26.0,7.2,1.44
Jorge,Polanco,2B,,2021-04-17,,MIN,LAA,,,+1.5,9,4.5,3900,4.0,5.0,7.0,7.2,1.85
Luis,Urias,SS,,2021-04-17,,MIL,PIT,,,-1.5,8.5,4.6,3300,8.0,11.2,16.0,7.1,2.15
Jared,Walsh,1B,,2021-04-17,,LAA,MIN,,,-1.5,9,4.5,4900,2.0,7.6,14.0,7.1,1.45
Anderson,Tejeda,3B,,2021-04-17,,TEX,BAL,,,-1.5,8.5,4.6,3600,0.0,2.4,12.0,7.0,1.94
Chris,Taylor,OF,,2021-04-17,,LAD,SD,,,-1.5,7,3.6,4400,0.0,7.6,14.0,6.9,1.57
Rio,Ruiz,2B,,2021-04-17,,BAL,TEX,,,+1.5,8.5,3.9,3400,0.0,4.2,9.0,6.8,2.00
Trent,Grisham,OF,,2021-04-17,,SD,LAD,,,+1.5,7,3.4,5100,0.0,9.2,15.0,6.8,1.33
Yuli,Gurriel,1B,,2021-04-17,,HOU,SEA,,,-1.5,8.5,4.4,3900,5.0,10.2,19.0,6.8,1.74
Gavin,Lux,2B,DTD,2021-04-17,,LAD,SD,,,-1.5,7,3.6,3500,0.0,1.8,5.0,6.7,1.91
Charlie,Culberson,3B,,2021-04-17,,TEX,BAL,,,-1.5,8.5,4.6,4000,0.0,11.0,27.0,6.7,1.68
Omar,Narvaez,C,,2021-04-17,,MIL,PIT,,,-1.5,8.5,4.6,3900,0.0,4.4,10.0,6.7,1.72
Dylan,Moore,2B,,2021-04-17,,SEA,HOU,,,+1.5,8.5,4.1,4200,0.0,2.6,7.0,6.6,1.57
Jose,Iglesias,SS,,2021-04-17,,LAA,MIN,,,-1.5,9,4.5,3500,0.0,4.4,8.0,6.6,1.89
Evan,White,1B,,2021-04-17,,SEA,HOU,,,+1.5,8.5,4.1,2600,0.0,4.2,10.0,6.6,2.54
Jake,Cronenworth,2B,,2021-04-17,,SD,LAD,,,+1.5,7,3.4,4100,0.0,11.4,33.0,6.6,1.61
Tommy,Pham,OF,,2021-04-17,,SD,LAD,,,+1.5,7,3.4,2600,0.0,5.0,12.0,6.6,2.54
Wilmer,Difo,2B,,2021-04-17,,PIT,MIL,,,+1.5,8.5,4,2500,0.0,3.2,13.0,6.5,2.60
Abraham,Toro,3B,,2021-04-17,,HOU,SEA,,,-1.5,8.5,4.4,2700,0.0,1.8,3.0,6.5,2.41
Max,Kepler,OF,,2021-04-17,,MIN,LAA,,,+1.5,9,4.5,4600,0.0,6.4,10.0,6.5,1.41
Avisail,Garcia,OF,,2021-04-17,,MIL,PIT,,,-1.5,8.5,4.6,3600,0.0,7.6,13.0,6.4,1.78
Luis,Arraez,3B,,2021-04-17,,MIN,LAA,,,+1.5,9,4.5,4800,0.0,7.6,18.0,6.4,1.33
Travis,Shaw,3B,,2021-04-17,,MIL,PIT,,,-1.5,8.5,4.6,4200,0.0,7.2,15.0,6.3,1.50
Kyle,Garlick,OF,,2021-04-17,,MIN,LAA,,,+1.5,9,4.5,3400,0.0,3.4,8.0,6.3,1.85
Max,Muncy,1B,,2021-04-17,,LAD,SD,,,-1.5,7,3.6,4700,2.0,6.2,13.0,6.3,1.34
Wil,Myers,OF,,2021-04-17,,SD,LAD,,,+1.5,7,3.4,4600,0.0,7.8,21.0,6.3,1.37
Jonah,Heim,C,,2021-04-17,,TEX,BAL,,,-1.5,8.5,4.6,4200,0.0,7.6,17.0,6.3,1.50
Freddy,Galvis,SS,,2021-04-17,,BAL,TEX,,,+1.5,8.5,3.9,3400,5.0,9.8,23.0,6.2,1.82
Jurickson,Profar,OF,,2021-04-17,,SD,LAD,,,+1.5,7,3.4,2900,3.0,11.8,22.0,6.2,2.14
Jose,Marmolejos,1B,,2021-04-17,,SEA,HOU,,,+1.5,8.5,4.1,3200,0.0,6.6,19.0,6.2,1.94
Adam,Frazier,2B,,2021-04-17,,PIT,MIL,,,+1.5,8.5,4,3700,7.0,14.6,25.0,6.2,1.68
Phillip,Evans,3B,,2021-04-17,,PIT,MIL,,,+1.5,8.5,4,3700,2.0,7.2,13.0,6.1,1.65
Pedro,Severino,C,,2021-04-17,,BAL,TEX,,,+1.5,8.5,3.9,3800,0.0,1.0,3.0,6.0,1.58
Eric,Hosmer,1B,,2021-04-17,,SD,LAD,,,+1.5,7,3.4,5100,5.0,10.4,17.0,6.0,1.18
Jason,Castro,C,,2021-04-17,,HOU,SEA,,,-1.5,8.5,4.4,4400,0.0,5.6,11.0,5.9,1.34
Erik,Gonzalez,3B,,2021-04-17,,PIT,MIL,,,+1.5,8.5,4,3900,0.0,7.6,20.0,5.8,1.49
Ronnie,Dawson,OF,,2021-04-17,,HOU,SEA,,,-1.5,8.5,4.4,2000,0.0,4.5,9.0,5.8,2.90
Maikel,Franco,3B,,2021-04-17,,BAL,TEX,,,+1.5,8.5,3.9,4100,0.0,7.0,18.0,5.8,1.41
Jose,Trevino,C,,2021-04-17,,TEX,BAL,,,-1.5,8.5,4.6,3700,3.0,6.4,13.0,5.7,1.54
Colin,Moran,1B,,2021-04-17,,PIT,MIL,,,+1.5,8.5,4,3700,0.0,6.4,13.0,5.7,1.54
J.P.,Crawford,SS,,2021-04-17,,SEA,HOU,,,+1.5,8.5,4.1,3100,3.0,6.6,10.0,5.6,1.81
Luis,Torrens,C,,2021-04-17,,SEA,HOU,,,+1.5,8.5,4.1,3200,0.0,2.6,8.0,5.5,1.72
Zach,McKinstry,OF,,2021-04-17,,LAD,SD,,,-1.5,7,3.6,3100,0.0,9.4,19.0,5.3,1.71
Scott,Schebler,OF,,2021-04-17,,LAA,MIN,,,-1.5,9,4.5,2000,0.0,0.0,0.0,5.0,2.50
Gregory,Polanco,OF,,2021-04-17,,PIT,MIL,,,+1.5,8.5,4,3100,0.0,7.6,21.0,5.0,1.61
Jacob,Stallings,C,,2021-04-17,,PIT,MIL,,,+1.5,8.5,4,3000,0.0,10.2,24.0,4.9,1.63
Alex,De Goti,SS,,2021-04-17,,HOU,SEA,,,-1.5,8.5,4.4,2000,12.0,12.0,12.0,4.9,2.45
Chas,McCormick,OF,,2021-04-17,,HOU,SEA,,,-1.5,8.5,4.4,3200,0.0,5.0,11.0,4.8,1.50
Taylor,Trammell,OF,,2021-04-17,,SEA,HOU,,,+1.5,8.5,4.1,3100,0.0,6.0,14.0,4.8,1.55
Kurt,Suzuki,C,,2021-04-17,,LAA,MIN,,,-1.5,9,4.5,3600,0.0,4.0,10.0,4.7,1.31
Albert,Pujols,1B,,2021-04-17,,LAA,MIN,,,-1.5,9,4.5,3000,2.0,4.8,8.0,4.7,1.57
Adolis,Garcia,OF,,2021-04-17,,TEX,BAL,,,-1.5,8.5,4.6,2700,0.0,6.4,18.0,4.6,1.70
Eli,White,OF,,2021-04-17,,TEX,BAL,,,-1.5,8.5,4.6,3200,0.0,5.0,15.0,4.4,1.38
Ryan,Jeffers,C,,2021-04-17,,MIN,LAA,,,+1.5,9,4.5,2600,0.0,4.2,9.0,4.1,1.58
Sam,Huff,C,,2021-04-17,,TEX,BAL,,,-1.5,8.5,4.6,2900,6.0,11.4,18.0,4.0,1.38
Sam,Haggerty,3B,,2021-04-17,,SEA,HOU,,,+1.5,8.5,4.1,2500,0.0,5.4,14.0,4.0,1.60
AJ,Pollock,OF,DTD,2021-04-17,,LAD,SD,,,-1.5,7,3.6,3000,0.0,4.8,18.0,3.9,1.30
Ha-Seong,Kim,3B,,2021-04-17,,SD,LAD,,,+1.5,7,3.4,2700,0.0,3.8,10.0,3.9,1.44
Manny,Pina,C,,2021-04-17,,MIL,PIT,,,-1.5,8.5,4.6,3400,0.0,5.2,22.0,3.8,1.12
Austin,Barnes,C,,2021-04-17,,LAD,SD,,,-1.5,7,3.6,3000,0.0,3.8,13.0,3.7,1.23
Victor,Caratini,C,,2021-04-17,,SD,LAD,,,+1.5,7,3.4,3300,0.0,2.8,10.0,3.7,1.12
Daniel,Vogelbach,1B,,2021-04-17,,MIL,PIT,,,-1.5,8.5,4.6,3400,0.0,2.2,11.0,3.6,1.06
