first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Alek,Manoah,P,,2021-08-23,,TOR,CWS,,YES,+1.5,8.5,4.3,8500,-5.5,17.0,31.8,19.1,2.25
Zack,Greinke,P,,2021-08-23,,HOU,KC,,YES,-1.5,9,5.4,8900,3.0,14.5,32.6,17.1,1.92
Lance,Lynn,P,,2021-08-23,,CWS,TOR,,YES,-1.5,8.5,4.2,9900,10.8,18.7,30.9,15.9,1.61
Huascar,Ynoa,P,,2021-08-23,,ATL,NYY,,YES,-1.5,9,4.6,8300,4.6,26.2,41.9,15.3,1.84
Jordan,Montgomery,P,,2021-08-23,,NYY,ATL,,YES,+1.5,9,4.5,10000,11.3,16.4,21.3,14.8,1.48
Kyle,Hendricks,P,,2021-08-23,,CHC,COL,,YES,-1.5,8.5,4.5,8100,-8.2,10.3,20.9,14.2,1.75
Marco,Gonzales,P,,2021-08-23,,SEA,OAK,,YES,+1.5,8.5,3.9,8100,15.5,22.2,41.0,13.1,1.62
Antonio,Senzatela,P,,2021-08-23,,COL,CHC,,YES,+1.5,8.5,4.1,6000,7.5,11.6,17.6,12.1,2.02
Paul,Blackburn,P,,2021-08-23,,OAK,SEA,,YES,-1.5,8.5,4.6,5300,6.7,6.7,6.7,11.9,2.25
Wil,Crowe,P,,2021-08-23,,PIT,ARI,,YES,-1.5,9.5,4.9,7200,0.0,10.7,26.5,11.5,1.60
Starling,Marte,OF,,2021-08-23,,OAK,SEA,2,,-1.5,8.5,4.6,5700,7.0,17.2,25.0,10.2,1.79
Aaron,Judge,OF,,2021-08-23,,NYY,ATL,3,,+1.5,9,4.5,5400,2.0,6.4,13.0,9.8,1.81
Ketel,Marte,OF,,2021-08-23,,ARI,PIT,2,,+1.5,9.5,4.6,4600,3.0,11.2,17.0,9.2,2.00
Bryan,Reynolds,OF,,2021-08-23,,PIT,ARI,3,,-1.5,9.5,4.9,4300,0.0,5.8,12.0,9.2,2.14
Jose,Altuve,2B,,2021-08-23,,HOU,KC,1,,-1.5,9,5.4,5500,6.0,13.6,30.0,9.0,1.64
Vladimir,Guerrero Jr.,1B,,2021-08-23,,TOR,CWS,3,,+1.5,8.5,4.3,6000,0.0,5.6,12.0,9.0,1.50
Mark,Canha,OF,,2021-08-23,,OAK,SEA,1,,-1.5,8.5,4.6,4100,2.0,5.6,15.0,8.9,2.17
Ozzie,Albies,2B,,2021-08-23,,ATL,NYY,1,,-1.5,9,4.6,5900,0.0,4.4,11.0,8.9,1.51
Ke'Bryan,Hayes,3B,,2021-08-23,,PIT,ARI,2,,-1.5,9.5,4.9,4100,0.0,3.8,9.0,8.9,2.17
Josh,Rojas,2B,,2021-08-23,,ARI,PIT,1,,+1.5,9.5,4.6,4700,2.0,5.2,10.0,8.8,1.87
Daniel,Lynch,P,,2021-08-23,,KC,HOU,,YES,+1.5,9,3.6,6500,6.1,18.2,27.0,8.7,1.34
Freddie,Freeman,1B,,2021-08-23,,ATL,NYY,3,,-1.5,9,4.6,6100,6.0,14.0,39.0,8.7,1.43
Salvador,Perez,C,,2021-08-23,,KC,HOU,3,,+1.5,9,3.6,4900,0.0,4.2,14.0,8.5,1.73
Patrick,Wisdom,3B,,2021-08-23,,CHC,COL,4,,-1.5,8.5,4.5,4900,0.0,4.4,9.0,8.5,1.73
Yan,Gomes,C,,2021-08-23,,OAK,SEA,4,,-1.5,8.5,4.6,3300,0.0,3.8,13.0,8.5,2.58
Yordan,Alvarez,OF,,2021-08-23,,HOU,KC,4,,-1.5,9,5.4,5500,0.0,10.6,23.0,8.4,1.53
Rafael,Ortega,OF,,2021-08-23,,CHC,COL,1,,-1.5,8.5,4.5,3700,0.0,4.6,19.0,8.4,2.27
Carson,Kelly,C,,2021-08-23,,ARI,PIT,4,,+1.5,9.5,4.6,4400,0.0,3.4,6.0,8.3,1.89
Charlie,Blackmon,OF,,2021-08-23,,COL,CHC,3,,+1.5,8.5,4.1,4400,7.0,11.0,17.0,8.3,1.89
Aledmys,Diaz,3B,,2021-08-23,,HOU,KC,6,,-1.5,9,5.4,3600,0.0,7.2,20.0,8.2,2.28
David,Peralta,OF,,2021-08-23,,ARI,PIT,5,,+1.5,9.5,4.6,2900,0.0,7.8,13.0,8.2,2.83
