first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Tyler,Glasnow,P,,2021-06-01,,TB,NYY,,YES,-1.5,7.5,3.9,9800,-2.6,22.4,37.0,20.9,2.13
Aaron,Nola,P,,2021-06-01,,PHI,CIN,,YES,+1.5,7.5,3.7,10200,3.4,18.5,31.3,20.8,2.04
Chris,Bassitt,P,,2021-06-01,,OAK,SEA,,,-1.5,7.5,4.2,9100,6.5,26.0,45.5,18.3,2.01
Alex,Wood,P,,2021-06-01,,SF,LAA,,,-1.5,7,3.9,8700,9.7,18.2,23.6,18.1,2.08
Sonny,Gray,P,,2021-06-01,,CIN,PHI,,YES,-1.5,7.5,3.8,8900,7.1,19.5,30.7,17.9,2.01
Robbie,Ray,P,,2021-06-01,,TOR,MIA,,YES,-1.5,8.5,4.7,8500,7.3,19.9,24.8,17.8,2.09
Eric,Lauer,P,,2021-06-01,,MIL,DET,,YES,-1.5,7.5,4.1,8400,6.4,15.6,27.5,16.8,2.00
Domingo,German,P,,2021-06-01,,NYY,TB,,YES,+1.5,7.5,3.6,9400,14.3,19.4,26.2,16.4,1.74
Stephen,Strasburg,P,,2021-06-01,,WAS,ATL,,YES,+1.5,9,4.2,8600,-6.8,12.6,35.7,16.4,1.91
Brady,Singer,P,,2021-06-01,,KC,PIT,,YES,-1.5,8.5,4.8,6900,-4.7,8.5,18.9,16.0,2.32
Luis,Garcia,P,,2021-06-01,,HOU,BOS,,YES,-1.5,9,5,8300,0.0,0.0,0.0,15.3,1.84
Michael,Pineda,P,,2021-06-01,,MIN,BAL,,YES,-1.5,9,5,9200,7.0,17.3,28.5,14.9,1.62
Sandy,Alcantara,P,,2021-06-01,,MIA,TOR,,YES,+1.5,8.5,3.9,10000,-12.9,18.7,40.5,14.7,1.47
Marco,Gonzales,P,,2021-06-01,,SEA,OAK,,,+1.5,7.5,3.3,7200,0.6,11.3,24.0,14.6,2.03
Max,Fried,P,,2021-06-01,,ATL,WAS,,YES,-1.5,9,4.9,7500,0.0,17.1,26.3,14.5,1.93
Andrew,Heaney,P,,2021-06-01,,LAA,SF,,,+1.5,7,3.1,7700,-4.1,10.4,31.0,14.2,1.84
Marcus,Stroman,P,,2021-06-01,,NYM,ARI,,,-1.5,8.5,4.4,8300,1.3,15.1,21.3,13.8,1.66
German,Marquez,P,,2021-06-01,,COL,TEX,,YES,-1.5,9.5,4.7,6700,-18.4,16.9,31.6,13.8,2.06
Kyle,Hendricks,P,,2021-06-01,,CHC,SD,,YES,-1.5,8,4.1,7800,3.3,19.7,31.2,13.8,1.77
Ryan,Weathers,P,,2021-06-01,,SD,CHC,,,+1.5,8,3.9,5500,0.0,1.1,5.6,13.1,2.38
Matthew,Boyd,P,,2021-06-01,,DET,MIL,,YES,+1.5,7.5,3.4,6500,-0.2,10.0,19.9,12.3,1.89
John,Gant,P,,2021-06-01,,STL,LAD,,,+1.5,8.5,3.5,7300,0.0,2.5,12.5,12.0,1.64
Dane,Dunning,P,,2021-06-01,,TEX,COL,,YES,+1.5,9.5,4.8,5900,-3.0,12.2,25.9,11.8,2.00
Caleb,Smith,P,,2021-06-01,,ARI,NYM,,YES,+1.5,8.5,4.1,6300,0.0,5.6,16.1,11.8,1.87
Bruce,Zimmermann,P,,2021-06-01,,BAL,MIN,,YES,+1.5,9,4,5500,-4.1,8.4,23.9,11.7,2.13
David,Price,P,,2021-06-01,,LAD,STL,,,-1.5,8.5,5,6100,0.5,5.6,15.0,11.6,1.90
