first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Tyler,Glasnow,P,,2021-05-03,,TB,LAA,,YES,-1.5,8,4.5,10300,0.0,25.4,46.4,19.7,1.91
Walker,Buehler,P,,2021-05-03,,LAD,CHC,,,-1.5,8.5,4.9,9600,10.8,18.8,24.1,19.2,2.00
Kenta,Maeda,P,,2021-05-03,,MIN,TEX,,YES,-1.5,8.5,4.8,7800,-10.1,7.2,20.7,18.3,2.35
Dean,Kremer,P,,2021-05-03,,BAL,SEA,,,+1.5,8.5,4,6100,-11.1,1.9,15.9,15.0,2.46
Frankie,Montas,P,,2021-05-03,,OAK,TOR,,,-1.5,8.5,4.4,8100,-7.1,11.3,29.7,14.8,1.83
Steven,Matz,P,,2021-05-03,,TOR,OAK,,,+1.5,8.5,4.1,8400,-6.2,11.4,31.9,14.3,1.70
Aaron,Civale,P,,2021-05-03,,CLE,KC,,YES,-1.5,8.5,4.3,8900,14.7,20.1,28.4,14.1,1.58
Jose,Quintana,P,,2021-05-03,,LAA,TB,,,+1.5,8,3.5,7000,-4.7,4.8,21.7,13.9,1.99
Daniel,Lynch,P,,2021-05-03,,KC,CLE,,YES,+1.5,8.5,4.2,4000,,,,12.9,3.23
Adam,Wainwright,P,,2021-05-03,,STL,NYM,,YES,-1.5,8.5,4.5,8000,-9.9,16.5,31.2,12.8,1.60
Vince,Velasquez,P,,2021-05-03,,PHI,MIL,,YES,-1.5,8.5,4.3,7000,0.1,6.9,14.4,12.4,1.77
Joey,Lucchesi,P,,2021-05-03,,NYM,STL,,YES,+1.5,8.5,4.1,6400,-1.5,4.0,9.9,12.3,1.92
Dane,Dunning,P,,2021-05-03,,TEX,MIN,,YES,+1.5,8.5,3.7,6600,-7.1,12.9,23.5,12.1,1.83
Fernando,Tatis Jr.,SS,,2021-05-03,,SD,PIT,2,,-1.5,8,4.5,5900,0.0,9.4,17.0,12.1,2.05
Kyle,Hendricks,P,,2021-05-03,,CHC,LAD,,,+1.5,8.5,3.6,6500,-7.4,6.8,22.5,11.9,1.83
Adrian,Houser,P,,2021-05-03,,MIL,PHI,,YES,+1.5,8.5,4.2,8600,0.0,2.0,7.0,11.4,1.33
Tyler,Anderson,P,,2021-05-03,,PIT,SD,,,+1.5,8,3.5,7000,9.5,15.8,22.3,11.2,1.60
Miguel,Diaz,P,,2021-05-03,,SD,PIT,,YES,-1.5,8,4.5,4000,,,,10.7,2.68
