first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Gerrit,Cole,P,,8/27/21,,NYY,OAK,,,-1.5,8,4.4,10500,12.7,23.6,33.3,21.8,2.08,,
Aaron,Nola,P,,8/27/21,,PHI,ARI,,YES,-1.5,8.5,5.2,10200,3.8,20.4,46.1,20.4,2,,
Joe,Musgrove,P,,8/27/21,,SD,LAA,,,,,,9600,0,11.3,29.9,18.9,1.97,,
Kevin,Gausman,P,,8/27/21,,SF,ATL,,,1.5,8.5,4.1,9900,9,21.1,28.5,17.7,1.79,,
Wade,Miley,P,,8/27/21,,CIN,MIA,,YES,-1.5,8,4.3,9200,4.5,15.7,32.8,17.2,1.87,,
Shane,McClanahan,P,,8/27/21,,TB,BAL,,YES,-1.5,10,6,10700,0,0,0,16.7,1.56,,
Logan,Gilbert,P,,8/27/21,,SEA,KC,,YES,-1.5,8,4.6,7700,-4,8.1,16.5,16.6,2.16,,
Max,Fried,P,,8/27/21,,ATL,SF,,YES,-1.5,8.5,4.5,8700,8,26.3,34.9,16.4,1.89,,
Eduardo,Rodriguez,P,,8/27/21,,BOS,CLE,,,-1.5,10,5.8,9400,-2.2,16,31.7,16.4,1.74,,
J.A.,Happ,P,,8/27/21,,STL,PIT,,YES,-1.5,8.5,4.8,8000,-15.7,11.3,23.7,16.3,2.04,,
Steven,Matz,P,,8/27/21,,TOR,DET,,YES,-1.5,9.5,5.3,8200,-3,13.3,29.3,16.1,1.96,,
Jake,Odorizzi,P,,8/27/21,,HOU,TEX,,YES,-1.5,9,5.2,6700,-4.1,10.5,24.9,15.4,2.3,,
Rich,Hill,P,,8/27/21,,NYM,WAS,,,-1.5,9,5.2,6800,3.1,7,14.9,15.4,2.26,,
Sean,Manaea,P,,8/27/21,,OAK,NYY,,,1.5,8,3.6,8400,-4.1,8.5,34.3,15.3,1.82,,
Eric,Lauer,P,,8/27/21,,MIL,MIN,,YES,-1.5,9.5,5,9000,4.4,15.3,22.5,13.4,1.49,,
Dallas,Keuchel,P,,8/27/21,,CWS,CHC,,YES,-1.5,9.5,5.6,6600,-1.4,6.8,15.9,12.6,1.91,,
Kris,Bubic,P,,8/27/21,,KC,SEA,,,1.5,8,3.5,6500,-15.5,11.4,29.9,12.6,1.94,,
Zach,Thompson,P,,8/27/21,,MIA,CIN,,YES,1.5,8,3.7,7500,0,0,0,12.5,1.67,,
Paolo,Espino,P,,8/27/21,,WAS,NYM,,YES,1.5,9,3.8,6400,-1,9.3,22.5,12.2,1.91,,
Taylor,Widener,P,,8/27/21,,ARI,PHI,,YES,1.5,8.5,3.3,7300,-2.8,12.4,22.7,11.9,1.63,,
Nelson,Cruz,1B,,8/27/21,,TB,BAL,2,,-1.5,10,6,5300,2,7.8,18,11.7,2.21,,
Andre,Jackson,P,,8/27/21,,LAD,COL,,,,,,4000,15.4,15.4,15.4,11.7,2.93,,
Bryce,Harper,OF,,8/27/21,,PHI,ARI,3,,-1.5,8.5,5.2,6400,3,11,24,11.6,1.81,,
Vladimir,Guerrero Jr.,1B,,8/27/21,,TOR,DET,3,,-1.5,9.5,5.3,5800,3,6.8,12,11.4,1.97,,
Brandon,Lowe,2B,,8/27/21,,TB,BAL,1,,-1.5,10,6,5400,0,7.6,22,11.4,2.11,,
Fernando,Tatis Jr.,OF,,8/27/21,,SD,LAA,,,,,,6500,0,5.6,9,11.2,1.72,,
