first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Freddy,Peralta,P,,2021-05-29,Early,MIL,WAS,,YES,+1.5,6.5,3.1,10100,0.0,17.7,31.7,20.4,2.02
JT,Brubaker,P,,2021-05-29,Early,PIT,COL,,YES,+1.5,6,2.9,8100,0.0,7.4,21.9,18.6,2.30
Yu,Darvish,P,,2021-05-29,Early,SD,HOU,,YES,-1.5,8.5,4.8,10600,11.2,20.6,25.5,18.5,1.75
Trevor,Rogers,P,,2021-05-29,Early,MIA,BOS,,YES,+1.5,7.5,3.3,8800,0.0,4.3,18.7,17.3,1.97
Frankie,Montas,P,,2021-05-29,Early,OAK,LAA,,YES,-1.5,7.5,4.2,8000,13.9,18.1,22.1,16.7,2.09
Nathan,Eovaldi,P,,2021-05-29,Early,BOS,MIA,,YES,-1.5,7.5,4.2,9000,2.4,14.4,21.9,16.7,1.86
Patrick,Corbin,P,,2021-05-29,Early,WAS,MIL,,YES,-1.5,6.5,3.4,7000,5.9,15.4,32.8,16.1,2.30
Deivi,Garcia,P,,2021-05-29,Early,NYY,DET,,YES,+1.5,8,4.1,6800,-6.7,8.5,21.0,15.6,2.29
Luis,Castillo,P,,2021-05-29,Early,CIN,CHC,,YES,+1.5,7,3.4,6900,-7.0,6.3,21.9,15.6,2.26
Zach,Davies,P,,2021-05-29,Early,CHC,CIN,,YES,-1.5,7,3.6,6400,2.5,11.4,18.2,14.6,2.28
Jon,Gray,P,,2021-05-29,Early,COL,PIT,,YES,-1.5,6,3.1,6800,-1.8,12.8,30.9,14.5,2.13
Dallas,Keuchel,P,,2021-05-29,Early,CWS,BAL,,YES,-1.5,5.5,3.1,6400,0.3,11.1,21.6,14.2,2.22
Spencer,Turnbull,P,,2021-05-29,Early,DET,NYY,,YES,-1.5,8,3.9,7800,0.5,17.1,46.1,13.5,1.73
Jon,Lester,P,,2021-05-29,Early,WAS,MIL,,YES,-1.5,6.5,3.4,7500,0.2,8.5,17.1,13.5,1.80
J.A.,Happ,P,,2021-05-29,Early,MIN,KC,,YES,-1.5,9.5,5.3,6600,-11.6,6.2,20.1,13.2,2.00
Alex,Cobb,P,,2021-05-29,Early,LAA,OAK,,YES,+1.5,7.5,3.3,8400,-1.1,13.4,26.7,13.2,1.57
Jake,Odorizzi,P,,2021-05-29,Early,HOU,SD,,YES,+1.5,8.5,3.7,7100,-5.5,3.3,11.6,12.8,1.80
Fernando,Tatis Jr.,SS,,2021-05-29,Early,SD,HOU,4,,-1.5,8.5,4.8,6100,2.0,11.0,23.0,10.8,1.77
Brett,Anderson,P,,2021-05-29,Early,MIL,WAS,,YES,+1.5,6.5,3.1,7700,-7.6,7.3,21.6,10.4,1.35
Yasmani,Grandal,C,,2021-05-29,Early,CWS,BAL,2,,-1.5,5.5,3.1,4800,0.0,3.6,11.0,9.8,2.04
