first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Gerrit,Cole,P,,5/6/21,,NYY,HOU,,YES,-1.5,7.5,4.4,10500,26.7,35.2,43.4,21.1,2.01,,
Zack,Wheeler,P,,5/6/21,,PHI,MIL,,YES,1.5,6.5,3.2,9600,4.9,16.9,35.6,18.4,1.92,,
Nathan,Eovaldi,P,,5/6/21,,BOS,DET,,,-1.5,8,4.6,8400,4.5,18.6,28.2,18.2,2.17,,
Hyun Jin,Ryu,P,,5/6/21,,TOR,OAK,,,-1.5,8.5,4.5,7900,2.5,16.4,29,17.9,2.27,,
Brandon,Woodruff,P,,5/6/21,,MIL,PHI,,YES,-1.5,6.5,3.3,9300,18.9,24.3,31.2,17.6,1.89,,
Danny,Duffy,P,,5/6/21,,KC,CLE,,YES,-1.5,8,4.2,8800,22.1,26,28.9,16.8,1.91,,
Michael,Pineda,P,,5/6/21,,MIN,TEX,,YES,-1.5,8.5,4.8,7500,7,18.8,26,16.7,2.23,,
Lance,McCullers Jr.,P,,5/6/21,,HOU,NYY,,YES,1.5,7.5,3.1,8300,-3,18,34.2,16.1,1.94,,
Taijuan,Walker,P,,5/6/21,,NYM,STL,,YES,1.5,8,4,7000,0,13,24.2,14.7,2.1,,
Drew,Smyly,P,,5/6/21,,ATL,WAS,,YES,-1.5,9,4.6,7200,-1.6,10.4,24.9,14.3,1.99,,
Triston,McKenzie,P,,5/6/21,,CLE,KC,,,1.5,8,3.8,6600,3.5,11.4,20.9,13.9,2.11,,
Spencer,Turnbull,P,,5/6/21,,DET,BOS,,YES,1.5,8,3.4,6800,0.5,13.8,22.9,13.7,2.01,,
John,Gant,P,,5/6/21,,STL,NYM,,YES,-1.5,8,4,7100,0,5.1,12.8,13.6,1.92,,
Ronald,Acuna Jr.,OF,,5/6/21,,ATL,WAS,1,,-1.5,9,4.6,5500,2,9,17,12.5,2.27,,
