Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Jacob deGrom (18991842),Jacob deGrom,18991842,P,11400,MIA@NYM 09/02/2021 07:10PM ET,NYM,31.92
SP,Tyler Glasnow (18991843),Tyler Glasnow,18991843,P,11200,BOS@TB 09/02/2021 07:10PM ET,TB,25.91
SP,Chris Sale (18991844),Chris Sale,18991844,P,10700,BOS@TB 09/02/2021 07:10PM ET,BOS,19.95
SP,Shane Bieber (18991845),Shane Bieber,18991845,P,10500,CLE@KC 09/02/2021 08:10PM ET,CLE,25.41
SP,Yonny Chirinos (18991846),Yonny Chirinos,18991846,P,10200,BOS@TB 09/02/2021 07:10PM ET,TB,0
RP,Shane McClanahan (18991464),Shane McClanahan,18991464,P,10100,BOS@TB 09/02/2021 07:10PM ET,TB,16.86
RP,Jose De Leon (18991847),Jose De Leon,18991847,P,10000,BOS@TB 09/02/2021 07:10PM ET,BOS,5.81
SP,Sixto Sanchez (18991848),Sixto Sanchez,18991848,P,9500,MIA@NYM 09/02/2021 07:10PM ET,MIA,0
SP,Nathan Eovaldi (18991849),Nathan Eovaldi,18991849,P,9500,BOS@TB 09/02/2021 07:10PM ET,BOS,17.40
SP,Marcus Stroman (18991851),Marcus Stroman,18991851,P,9300,MIA@NYM 09/02/2021 07:10PM ET,NYM,15.90
RP,Collin McHugh (18991850),Collin McHugh,18991850,P,9300,BOS@TB 09/02/2021 07:10PM ET,TB,7.55
SP,Triston McKenzie (18991465),Triston McKenzie,18991465,P,9300,CLE@KC 09/02/2021 08:10PM ET,CLE,14.17
SP,Michael Wacha (18991852),Michael Wacha,18991852,P,9200,BOS@TB 09/02/2021 07:10PM ET,TB,8.55
SP,Josh Fleming (18991853),Josh Fleming,18991853,P,9200,BOS@TB 09/02/2021 07:10PM ET,TB,8.96
SP,Tanner Houck (18991854),Tanner Houck,18991854,P,9100,BOS@TB 09/02/2021 07:10PM ET,BOS,12.64
SP,Noah Syndergaard (18991855),Noah Syndergaard,18991855,P,9000,MIA@NYM 09/02/2021 07:10PM ET,NYM,0
SP,Eduardo Rodriguez (18991466),Eduardo Rodriguez,18991466,P,9000,BOS@TB 09/02/2021 07:10PM ET,BOS,14.97
SP,Aaron Civale (18991856),Aaron Civale,18991856,P,8900,CLE@KC 09/02/2021 08:10PM ET,CLE,18.37
SP,Adbert Alzolay (18991858),Adbert Alzolay,18991858,P,8800,PIT@CHC 09/02/2021 08:05PM ET,CHC,12.43
SP,Pablo Lopez (18991857),Pablo Lopez,18991857,P,8800,MIA@NYM 09/02/2021 07:10PM ET,MIA,16.55
SP,Huascar Ynoa (18991467),Huascar Ynoa,18991467,P,8600,ATL@COL 09/02/2021 08:40PM ET,ATL,17.42
SP,Max Fried (18991859),Max Fried,18991859,P,8600,ATL@COL 09/02/2021 08:40PM ET,ATL,15.63
SP,Charlie Morton (18991860),Charlie Morton,18991860,P,8500,ATL@COL 09/02/2021 08:40PM ET,ATL,18.75
RP,Luis Patino (18991861),Luis Patino,18991861,P,8500,BOS@TB 09/02/2021 07:10PM ET,TB,12.51
SP,Zach Davies (18991862),Zach Davies,18991862,P,8400,PIT@CHC 09/02/2021 08:05PM ET,CHC,9.23
RP,Matt Wisler (18991863),Matt Wisler,18991863,P,8300,BOS@TB 09/02/2021 07:10PM ET,TB,3.76
SP,Kyle Hendricks (18991867),Kyle Hendricks,18991867,P,8200,PIT@CHC 09/02/2021 08:05PM ET,CHC,13.29
SP,Sandy Alcantara (18991864),Sandy Alcantara,18991864,P,8200,MIA@NYM 09/02/2021 07:10PM ET,MIA,18.05
SP,Chris Archer (18991865),Chris Archer,18991865,P,8200,BOS@TB 09/02/2021 07:10PM ET,TB,9.06
