Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Carlos Rodon (28030515),Carlos Rodon,28030515,P,11300,NYY@TOR 05/18/2023 07:07PM ET,NYY,0
SP,Gerrit Cole (28030516),Gerrit Cole,28030516,P,11100,NYY@TOR 05/18/2023 07:07PM ET,NYY,23.2
SP,Clayton Kershaw (28030517),Clayton Kershaw,28030517,P,11000,LAD@STL 05/18/2023 07:45PM ET,LAD,22.95
SP,Walker Buehler (28030518),Walker Buehler,28030518,P,10400,LAD@STL 05/18/2023 07:45PM ET,LAD,0
SP,Kevin Gausman (28030519),Kevin Gausman,28030519,P,10200,NYY@TOR 05/18/2023 07:07PM ET,TOR,23.31
SP,Ryan Pepiot (28030520),Ryan Pepiot,28030520,P,9400,LAD@STL 05/18/2023 07:45PM ET,LAD,0
RP,Michael King (28030521),Michael King,28030521,P,9300,NYY@TOR 05/18/2023 07:07PM ET,NYY,5.13
SP,Julio Urias (28030364),Julio Urias,28030364,P,9300,LAD@STL 05/18/2023 07:45PM ET,LAD,18.39
RP,Michael Grove (28030522),Michael Grove,28030522,P,9100,LAD@STL 05/18/2023 07:45PM ET,LAD,4.15
SP,Tony Gonsolin (28030523),Tony Gonsolin,28030523,P,9100,LAD@STL 05/18/2023 07:45PM ET,LAD,15.34
SP,Dustin May (28030524),Dustin May,28030524,P,9000,LAD@STL 05/18/2023 07:45PM ET,LAD,15.09
SP,Gavin Stone (28030525),Gavin Stone,28030525,P,8800,LAD@STL 05/18/2023 07:45PM ET,LAD,-3
SP,Jose Berrios (28030365),Jose Berrios,28030365,P,8400,NYY@TOR 05/18/2023 07:07PM ET,TOR,14.94
SP,Luis Severino (28030526),Luis Severino,28030526,P,8300,NYY@TOR 05/18/2023 07:07PM ET,NYY,0
SP,Luis Gil (28030527),Luis Gil,28030527,P,8200,NYY@TOR 05/18/2023 07:07PM ET,NYY,0
SP,Alek Manoah (28030528),Alek Manoah,28030528,P,8000,NYY@TOR 05/18/2023 07:07PM ET,TOR,7.81
SP,Domingo German (28030529),Domingo German,28030529,P,7900,NYY@TOR 05/18/2023 07:07PM ET,NYY,16.33
SP,Yusei Kikuchi (28030530),Yusei Kikuchi,28030530,P,7900,NYY@TOR 05/18/2023 07:07PM ET,TOR,15.59
SP,Jack Flaherty (28030531),Jack Flaherty,28030531,P,7800,LAD@STL 05/18/2023 07:45PM ET,STL,12.67
SP,Jordan Montgomery (28030532),Jordan Montgomery,28030532,P,7800,LAD@STL 05/18/2023 07:45PM ET,STL,14.32
SP,Noah Syndergaard (28030533),Noah Syndergaard,28030533,P,7700,LAD@STL 05/18/2023 07:45PM ET,LAD,7.24
SP,Nestor Cortes (28030366),Nestor Cortes,28030366,P,7600,NYY@TOR 05/18/2023 07:07PM ET,NYY,12.98
SP,Erik Swanson (28030534),Erik Swanson,28030534,P,7600,NYY@TOR 05/18/2023 07:07PM ET,TOR,4
SP,Nate Pearson (28030535),Nate Pearson,28030535,P,7600,NYY@TOR 05/18/2023 07:07PM ET,TOR,3.91
SP,Jake Woodford (28030536),Jake Woodford,28030536,P,7500,LAD@STL 05/18/2023 07:45PM ET,STL,5.59
SP,Matthew Liberatore (28030537),Matthew Liberatore,28030537,P,7500,LAD@STL 05/18/2023 07:45PM ET,STL,23.65
SP,Chris Bassitt (28030538),Chris Bassitt,28030538,P,7400,NYY@TOR 05/18/2023 07:07PM ET,TOR,19.02
SP,Hyun Jin Ryu (28030540),Hyun Jin Ryu,28030540,P,7200,NYY@TOR 05/18/2023 07:07PM ET,TOR,0
SP,Clarke Schmidt (28030542),Clarke Schmidt,28030542,P,7200,NYY@TOR 05/18/2023 07:07PM ET,NYY,10.36
RP,Dakota Hudson (28030539),Dakota Hudson,28030539,P,7200,LAD@STL 05/18/2023 07:45PM ET,STL,0
RP,Zack Thompson (28030541),Zack Thompson,28030541,P,7200,LAD@STL 05/18/2023 07:45PM ET,STL,3.79
SP,Miles Mikolas (28030543),Miles Mikolas,28030543,P,7200,LAD@STL 05/18/2023 07:45PM ET,STL,10.94
SP,Thomas Hatch (28030544),Thomas Hatch,28030544,P,7100,NYY@TOR 05/18/2023 07:07PM ET,TOR,0
SP,Mitch White (28030545),Mitch White,28030545,P,7000,NYY@TOR 05/18/2023 07:07PM ET,TOR,0
SP,Steven Matz (28030546),Steven Matz,28030546,P,7000,LAD@STL 05/18/2023 07:45PM ET,STL,9.37
SP,Drew Hutchison (28030547),Drew Hutchison,28030547,P,6800,NYY@TOR 05/18/2023 07:07PM ET,TOR,0
SP,Frankie Montas (28030548),Frankie Montas,28030548,P,6500,NYY@TOR 05/18/2023 07:07PM ET,NYY,0
SP,Jhony Brito (28030549),Jhony Brito,28030549,P,6100,NYY@TOR 05/18/2023 07:07PM ET,NYY,7.48
1B,Paul Goldschmidt (28030368),Paul Goldschmidt,28030368,1B,5900,LAD@STL 05/18/2023 07:45PM ET,STL,9.63
OF,Aaron Judge (28030369),Aaron Judge,28030369,OF,5800,NYY@TOR 05/18/2023 07:07PM ET,NYY,10.23
SP,Adam Wainwright (28030367),Adam Wainwright,28030367,P,5500,LAD@STL 05/18/2023 07:45PM ET,STL,5.15
2B/OF,Mookie Betts (28030370),Mookie Betts,28030370,2B/OF,5500,LAD@STL 05/18/2023 07:45PM ET,LAD,9.02
1B,Vladimir Guerrero Jr. (28030372),Vladimir Guerrero Jr.,28030372,1B,5400,NYY@TOR 05/18/2023 07:07PM ET,TOR,9.25
C,Will Smith (28030373),Will Smith,28030373,C,5300,LAD@STL 05/18/2023 07:45PM ET,LAD,11
3B,Nolan Arenado (28030374),Nolan Arenado,28030374,3B,5200,LAD@STL 05/18/2023 07:45PM ET,STL,8.24
3B,Max Muncy (28030375),Max Muncy,28030375,3B,5100,LAD@STL 05/18/2023 07:45PM ET,LAD,9.69
SS,Bo Bichette (28030376),Bo Bichette,28030376,SS,5000,NYY@TOR 05/18/2023 07:07PM ET,TOR,9.09
OF,Giancarlo Stanton (28030430),Giancarlo Stanton,28030430,OF,5000,NYY@TOR 05/18/2023 07:07PM ET,NYY,8.92
1B,Freddie Freeman (28030377),Freddie Freeman,28030377,1B,4900,LAD@STL 05/18/2023 07:45PM ET,LAD,9.75
OF,J.D. Martinez (28030378),J.D. Martinez,28030378,OF,4800,LAD@STL 05/18/2023 07:45PM ET,LAD,8.04
3B,Matt Chapman (28030379),Matt Chapman,28030379,3B,4700,NYY@TOR 05/18/2023 07:07PM ET,TOR,8.52
2B,Gleyber Torres (28030380),Gleyber Torres,28030380,2B,4600,NYY@TOR 05/18/2023 07:07PM ET,NYY,7.80
1B,Anthony Rizzo (28030381),Anthony Rizzo,28030381,1B,4500,NYY@TOR 05/18/2023 07:07PM ET,NYY,8.65
2B/SS,Tommy Edman (28030382),Tommy Edman,28030382,2B/SS,4400,LAD@STL 05/18/2023 07:45PM ET,STL,7.37
C,Willson Contreras (28030384),Willson Contreras,28030384,C,4300,LAD@STL 05/18/2023 07:45PM ET,STL,6.90
OF,James Outman (28030385),James Outman,28030385,OF,4200,LAD@STL 05/18/2023 07:45PM ET,LAD,8.70
OF,George Springer (28030386),George Springer,28030386,OF,4100,NYY@TOR 05/18/2023 07:07PM ET,TOR,6.88
SP,Ricky Tiedemann (28030550),Ricky Tiedemann,28030550,P,4000,NYY@TOR 05/18/2023 07:07PM ET,TOR,0
RP,Matt Bowman (28030551),Matt Bowman,28030551,P,4000,NYY@TOR 05/18/2023 07:07PM ET,NYY,0
SP,Matt Krook (28030557),Matt Krook,28030557,P,4000,NYY@TOR 05/18/2023 07:07PM ET,NYY,0
RP,D.J. Snelten (28030558),D.J. Snelten,28030558,P,4000,NYY@TOR 05/18/2023 07:07PM ET,NYY,0
SP,Clayton Beeter (28030559),Clayton Beeter,28030559,P,4000,NYY@TOR 05/18/2023 07:07PM ET,NYY,0
RP,Demarcus Evans (28030563),Demarcus Evans,28030563,P,4000,NYY@TOR 05/18/2023 07:07PM ET,NYY,0
SP,Randy Vasquez (28030567),Randy Vasquez,28030567,P,4000,NYY@TOR 05/18/2023 07:07PM ET,NYY,0
RP,Hagen Danner (28030568),Hagen Danner,28030568,P,4000,NYY@TOR 05/18/2023 07:07PM ET,TOR,0
SP,Gray Fenter (28030573),Gray Fenter,28030573,P,4000,NYY@TOR 05/18/2023 07:07PM ET,NYY,0
