Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Drew Rasmussen (17122187),Drew Rasmussen,17122187,P,6600,PIT@MIL 04/17/2021 07:10PM ET,MIL,0.35
SP,Aaron Ashby (17122188),Aaron Ashby,17122188,P,6600,PIT@MIL 04/17/2021 07:10PM ET,MIL,0
SP,Angel Perdomo (17122189),Angel Perdomo,17122189,P,6600,PIT@MIL 04/17/2021 07:10PM ET,MIL,6.25
SP,Ethan Small (17122190),Ethan Small,17122190,P,6600,PIT@MIL 04/17/2021 07:10PM ET,MIL,0
SP,Cody Ponce (17122191),Cody Ponce,17122191,P,6600,PIT@MIL 04/17/2021 07:10PM ET,PIT,0
SP,J.A. Happ (17122192),J.A. Happ,17122192,P,6600,MIN@LAA 04/17/2021 09:07PM ET,MIN,10.45
SP,Jordan Zimmermann (17122193),Jordan Zimmermann,17122193,P,6500,PIT@MIL 04/17/2021 07:10PM ET,MIL,0
SP,Adam Plutko (17122194),Adam Plutko,17122194,P,6500,BAL@TEX 04/17/2021 07:05PM ET,BAL,5.64
SP,Keegan Akin (17122195),Keegan Akin,17122195,P,6400,BAL@TEX 04/17/2021 07:05PM ET,BAL,0
SP,Kohei Arihara (17122196),Kohei Arihara,17122196,P,6400,BAL@TEX 04/17/2021 07:05PM ET,TEX,10.47
SP,Thomas Eshelman (17122197),Thomas Eshelman,17122197,P,6400,BAL@TEX 04/17/2021 07:05PM ET,BAL,0
SP,Chris Flexen (17121768),Chris Flexen,17121768,P,6300,HOU@SEA 04/17/2021 09:10PM ET,SEA,14.45
SP,Kendall Graveman (17122198),Kendall Graveman,17122198,P,6300,HOU@SEA 04/17/2021 09:10PM ET,SEA,6.21
OF,Byron Buxton (17121770),Byron Buxton,17121770,OF,6200,MIN@LAA 04/17/2021 09:07PM ET,MIN,15.22
RP,Lewis Thorpe (17122200),Lewis Thorpe,17122200,P,6200,MIN@LAA 04/17/2021 09:07PM ET,MIN,6.6
RP,Randy Dobnak (17122201),Randy Dobnak,17122201,P,6200,MIN@LAA 04/17/2021 09:07PM ET,MIN,-0.71
SP,Marco Gonzales (17122199),Marco Gonzales,17122199,P,6200,HOU@SEA 04/17/2021 09:10PM ET,SEA,6.57
OF,Mike Trout (17121771),Mike Trout,17121771,OF,6100,MIN@LAA 04/17/2021 09:07PM ET,LAA,12.08
RP,Jorge Alcala (17122205),Jorge Alcala,17122205,P,6100,MIN@LAA 04/17/2021 09:07PM ET,MIN,2.41
SP,Kyle Cody (17122202),Kyle Cody,17122202,P,6100,BAL@TEX 04/17/2021 07:05PM ET,TEX,3.37
SP,Wade LeBlanc (17122203),Wade LeBlanc,17122203,P,6100,BAL@TEX 04/17/2021 07:05PM ET,BAL,1.31
SP,Kolby Allard (17122204),Kolby Allard,17122204,P,6100,BAL@TEX 04/17/2021 07:05PM ET,TEX,8.68
SP,Hans Crouse (17122206),Hans Crouse,17122206,P,6100,BAL@TEX 04/17/2021 07:05PM ET,TEX,0
SP,Alex Speas (17122207),Alex Speas,17122207,P,6100,BAL@TEX 04/17/2021 07:05PM ET,TEX,0
SP,Hyeon-jong Yang (17122208),Hyeon-jong Yang,17122208,P,6100,BAL@TEX 04/17/2021 07:05PM ET,TEX,0
SP,Sam Gaviglio (17122209),Sam Gaviglio,17122209,P,6100,BAL@TEX 04/17/2021 07:05PM ET,TEX,0
SP,Tyler Phillips (17122210),Tyler Phillips,17122210,P,6100,BAL@TEX 04/17/2021 07:05PM ET,TEX,0
SP,Jason Bahr (17122211),Jason Bahr,17122211,P,6100,BAL@TEX 04/17/2021 07:05PM ET,TEX,0
SP,A.J. Alexy (17122212),A.J. Alexy,17122212,P,6100,BAL@TEX 04/17/2021 07:05PM ET,TEX,0
SP,Ian Kennedy (17122213),Ian Kennedy,17122213,P,6100,BAL@TEX 04/17/2021 07:05PM ET,TEX,3.93
SP,Jharel Cotton (17122214),Jharel Cotton,17122214,P,6100,BAL@TEX 04/17/2021 07:05PM ET,TEX,0
SP,Bruce Zimmermann (17122215),Bruce Zimmermann,17122215,P,6100,BAL@TEX 04/17/2021 07:05PM ET,BAL,11.68
SP,Junior Guerra (17122218),Junior Guerra,17122218,P,6000,MIN@LAA 04/17/2021 09:07PM ET,LAA,8.34
SP,Denny Brady (17122219),Denny Brady,17122219,P,6000,MIN@LAA 04/17/2021 09:07PM ET,LAA,0
SP,Aaron Slegers (17122220),Aaron Slegers,17122220,P,6000,MIN@LAA 04/17/2021 09:07PM ET,LAA,2.44
SP,Reid Detmers (17122221),Reid Detmers,17122221,P,6000,MIN@LAA 04/17/2021 09:07PM ET,LAA,0
SP,Jake Faria (17122222),Jake Faria,17122222,P,6000,MIN@LAA 04/17/2021 09:07PM ET,LAA,0
SP,Chris Rodriguez (17122223),Chris Rodriguez,17122223,P,6000,MIN@LAA 04/17/2021 09:07PM ET,LAA,6.05
SP,Erik Swanson (17122226),Erik Swanson,17122226,P,6000,HOU@SEA 04/17/2021 09:10PM ET,SEA,5.9
SP,Dean Kremer (17121769),Dean Kremer,17121769,P,6000,BAL@TEX 04/17/2021 07:05PM ET,BAL,3.55
