Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,David Paulino (18857427),David Paulino,18857427,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,-1.3
RP,Jose Castillo (18857432),Jose Castillo,18857432,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,0
RP,Daniel Hudson (18857435),Daniel Hudson,18857435,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,4.39
RP,Cam Bedrosian (18857437),Cam Bedrosian,18857437,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,1.84
RP,Aaron Northcraft (18857438),Aaron Northcraft,18857438,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,4.04
RP,Austin Adams (18857439),Austin Adams,18857439,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,3.28
RP,Brady Lail (18857441),Brady Lail,18857441,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,-0.95
RP,Pierce Johnson (18857450),Pierce Johnson,18857450,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,3.64
SP,Enyel De Los Santos (18857451),Enyel De Los Santos,18857451,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,3.37
RP,Damon Jones (18857452),Damon Jones,18857452,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,-1.05
SP,David Parkinson (18857453),David Parkinson,18857453,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,0
SP,Adonis Medina (18857456),Adonis Medina,18857456,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,0
SP,Cristopher Sanchez (18857457),Cristopher Sanchez,18857457,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,2.89
RP,Jose Alvarado (18857458),Jose Alvarado,18857458,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,3.14
RP,Shaun Anderson (18857460),Shaun Anderson,18857460,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,0.8
RP,Emilio Pagan (18857462),Emilio Pagan,18857462,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,3.20
RP,Dan Altavilla (18857466),Dan Altavilla,18857466,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,2.2
RP,Hector Neris (18857467),Hector Neris,18857467,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,3.29
RP,Seranthony Dominguez (18857468),Seranthony Dominguez,18857468,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,0
SP,Tyler Phillips (18857483),Tyler Phillips,18857483,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,0
RP,Trey Wingenter (18857485),Trey Wingenter,18857485,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,0
SP,Ian Kennedy (18857486),Ian Kennedy,18857486,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,2.97
SP,Drew Pomeranz (18857488),Drew Pomeranz,18857488,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,3.49
RP,Bailey Falter (18857489),Bailey Falter,18857489,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,5.88
RP,Archie Bradley (18857490),Archie Bradley,18857490,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,2.77
RP,Tim Hill (18857492),Tim Hill,18857492,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,2.55
RP,Nick Ramirez (18857493),Nick Ramirez,18857493,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,2.60
RP,Parker Markel (18857498),Parker Markel,18857498,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,0
SP,JoJo Romero (18857509),JoJo Romero,18857509,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,1.10
RP,James Norwood (18857510),James Norwood,18857510,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,2.4
RP,Sam Coonrod (18857517),Sam Coonrod,18857517,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,2.92
RP,JD Hammer (18857523),JD Hammer,18857523,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,4.57
RP,Mauricio Llovera (18857524),Mauricio Llovera,18857524,P,4000,PHI@SD 08/22/2021 03:40PM ET,PHI,1.67
RP,Mark Melancon (18857525),Mark Melancon,18857525,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,3.17
RP,Taylor Williams (18857528),Taylor Williams,18857528,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,3.44
SP,MacKenzie Gore (18857536),MacKenzie Gore,18857536,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,0
RP,Daniel Camarena (18857538),Daniel Camarena,18857538,P,4000,PHI@SD 08/22/2021 03:40PM ET,SD,2.85
SP,Mike Fiers (18857399),Mike Fiers,18857399,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,1.8
SP,Paul Blackburn (18857409),Paul Blackburn,18857409,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,7.2
RP,Camilo Doval (18857421),Camilo Doval,18857421,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,2.65
RP,Deolis Guerra (18857423),Deolis Guerra,18857423,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,3.43
RP,Jose Alvarez (18857426),Jose Alvarez,18857426,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,2.97
RP,Sam Wolff (18857428),Sam Wolff,18857428,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,0
RP,Tyler Cyr (18857433),Tyler Cyr,18857433,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,0
SP,Gregory Santos (18857434),Gregory Santos,18857434,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,-1.23
SP,Grant Holmes (18857436),Grant Holmes,18857436,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,0
RP,Domingo Acevedo (18857442),Domingo Acevedo,18857442,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,1.25
SP,Tristan Beck (18857443),Tristan Beck,18857443,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,0
