Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Jacob deGrom (17200198),Jacob deGrom,17200198,P,11100,NYM@CHC 04/22/2021 07:40PM ET,NYM,36.2
SP,Trevor Bauer (17200199),Trevor Bauer,17200199,P,10400,SD@LAD 04/22/2021 10:10PM ET,LAD,28.42
SP,Clayton Kershaw (17200200),Clayton Kershaw,17200200,P,10100,SD@LAD 04/22/2021 10:10PM ET,LAD,22.28
SP,Walker Buehler (17199857),Walker Buehler,17199857,P,10000,SD@LAD 04/22/2021 10:10PM ET,LAD,16.57
RP,Alec Mills (17200201),Alec Mills,17200201,P,9800,NYM@CHC 04/22/2021 07:40PM ET,CHC,3.68
RP,Framber Valdez (17200202),Framber Valdez,17200202,P,9800,LAA@HOU 04/22/2021 08:10PM ET,HOU,0
SP,Dustin May (17200203),Dustin May,17200203,P,9700,SD@LAD 04/22/2021 10:10PM ET,LAD,20.57
SP,Joe Musgrove (17200204),Joe Musgrove,17200204,P,9600,SD@LAD 04/22/2021 10:10PM ET,SD,27.1
SP,Jimmy Nelson (17200205),Jimmy Nelson,17200205,P,9600,SD@LAD 04/22/2021 10:10PM ET,LAD,3.46
SP,Cristian Javier (17199858),Cristian Javier,17199858,P,9600,LAA@HOU 04/22/2021 08:10PM ET,HOU,18.05
SP,Yu Darvish (17200206),Yu Darvish,17200206,P,9500,SD@LAD 04/22/2021 10:10PM ET,SD,22.22
SP,Dinelson Lamet (17200208),Dinelson Lamet,17200208,P,9500,SD@LAD 04/22/2021 10:10PM ET,SD,11.3
SP,Johnny Cueto (17200207),Johnny Cueto,17200207,P,9500,MIA@SF 04/22/2021 09:45PM ET,SF,23.6
SP,Julio Urias (17200209),Julio Urias,17200209,P,9300,SD@LAD 04/22/2021 10:10PM ET,LAD,22.84
SP,Tony Gonsolin (17200210),Tony Gonsolin,17200210,P,9000,SD@LAD 04/22/2021 10:10PM ET,LAD,0
SP,Chris Paddack (17200211),Chris Paddack,17200211,P,8900,SD@LAD 04/22/2021 10:10PM ET,SD,12.38
SP,David Price (17200212),David Price,17200212,P,8800,SD@LAD 04/22/2021 10:10PM ET,LAD,4.08
SP,Zach Davies (17200213),Zach Davies,17200213,P,8700,NYM@CHC 04/22/2021 07:40PM ET,CHC,2.32
SP,Nathan Eovaldi (17200215),Nathan Eovaldi,17200215,P,8600,SEA@BOS 04/22/2021 07:10PM ET,BOS,20.41
SP,Blake Snell (17200214),Blake Snell,17200214,P,8600,SD@LAD 04/22/2021 10:10PM ET,SD,13.82
SP,Trevor Williams (17199859),Trevor Williams,17199859,P,8500,NYM@CHC 04/22/2021 07:40PM ET,CHC,11.75
SP,Keegan Thompson (17200216),Keegan Thompson,17200216,P,8400,NYM@CHC 04/22/2021 07:40PM ET,CHC,0
SP,Justin Verlander (17200217),Justin Verlander,17200217,P,8400,LAA@HOU 04/22/2021 08:10PM ET,HOU,0
SP,Anthony DeSclafani (17200218),Anthony DeSclafani,17200218,P,8300,MIA@SF 04/22/2021 09:45PM ET,SF,13.65
SP,Sixto Sanchez (17200219),Sixto Sanchez,17200219,P,8200,MIA@SF 04/22/2021 09:45PM ET,MIA,0
SP,Noah Syndergaard (17200221),Noah Syndergaard,17200221,P,8100,NYM@CHC 04/22/2021 07:40PM ET,NYM,0
SP,Chris Sale (17200220),Chris Sale,17200220,P,8100,SEA@BOS 04/22/2021 07:10PM ET,BOS,0
SP,Tanner Houck (17200222),Tanner Houck,17200222,P,8100,SEA@BOS 04/22/2021 07:10PM ET,BOS,9.62
RP,Mike Kickham (17200223),Mike Kickham,17200223,P,8100,SD@LAD 04/22/2021 10:10PM ET,LAD,0
SP,Eduardo Rodriguez (17200226),Eduardo Rodriguez,17200226,P,8000,SEA@BOS 04/22/2021 07:10PM ET,BOS,21.2
SP,Jose Urquidy (17200224),Jose Urquidy,17200224,P,8000,LAA@HOU 04/22/2021 08:10PM ET,HOU,11.46
SP,Josh James (17200225),Josh James,17200225,P,8000,LAA@HOU 04/22/2021 08:10PM ET,HOU,0
RP,Shelby Miller (17200227),Shelby Miller,17200227,P,7900,NYM@CHC 04/22/2021 07:40PM ET,CHC,-4.9
SP,Justin Steele (17200228),Justin Steele,17200228,P,7900,NYM@CHC 04/22/2021 07:40PM ET,CHC,4.17
SP,Tyler Beede (17200229),Tyler Beede,17200229,P,7900,MIA@SF 04/22/2021 09:45PM ET,SF,0
SP,Marcus Stroman (17200231),Marcus Stroman,17200231,P,7800,NYM@CHC 04/22/2021 07:40PM ET,NYM,22.2
SP,Jake Arrieta (17200232),Jake Arrieta,17200232,P,7800,NYM@CHC 04/22/2021 07:40PM ET,CHC,16.52
SP,Drew Pomeranz (17200230),Drew Pomeranz,17200230,P,7800,SD@LAD 04/22/2021 10:10PM ET,SD,4.8
