Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Spencer Strider (28905330),Spencer Strider,28905330,P,12400,ATL@PIT 08/08/2023 07:05PM ET,ATL,24.27
RP,Corbin Burnes (28905331),Corbin Burnes,28905331,P,11800,COL@MIL 08/08/2023 08:10PM ET,MIL,18.86
SP,Jacob deGrom (28905332),Jacob deGrom,28905332,P,11500,TEX@OAK 08/08/2023 09:40PM ET,TEX,22.41
SP,Gerrit Cole (28905333),Gerrit Cole,28905333,P,11100,NYY@CWS 08/08/2023 08:10PM ET,NYY,21.39
RP,Framber Valdez (28904473),Framber Valdez,28904473,P,11000,HOU@BAL 08/08/2023 07:05PM ET,HOU,21.63
SP,Kevin Gausman (28905335),Kevin Gausman,28905335,P,10900,TOR@CLE 08/08/2023 07:10PM ET,TOR,22.52
SP,Blake Snell (28905334),Blake Snell,28905334,P,10900,SD@SEA 08/08/2023 09:40PM ET,SD,20.4
SP,Max Scherzer (28904474),Max Scherzer,28904474,P,10800,TEX@OAK 08/08/2023 09:40PM ET,TEX,18.49
SP,Zac Gallen (28905336),Zac Gallen,28905336,P,10400,LAD@ARI 08/08/2023 09:40PM ET,ARI,20.18
SP,Brandon Woodruff (28905337),Brandon Woodruff,28905337,P,10200,COL@MIL 08/08/2023 08:10PM ET,MIL,22.78
SP,Luis Castillo (28905339),Luis Castillo,28905339,P,10200,SD@SEA 08/08/2023 09:40PM ET,SEA,20.01
SP,Kodai Senga (28905338),Kodai Senga,28905338,P,10200,CHC@NYM 08/08/2023 07:10PM ET,NYM,19.09
SP,Nathan Eovaldi (28905340),Nathan Eovaldi,28905340,P,10000,TEX@OAK 08/08/2023 09:40PM ET,TEX,21.07
SP,Lucas Giolito (28904475),Lucas Giolito,28904475,P,9900,SF@LAA 08/08/2023 09:38PM ET,LAA,15.77
RP,Michael King (28905341),Michael King,28905341,P,9900,NYY@CWS 08/08/2023 08:10PM ET,NYY,5.16
SP,Freddy Peralta (28905342),Freddy Peralta,28905342,P,9700,COL@MIL 08/08/2023 08:10PM ET,MIL,18.27
SP,Joe Musgrove (28905343),Joe Musgrove,28905343,P,9700,SD@SEA 08/08/2023 09:40PM ET,SD,18.53
SP,Logan Webb (28905344),Logan Webb,28905344,P,9600,SF@LAA 08/08/2023 09:38PM ET,SF,19.65
SP,Tanner Bibee (28904476),Tanner Bibee,28904476,P,9500,TOR@CLE 08/08/2023 07:10PM ET,CLE,17.16
RP,Aaron Ashby (28905346),Aaron Ashby,28905346,P,9500,COL@MIL 08/08/2023 08:10PM ET,MIL,0
SP,Walker Buehler (28905345),Walker Buehler,28905345,P,9500,LAD@ARI 08/08/2023 09:40PM ET,LAD,0
SP,Clayton Kershaw (28905347),Clayton Kershaw,28905347,P,9400,LAD@ARI 08/08/2023 09:40PM ET,LAD,21.83
SP,Justin Verlander (28905350),Justin Verlander,28905350,P,9300,HOU@BAL 08/08/2023 07:05PM ET,HOU,16.54
SP,Shane Bieber (28905348),Shane Bieber,28905348,P,9300,TOR@CLE 08/08/2023 07:10PM ET,CLE,15.18
SP,Robbie Ray (28905349),Robbie Ray,28905349,P,9300,SD@SEA 08/08/2023 09:40PM ET,SEA,2.1
SP,Janson Junk (28905351),Janson Junk,28905351,P,9200,COL@MIL 08/08/2023 08:10PM ET,MIL,1.1
RP,Luis Garcia (28905352),Luis Garcia,28905352,P,9100,HOU@BAL 08/08/2023 07:05PM ET,HOU,14.19
SP,Eli Morgan (28905353),Eli Morgan,28905353,P,9100,TOR@CLE 08/08/2023 07:10PM ET,CLE,3.27
RP,Bennett Sousa (28905355),Bennett Sousa,28905355,P,9100,COL@MIL 08/08/2023 08:10PM ET,MIL,-1.1
SP,Charlie Morton (28905356),Charlie Morton,28905356,P,9100,ATL@PIT 08/08/2023 07:05PM ET,ATL,16.58
SP,Julio Urias (28904477),Julio Urias,28904477,P,9100,LAD@ARI 08/08/2023 09:40PM ET,LAD,14.79
SP,Dustin May (28905354),Dustin May,28905354,P,9100,LAD@ARI 08/08/2023 09:40PM ET,LAD,15.09
RP,Steven Wilson (28905358),Steven Wilson,28905358,P,9000,SD@SEA 08/08/2023 09:40PM ET,SD,3.41
SP,Carlos Rodon (28905359),Carlos Rodon,28905359,P,9000,NYY@CWS 08/08/2023 08:10PM ET,NYY,7.59
SP,Justin Steele (28905357),Justin Steele,28905357,P,9000,CHC@NYM 08/08/2023 07:10PM ET,CHC,18.04
RP,James Paxton (28905360),James Paxton,28905360,P,8900,KC@BOS 08/08/2023 07:10PM ET,BOS,17.71
SP,Brayan Bello (28905361),Brayan Bello,28905361,P,8900,KC@BOS 08/08/2023 07:10PM ET,BOS,15.11
SP,Mitch Keller (28904478),Mitch Keller,28904478,P,8900,ATL@PIT 08/08/2023 07:05PM ET,PIT,17.82
SP,Bryce Miller (28905362),Bryce Miller,28905362,P,8800,SD@SEA 08/08/2023 09:40PM ET,SEA,15.97
SP,Tyler Wells (28905367),Tyler Wells,28905367,P,8700,HOU@BAL 08/08/2023 07:05PM ET,BAL,16.08
SP,Tanner Houck (28905366),Tanner Houck,28905366,P,8700,KC@BOS 08/08/2023 07:10PM ET,BOS,12.62
SP,Logan Gilbert (28904479),Logan Gilbert,28904479,P,8700,SD@SEA 08/08/2023 09:40PM ET,SEA,17.72
SP,Yu Darvish (28905363),Yu Darvish,28905363,P,8700,SD@SEA 08/08/2023 09:40PM ET,SD,16.52
SP,George Kirby (28905365),George Kirby,28905365,P,8700,SD@SEA 08/08/2023 09:40PM ET,SEA,18.55
SP,Merrill Kelly (28905364),Merrill Kelly,28905364,P,8700,LAD@ARI 08/08/2023 09:40PM ET,ARI,19.14
SP,Bryse Wilson (28905369),Bryse Wilson,28905369,P,8600,COL@MIL 08/08/2023 08:10PM ET,MIL,3.9
SP,Michael Wacha (28905368),Michael Wacha,28905368,P,8600,SD@SEA 08/08/2023 09:40PM ET,SD,17.36
SP,Cristian Javier (28905376),Cristian Javier,28905376,P,8500,HOU@BAL 08/08/2023 07:05PM ET,HOU,14.3
SP,Jose Berrios (28905370),Jose Berrios,28905370,P,8500,TOR@CLE 08/08/2023 07:10PM ET,TOR,17.19
RP,Enyel De Los Santos (28905371),Enyel De Los Santos,28905371,P,8500,TOR@CLE 08/08/2023 07:10PM ET,CLE,2.99
RP,Nick Sandlin (28905372),Nick Sandlin,28905372,P,8500,TOR@CLE 08/08/2023 07:10PM ET,CLE,3.60
RP,Craig Stammen (28905375),Craig Stammen,28905375,P,8500,SD@SEA 08/08/2023 09:40PM ET,SD,0
SP,Michael Kopech (28905373),Michael Kopech,28905373,P,8500,NYY@CWS 08/08/2023 08:10PM ET,CWS,13.45
SP,Dylan Cease (28905374),Dylan Cease,28905374,P,8500,NYY@CWS 08/08/2023 08:10PM ET,CWS,15.38
RP,Sam Hentges (28905377),Sam Hentges,28905377,P,8400,TOR@CLE 08/08/2023 07:10PM ET,CLE,1.71
SP,Trevor Stephan (28905378),Trevor Stephan,28905378,P,8400,TOR@CLE 08/08/2023 07:10PM ET,CLE,3.19
SP,Marcus Stroman (28905380),Marcus Stroman,28905380,P,8400,CHC@NYM 08/08/2023 07:10PM ET,CHC,15.19
SP,Lance Lynn (28905379),Lance Lynn,28905379,P,8400,LAD@ARI 08/08/2023 09:40PM ET,LAD,15.14
SP,Kyle Bradish (28905382),Kyle Bradish,28905382,P,8300,HOU@BAL 08/08/2023 07:05PM ET,BAL,16.07
RP,Hunter Brown (28905386),Hunter Brown,28905386,P,8300,HOU@BAL 08/08/2023 07:05PM ET,HOU,16.91
SP,Reid Detmers (28905381),Reid Detmers,28905381,P,8300,SF@LAA 08/08/2023 09:38PM ET,LAA,15.28
SP,Alex Cobb (28905385),Alex Cobb,28905385,P,8300,SF@LAA 08/08/2023 09:38PM ET,SF,15.48
SP,Triston McKenzie (28905384),Triston McKenzie,28905384,P,8300,TOR@CLE 08/08/2023 07:10PM ET,CLE,17.65
RP,Luis Patino (28905383),Luis Patino,28905383,P,8300,NYY@CWS 08/08/2023 08:10PM ET,CWS,3.4
SP,Adbert Alzolay (28905387),Adbert Alzolay,28905387,P,8300,CHC@NYM 08/08/2023 07:10PM ET,CHC,3.90
RP,Max Fried (28905388),Max Fried,28905388,P,8300,ATL@PIT 08/08/2023 07:05PM ET,ATL,20.73
SP,Josh Winckowski (28905394),Josh Winckowski,28905394,P,8200,KC@BOS 08/08/2023 07:10PM ET,BOS,4.09
SP,Yusei Kikuchi (28904480),Yusei Kikuchi,28904480,P,8200,TOR@CLE 08/08/2023 07:10PM ET,TOR,15.86
SP,Cody Morris (28905389),Cody Morris,28905389,P,8200,TOR@CLE 08/08/2023 07:10PM ET,CLE,1.9
SP,Eric Lauer (28905392),Eric Lauer,28905392,P,8200,COL@MIL 08/08/2023 08:10PM ET,MIL,11.44
RP,Diego Castillo (28905391),Diego Castillo,28905391,P,8200,SD@SEA 08/08/2023 09:40PM ET,SEA,1.56
SP,Caleb Smith (28905390),Caleb Smith,28905390,P,8200,ATL@PIT 08/08/2023 07:05PM ET,PIT,0
