Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Max Scherzer (17183579),Max Scherzer,17183579,P,10700,STL@WAS 04/21/2021 04:05PM ET,WAS,24.32
RP,Corbin Burnes (17183921),Corbin Burnes,17183921,P,10400,MIL@SD 04/21/2021 04:10PM ET,MIL,33.54
SP,Joe Musgrove (17183922),Joe Musgrove,17183922,P,9900,MIL@SD 04/21/2021 04:10PM ET,SD,27.1
SP,Yu Darvish (17183923),Yu Darvish,17183923,P,9800,MIL@SD 04/21/2021 04:10PM ET,SD,22.22
RP,Framber Valdez (17183924),Framber Valdez,17183924,P,9600,HOU@COL 04/21/2021 03:10PM ET,HOU,0
SP,Cristian Javier (17183925),Cristian Javier,17183925,P,9600,HOU@COL 04/21/2021 03:10PM ET,HOU,18.05
SP,Dinelson Lamet (17183580),Dinelson Lamet,17183580,P,9500,MIL@SD 04/21/2021 04:10PM ET,SD,0
SP,Freddy Peralta (17183926),Freddy Peralta,17183926,P,9400,MIL@SD 04/21/2021 04:10PM ET,MIL,22.48
SP,Chris Paddack (17183927),Chris Paddack,17183927,P,9300,MIL@SD 04/21/2021 04:10PM ET,SD,12.38
SP,Brandon Woodruff (17183928),Brandon Woodruff,17183928,P,8900,MIL@SD 04/21/2021 04:10PM ET,MIL,21.74
SP,Blake Snell (17183929),Blake Snell,17183929,P,8800,MIL@SD 04/21/2021 04:10PM ET,SD,13.82
SP,Zack Brown (17183930),Zack Brown,17183930,P,8700,MIL@SD 04/21/2021 04:10PM ET,MIL,0
RP,Adrian Houser (17183581),Adrian Houser,17183581,P,8400,MIL@SD 04/21/2021 04:10PM ET,MIL,11.02
RP,Ray Black (17183931),Ray Black,17183931,P,8400,MIL@SD 04/21/2021 04:10PM ET,MIL,0
SP,Justin Verlander (17183933),Justin Verlander,17183933,P,8300,HOU@COL 04/21/2021 03:10PM ET,HOU,0
RP,Josh Lindblom (17183932),Josh Lindblom,17183932,P,8300,MIL@SD 04/21/2021 04:10PM ET,MIL,1.19
SP,Eric Lauer (17183934),Eric Lauer,17183934,P,8300,MIL@SD 04/21/2021 04:10PM ET,MIL,0
SP,Stephen Strasburg (17183938),Stephen Strasburg,17183938,P,8100,STL@WAS 04/21/2021 04:05PM ET,WAS,10.45
SP,Brent Suter (17183935),Brent Suter,17183935,P,8100,MIL@SD 04/21/2021 04:10PM ET,MIL,3.06
RP,Josh Hader (17183936),Josh Hader,17183936,P,8100,MIL@SD 04/21/2021 04:10PM ET,MIL,7.06
SP,Jose Berrios (17183937),Jose Berrios,17183937,P,8100,MIN@OAK 04/21/2021 03:37PM ET,MIN,22.01
