P,P,C,1B,2B,3B,SS,OF,OF,OF
Tyler Mahle (18943643),Ranger Suarez (18943659),Mike Zunino (18943715),Jose Abreu (18943718),Cesar Hernandez (18943850),Rafael Devers (18943667),Willy Adames (18943750),Randy Arozarena (18943738),Luis Robert (18943776),Andrew Vaughn (18944021)
Tyler Mahle (18943643),Ranger Suarez (18943659),Mike Zunino (18943715),Jose Abreu (18943718),Cesar Hernandez (18943850),Rafael Devers (18943667),Bo Bichette (18943714),Tyler O'Neill (18943764),Luis Robert (18943776),Andrew Vaughn (18944021)
Tyler Mahle (18943643),Ranger Suarez (18943659),Yasmani Grandal (18943696),Andrew Vaughn (18944021),Cesar Hernandez (18943850),Rafael Devers (18943667),Willy Adames (18943750),Christian Yelich (18943717),Randy Arozarena (18943738),Luis Robert (18943776)
Tyler Mahle (18943643),Ranger Suarez (18943659),Mike Zunino (18943715),Jose Abreu (18943718),Cesar Hernandez (18943850),Alex Bregman (18943690),Bo Bichette (18943714),Randy Arozarena (18943738),Luis Robert (18943776),Andrew Vaughn (18944021)
Tyler Mahle (18943643),Ranger Suarez (18943659),Yasmani Grandal (18943696),Jose Abreu (18943718),Cesar Hernandez (18943850),Rafael Devers (18943667),Willy Adames (18943750),Randy Arozarena (18943738),Andrew McCutchen (18943781),Andrew Vaughn (18944021)
Tyler Mahle (18943643),Ranger Suarez (18943659),J.T. Realmuto (18943674),Jose Abreu (18943718),Cesar Hernandez (18943850),Rafael Devers (18943667),Willy Adames (18943750),Tyler O'Neill (18943764),Luis Robert (18943776),Andrew Vaughn (18944021)
Tyler Mahle (18943643),Anthony DeSclafani (18943644),Mike Zunino (18943715),Jose Abreu (18943718),Cesar Hernandez (18943850),Jace Peterson (18943970),Willy Adames (18943750),Randy Arozarena (18943738),Luis Robert (18943776),Andrew Vaughn (18944021)
Tyler Mahle (18943643),Ranger Suarez (18943659),Yasmani Grandal (18943696),Jose Abreu (18943718),Cesar Hernandez (18943850),Alex Bregman (18943690),Willy Adames (18943750),Christian Yelich (18943717),Randy Arozarena (18943738),Andrew Vaughn (18944021)
Tyler Mahle (18943643),Ranger Suarez (18943659),Yasmani Grandal (18943696),Andrew Vaughn (18944021),Cesar Hernandez (18943850),Rafael Devers (18943667),Bo Bichette (18943714),Randy Arozarena (18943738),Tyler O'Neill (18943764),Luis Robert (18943776)
Tyler Mahle (18943643),Ranger Suarez (18943659),Mike Zunino (18943715),Bobby Dalbec (18943834),Edmundo Sosa (18944101),Rafael Devers (18943667),Willy Adames (18943750),Randy Arozarena (18943738),Alex Verdugo (18943790),Kyle Schwarber (18943686)
Tyler Mahle (18943643),Ranger Suarez (18943659),Kevin Plawecki (18943876),Kyle Schwarber (18943686),Brandon Lowe (18943676),Rafael Devers (18943667),Edmundo Sosa (18944101),J.D. Martinez (18943693),Randy Arozarena (18943738),Brett Phillips (18944000)
Tyler Mahle (18943643),Ranger Suarez (18943659),Mike Zunino (18943715),Bobby Dalbec (18943834),Kolten Wong (18943809),Rafael Devers (18943667),Bo Bichette (18943714),Alex Verdugo (18943790),Brett Phillips (18944000),Kyle Schwarber (18943686)
Tyler Mahle (18943643),Ranger Suarez (18943659),Kevin Plawecki (18943876),Kyle Schwarber (18943686),Kolten Wong (18943809),Rafael Devers (18943667),Willy Adames (18943750),J.D. Martinez (18943693),Randy Arozarena (18943738),Brett Phillips (18944000)
Tyler Mahle (18943643),Ranger Suarez (18943659),Mike Zunino (18943715),Bobby Dalbec (18943834),Edmundo Sosa (18944101),Rafael Devers (18943667),Bo Bichette (18943714),J.D. Martinez (18943693),Brett Phillips (18944000),Kyle Schwarber (18943686)
Tyler Mahle (18943643),Ranger Suarez (18943659),Mike Zunino (18943715),Bobby Dalbec (18943834),Brandon Lowe (18943676),Rafael Devers (18943667),Edmundo Sosa (18944101),Alex Verdugo (18943790),Kyle Schwarber (18943686),Jordan Luplow (18943859)
Tyler Mahle (18943643),Ranger Suarez (18943659),Kevin Plawecki (18943876),Kyle Schwarber (18943686),Brandon Lowe (18943676),Rafael Devers (18943667),Edmundo Sosa (18944101),Randy Arozarena (18943738),Tyler O'Neill (18943764),Alex Verdugo (18943790)
Tyler Mahle (18943643),Ranger Suarez (18943659),Mike Zunino (18943715),Bobby Dalbec (18943834),Jonathan India (18943759),Rafael Devers (18943667),Willy Adames (18943750),Alex Verdugo (18943790),Brett Phillips (18944000),Kyle Schwarber (18943686)
Tyler Mahle (18943643),Ranger Suarez (18943659),Mike Zunino (18943715),Bobby Dalbec (18943834),Jonathan India (18943759),Rafael Devers (18943667),Edmundo Sosa (18944101),Randy Arozarena (18943738),Alex Verdugo (18943790),Kyle Schwarber (18943686)
Tyler Mahle (18943643),Ranger Suarez (18943659),Mike Zunino (18943715),Kyle Schwarber (18943686),Brandon Lowe (18943676),Jace Peterson (18943970),Willy Adames (18943750),Christian Yelich (18943717),Randy Arozarena (18943738),Brett Phillips (18944000)
Tyler Mahle (18943643),Ranger Suarez (18943659),Mike Zunino (18943715),Vladimir Guerrero Jr. (18943671),Brandon Lowe (18943676),Jace Peterson (18943970),Bo Bichette (18943714),Randy Arozarena (18943738),Andrew McCutchen (18943781),Brett Phillips (18944000)
Tyler Mahle (18943643),Ranger Suarez (18943659),Mike Zunino (18943715),Jordan Luplow (18943859),Brandon Lowe (18943676),Jace Peterson (18943970),Willy Adames (18943750),Christian Yelich (18943717),Teoscar Hernandez (18943727),Randy Arozarena (18943738)
