P,P,C,1B,2B,3B,SS,OF,OF,OF
Zack Wheeler (18951064),Robbie Ray (18951065),Gary Sanchez (18951149),Anthony Rizzo (18951191),Luis Garcia (18951273),Gio Urshela (18951227),Jake Cronenworth (18951150),George Springer (18951119),Joey Gallo (18951139),Sam Hilliard (18951334)
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Anthony Rizzo (18951191),Luis Garcia (18951273),Gio Urshela (18951227),Andrew Velazquez (18951522),Aaron Judge (18951094),George Springer (18951119),Andrew McCutchen (18951184)
Zack Wheeler (18951064),Robbie Ray (18951065),Yohel Pozo (18951515),Anthony Rizzo (18951191),Luis Garcia (18951273),Manny Machado (18951124),Andrew Velazquez (18951522),Aaron Judge (18951094),George Springer (18951119),Giancarlo Stanton (18951135)
Zack Wheeler (18951064),Robbie Ray (18951065),Yohel Pozo (18951515),Anthony Rizzo (18951191),Luis Garcia (18951273),Gio Urshela (18951227),Jake Cronenworth (18951150),George Springer (18951119),Giancarlo Stanton (18951135),Joey Gallo (18951139)
Zack Wheeler (18951064),Robbie Ray (18951065),Gary Sanchez (18951149),Anthony Rizzo (18951191),Luis Garcia (18951273),Gio Urshela (18951227),Andrew Velazquez (18951522),George Springer (18951119),Andrew McCutchen (18951184),Mookie Betts (18951100)
Zack Wheeler (18951064),Robbie Ray (18951065),Gary Sanchez (18951149),Anthony Rizzo (18951191),Luis Garcia (18951273),Tyler Wade (18951358),Andrew Velazquez (18951522),Fernando Tatis Jr. (18951082),George Springer (18951119),Andrew McCutchen (18951184)
Zack Wheeler (18951064),Robbie Ray (18951065),Gary Sanchez (18951149),Anthony Rizzo (18951191),Luis Garcia (18951273),Gio Urshela (18951227),Andrew Velazquez (18951522),Bryce Harper (18951081),George Springer (18951119),Sam Hilliard (18951334)
Zack Wheeler (18951064),Robbie Ray (18951065),Gary Sanchez (18951149),Anthony Rizzo (18951191),Luis Garcia (18951273),Manny Machado (18951124),Andrew Velazquez (18951522),Aaron Judge (18951094),George Springer (18951119),Kevin Kiermaier (18951420)
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Anthony Rizzo (18951191),Luis Garcia (18951273),Yonny Hernandez (18951323),Andrew Velazquez (18951522),Aaron Judge (18951094),George Springer (18951119),Giancarlo Stanton (18951135)
Zack Wheeler (18951064),Robbie Ray (18951065),Yohel Pozo (18951515),Anthony Rizzo (18951191),Luis Garcia (18951273),Gio Urshela (18951227),Andrew Velazquez (18951522),Fernando Tatis Jr. (18951082),George Springer (18951119),Giancarlo Stanton (18951135)
Zack Wheeler (18951064),Robbie Ray (18951065),Gary Sanchez (18951149),Brad Miller (18951202),Luis Garcia (18951273),Gio Urshela (18951227),Andrew Velazquez (18951522),Aaron Judge (18951094),George Springer (18951119),Andrew McCutchen (18951184)
Zack Wheeler (18951064),Robbie Ray (18951065),Gary Sanchez (18951149),Anthony Rizzo (18951191),Luis Garcia (18951273),Gio Urshela (18951227),Jake Cronenworth (18951150),Giancarlo Stanton (18951135),Andrew McCutchen (18951184),AJ Pollock (18951198)
Corbin Burnes (18951063),Robbie Ray (18951065),Gary Sanchez (18951149),Anthony Rizzo (18951191),Luis Garcia (18951273),Gio Urshela (18951227),Jake Cronenworth (18951150),George Springer (18951119),Joey Gallo (18951139),Manuel Margot (18951339)
Zack Wheeler (18951064),Robbie Ray (18951065),Gary Sanchez (18951149),Anthony Rizzo (18951191),Luis Garcia (18951273),Justin Turner (18951126),Andrew Velazquez (18951522),Aaron Judge (18951094),George Springer (18951119),Manuel Margot (18951339)
