P,P,C,1B,2B,3B,SS,OF,OF,OF
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Andrew Vaughn (19016457),Jonathan India (19016321),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Andrew Vaughn (19016457),Romy Gonzalez (19016698),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Eloy Jimenez (19016303),Luis Robert (19016312)
Tyler Mahle (19016254),Joe Musgrove (19016258),Yasmani Grandal (19016285),Andrew Vaughn (19016457),Romy Gonzalez (19016698),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Jorge Soler (19016360)
Tyler Mahle (19016254),Joe Musgrove (19016258),Yasmani Grandal (19016285),Andrew Vaughn (19016457),Romy Gonzalez (19016698),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Christian Yelich (19016326)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Andrew Vaughn (19016457),Romy Gonzalez (19016698),Eugenio Suarez (19016348),Edmundo Sosa (19016576),Nick Castellanos (19016293),Eloy Jimenez (19016303),Luis Robert (19016312)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Andrew Vaughn (19016457),Romy Gonzalez (19016698),Jack Mayfield (19016519),J.P. Crawford (19016359),Nick Castellanos (19016293),Eloy Jimenez (19016303),Luis Robert (19016312)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Andrew Vaughn (19016457),Romy Gonzalez (19016698),Eugenio Suarez (19016348),Jack Mayfield (19016519),Eloy Jimenez (19016303),Luis Robert (19016312),Mitch Haniger (19016320)
Tyler Mahle (19016254),Joe Musgrove (19016258),Yasmani Grandal (19016285),Andrew Vaughn (19016457),Romy Gonzalez (19016698),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Adam Duvall (19016346)
Tyler Mahle (19016254),Joe Musgrove (19016258),Yasmani Grandal (19016285),Andrew Vaughn (19016457),Romy Gonzalez (19016698),Kyle Seager (19016313),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Jorge Soler (19016360)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Andrew Vaughn (19016457),Romy Gonzalez (19016698),Eugenio Suarez (19016348),Jack Mayfield (19016519),Eloy Jimenez (19016303),Luis Robert (19016312),Jorge Soler (19016360)
