P,P,C,1B,2B,3B,SS,OF,OF,OF
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Frank Schwindel (18991556),Matt Duffy (18991602),Patrick Wisdom (18991495),Dansby Swanson (18991481),Jorge Soler (18991494),Joc Pederson (18991530),Jason Heyward (18991559)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Matt Duffy (18991602),Patrick Wisdom (18991495),Sergio Alcantara (18991612),Jorge Soler (18991494),Joc Pederson (18991530),Jason Heyward (18991559)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Robinson Chirinos (18991558),Freddie Freeman (18991476),Matt Duffy (18991602),Patrick Wisdom (18991495),Sergio Alcantara (18991612),Adam Duvall (18991504),Jorge Soler (18991494),Joc Pederson (18991530)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Robinson Chirinos (18991558),Freddie Freeman (18991476),Matt Duffy (18991602),Patrick Wisdom (18991495),Nicky Lopez (18991552),Rafael Ortega (18991524),Jorge Soler (18991494),Joc Pederson (18991530)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Frank Schwindel (18991556),Matt Duffy (18991602),Austin Riley (18991480),Sergio Alcantara (18991612),Jorge Soler (18991494),Joc Pederson (18991530),Patrick Wisdom (18991495)
Carlos Carrasco (18991468),Mike Minor (18991470),Robinson Chirinos (18991558),Freddie Freeman (18991476),Matt Duffy (18991602),Patrick Wisdom (18991495),Dansby Swanson (18991481),Rafael Ortega (18991524),Jorge Soler (18991494),Joc Pederson (18991530)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Robinson Chirinos (18991558),Frank Schwindel (18991556),Matt Duffy (18991602),Austin Riley (18991480),Dansby Swanson (18991481),Jorge Soler (18991494),Joc Pederson (18991530),Jason Heyward (18991559)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Robinson Chirinos (18991558),Freddie Freeman (18991476),Matt Duffy (18991602),Austin Riley (18991480),Sergio Alcantara (18991612),Jorge Soler (18991494),Joc Pederson (18991530),Jason Heyward (18991559)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Robinson Chirinos (18991558),Freddie Freeman (18991476),Matt Duffy (18991602),Ehire Adrianza (18991709),Dansby Swanson (18991481),Ian Happ (18991512),Rafael Ortega (18991524),Joc Pederson (18991530)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Frank Schwindel (18991556),Matt Duffy (18991602),Patrick Wisdom (18991495),Brendan Rodgers (18991500),Rafael Ortega (18991524),Jorge Soler (18991494),Joc Pederson (18991530)
Carlos Carrasco (18991468),Mike Minor (18991470),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Matt Duffy (18991602),Patrick Wisdom (18991495),Dansby Swanson (18991481),Rafael Ortega (18991524),Jorge Soler (18991494),Jason Heyward (18991559)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Frank Schwindel (18991556),Matt Duffy (18991602),Austin Riley (18991480),Sergio Alcantara (18991612),Adam Duvall (18991504),Rafael Ortega (18991524),Jorge Soler (18991494)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Frank Schwindel (18991556),Matt Duffy (18991602),Patrick Wisdom (18991495),Dansby Swanson (18991481),Rafael Ortega (18991524),Jorge Soler (18991494),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Frank Schwindel (18991556),Whit Merrifield (18991493),Patrick Wisdom (18991495),Sergio Alcantara (18991612),Rafael Ortega (18991524),Jorge Soler (18991494),Joc Pederson (18991530)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Matt Duffy (18991602),Patrick Wisdom (18991495),Sergio Alcantara (18991612),Rafael Ortega (18991524),Jorge Soler (18991494),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Robinson Chirinos (18991558),Freddie Freeman (18991476),Matt Duffy (18991602),Patrick Wisdom (18991495),Dansby Swanson (18991481),Jorge Soler (18991494),Jason Heyward (18991559),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Frank Schwindel (18991556),Matt Duffy (18991602),Patrick Wisdom (18991495),Sergio Alcantara (18991612),Adam Duvall (18991504),Jorge Soler (18991494),Joc Pederson (18991530)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Frank Schwindel (18991556),Matt Duffy (18991602),Austin Riley (18991480),Sergio Alcantara (18991612),Adam Duvall (18991504),Ian Happ (18991512),Joc Pederson (18991530)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Robinson Chirinos (18991558),Frank Schwindel (18991556),Wilmer Difo (18991686),Patrick Wisdom (18991495),Dansby Swanson (18991481),Rafael Ortega (18991524),Jorge Soler (18991494),Joc Pederson (18991530)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Robinson Chirinos (18991558),Freddie Freeman (18991476),Wilmer Difo (18991686),Patrick Wisdom (18991495),Sergio Alcantara (18991612),Rafael Ortega (18991524),Jorge Soler (18991494),Joc Pederson (18991530)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Yu Chang (18991615),Owen Miller (18991675),Jose Ramirez (18991474),Amed Rosario (18991515),Adam Duvall (18991504),Jorge Soler (18991494),Joc Pederson (18991530)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Owen Miller (18991675),Austin Riley (18991480),Amed Rosario (18991515),Jorge Soler (18991494),Myles Straw (18991584),Harold Ramirez (18991682)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Owen Miller (18991675),Jose Ramirez (18991474),Amed Rosario (18991515),Jorge Soler (18991494),Ben Gamel (18991678),Harold Ramirez (18991682)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Wilmer Difo (18991686),Jose Ramirez (18991474),Amed Rosario (18991515),Jorge Soler (18991494),Myles Straw (18991584),Harold Ramirez (18991682)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Owen Miller (18991675),Jose Ramirez (18991474),Amed Rosario (18991515),Joc Pederson (18991530),Myles Straw (18991584),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Jacob Stallings (18991562),Freddie Freeman (18991476),Owen Miller (18991675),Jose Ramirez (18991474),Amed Rosario (18991515),Jorge Soler (18991494),Joc Pederson (18991530),Harold Ramirez (18991682)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Owen Miller (18991675),Yu Chang (18991615),Dansby Swanson (18991481),Franmil Reyes (18991489),Jorge Soler (18991494),Harold Ramirez (18991682)
