P,P,C,1B,2B,3B,SS,OF,OF,OF
Brandon Woodruff (18960556),Lucas Giolito (18960559),Yan Gomes (18960716),Ryan Zimmerman (18960835),Marcus Semien (18960600),Kevin Smith (18961112),Bo Bichette (18960609),George Springer (18960636),Andrew McCutchen (18960751),Byron Buxton (18960821)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Yan Gomes (18960716),Andrew Vaughn (18960990),Marcus Semien (18960600),Kevin Smith (18961112),Bo Bichette (18960609),George Springer (18960636),Luis Robert (18960692),Byron Buxton (18960821)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Yan Gomes (18960716),Anthony Rizzo (18960729),Marcus Semien (18960600),Kevin Smith (18961112),Josh Harrison (18960753),George Springer (18960636),Teoscar Hernandez (18960655),Byron Buxton (18960821)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Yan Gomes (18960716),Anthony Rizzo (18960729),Josh Harrison (18960753),Kevin Smith (18961112),Bo Bichette (18960609),George Springer (18960636),Teoscar Hernandez (18960655),Byron Buxton (18960821)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Yan Gomes (18960716),Anthony Rizzo (18960729),Marcus Semien (18960600),Kevin Smith (18961112),Bo Bichette (18960609),George Springer (18960636),Randal Grichuk (18960825),Byron Buxton (18960821)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Yan Gomes (18960716),Josh Bell (18960673),Marcus Semien (18960600),Kevin Smith (18961112),Bo Bichette (18960609),George Springer (18960636),Byron Buxton (18960821),Lane Thomas (18961006)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Yan Gomes (18960716),Vladimir Guerrero Jr. (18960586),Marcus Semien (18960600),Kevin Smith (18961112),Josh Harrison (18960753),George Springer (18960636),Byron Buxton (18960821),Lane Thomas (18961006)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Yan Gomes (18960716),Jose Abreu (18960623),Yonny Hernandez (18960950),Kevin Smith (18961112),Bo Bichette (18960609),George Springer (18960636),Teoscar Hernandez (18960655),Byron Buxton (18960821)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Yan Gomes (18960716),Vladimir Guerrero Jr. (18960586),Josh Harrison (18960753),Kevin Smith (18961112),Bo Bichette (18960609),George Springer (18960636),Byron Buxton (18960821),Lane Thomas (18961006)
Walker Buehler (18960553),Lucas Giolito (18960559),Yan Gomes (18960716),Ryan Zimmerman (18960835),Josh Harrison (18960753),Kevin Smith (18961112),Bo Bichette (18960609),George Springer (18960636),Teoscar Hernandez (18960655),Byron Buxton (18960821)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Yan Gomes (18960716),Ryan Zimmerman (18960835),Marcus Semien (18960600),Carter Kieboom (18961068),Bo Bichette (18960609),George Springer (18960636),Randal Grichuk (18960825),Byron Buxton (18960821)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Yan Gomes (18960716),Ryan Zimmerman (18960835),DJ LeMahieu (18960713),Kevin Smith (18961112),Bo Bichette (18960609),George Springer (18960636),Teoscar Hernandez (18960655),Byron Buxton (18960821)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Gary Sanchez (18960681),Luke Voit (18960790),DJ LeMahieu (18960713),Carter Kieboom (18961068),Bo Bichette (18960609),George Springer (18960636),Joey Gallo (18960666),Byron Buxton (18960821)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Gary Sanchez (18960681),Anthony Rizzo (18960729),DJ LeMahieu (18960713),Luis Arraez (18960864),Josh Harrison (18960753),George Springer (18960636),Joey Gallo (18960666),Byron Buxton (18960821)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Gary Sanchez (18960681),Luke Voit (18960790),DJ LeMahieu (18960713),Josh Donaldson (18960720),Josh Harrison (18960753),George Springer (18960636),Joey Gallo (18960666),Byron Buxton (18960821)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Gary Sanchez (18960681),Anthony Rizzo (18960729),DJ LeMahieu (18960713),Carter Kieboom (18961068),Josh Harrison (18960753),Aaron Judge (18960597),George Springer (18960636),Byron Buxton (18960821)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Gary Sanchez (18960681),Luke Voit (18960790),DJ LeMahieu (18960713),Luis Arraez (18960864),Josh Harrison (18960753),Aaron Judge (18960597),George Springer (18960636),Byron Buxton (18960821)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Yan Gomes (18960716),Anthony Rizzo (18960729),DJ LeMahieu (18960713),Luis Arraez (18960864),Josh Harrison (18960753),Aaron Judge (18960597),Joey Gallo (18960666),Byron Buxton (18960821)
Brandon Woodruff (18960556),Lucas Giolito (18960559),Salvador Perez (18960603),Anthony Rizzo (18960729),DJ LeMahieu (18960713),Yoan Moncada (18960687),Andrew Velazquez (18961252),George Springer (18960636),Joey Gallo (18960666),Byron Buxton (18960821)
